dataset,label,true_rho,strategy,budget,seed,coverage,n_obs_edges,rho_mle_uniform,rho_mle_transfer_beta,transfer_beta_used
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,400,0,0.026521173579997108,367,1.081484222065221e-06,0.0013023533985203617,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,1600,0,0.10261598496892614,1420,0.04856309785594015,0.05280211584988714,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,3200,0,0.1915739268680445,2651,0.07422808247339252,0.07413259553018514,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,400,1,0.02702702702702703,374,4.1512030933721356e-05,0.008086695210390626,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,1600,1,0.10059257118080647,1392,0.044826670459530704,0.049803941362626114,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,3200,1,0.1904176904176904,2635,0.05535718368685627,0.05588998517744892,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,400,2,0.02601532013296719,360,9.027330460931182e-08,0.0003793282870744319,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,1600,2,0.10008671773377656,1385,0.035394433610763554,0.03881518981022447,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,3200,2,0.1915739268680445,2651,0.050316283139938855,0.052859091393615554,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,400,3,0.025437201907790145,352,0.0378291447154695,0.04143831693382627,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,1600,3,0.1020378667437491,1412,0.03789279145533797,0.04162628272031721,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,3200,3,0.19359734065616419,2679,0.0562511662213081,0.056133722576528045,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,400,4,0.026304379245555717,364,3.6273492987071165e-07,0.000755363445952284,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,1600,4,0.10167654285301345,1407,0.0277353485321713,0.030187823019464433,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_agnostic_t,3200,4,0.19424772365948836,2688,0.041890044507504776,0.04317619237011372,0.5
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,400,0,0.014380690851279087,199,0.11485499003912614,0.3175096965983093,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,1600,0,0.047044370573782336,651,0.241758683845255,0.46349605740935973,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,3200,0,0.07826275473334297,1083,0.26223527760168996,0.47920553972996127,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,400,1,0.013513513513513514,187,0.20491956766056552,0.43072268749986775,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,1600,1,0.044731897673074145,619,0.2355921914680943,0.46255266099377845,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,3200,1,0.07790143084260731,1078,0.25897539993754737,0.4928002395377775,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,400,2,0.014452955629426218,200,0.2730092076528161,0.5721712889704202,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,1600,2,0.04552681023269259,630,0.27022903720378677,0.5127105093208957,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,3200,2,0.07587801705448764,1050,0.24795174824605892,0.4589690211694183,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,400,3,0.014163896516837693,196,0.15355197309851565,0.30798470080724316,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,1600,3,0.045671339788986846,632,0.23006855840283524,0.43247751262850564,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,3200,3,0.07674519439225322,1062,0.2362283104843863,0.43979869531055893,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,400,4,0.014380690851279087,199,0.20578926501547923,0.42446251841189375,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,1600,4,0.04458736811677988,617,0.21116033352176322,0.41783839281177004,2.0
CollegeMsg,CollegeMsg (SNAP),0.1030495736378089,time_respecting,3200,4,0.0773955773955774,1071,0.25147090441799425,0.4744211594565838,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,400,0,0.023406374501992032,376,0.47004015296807256,0.5161237171852936,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,1600,0,0.09051294820717132,1454,0.36045009583808785,0.3896714087432376,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,3200,0,0.17330677290836655,2784,0.3859152629614403,0.3983488745754775,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,400,1,0.024153386454183266,388,0.5601109308028026,0.6501229325802247,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,1600,1,0.09213147410358566,1480,0.33211437832058033,0.3475249625845085,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,3200,1,0.1772285856573705,2847,0.43403922344004453,0.4511286735854023,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,400,2,0.023468625498007968,377,0.28890206861167456,0.32002595345523066,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,1600,2,0.09125996015936255,1466,0.40052274261950305,0.42918792490692137,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,3200,2,0.17380478087649404,2792,0.39342149830965023,0.4090760791663256,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,400,3,0.02377988047808765,382,0.3691247372405566,0.42299330798419077,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,1600,3,0.09275398406374502,1490,0.31962843232914584,0.3490212060617014,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,3200,3,0.17778884462151395,2856,0.37536599711323626,0.39140300521036364,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,400,4,0.023717629482071713,381,0.4910679245002326,0.524562386304422,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,1600,4,0.09182021912350598,1475,0.34403162529076725,0.3492135992715767,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_agnostic_t,3200,4,0.17542330677290838,2818,0.39566699842168884,0.40593069640100843,0.5
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,400,0,0.016807768924302788,270,0.4032065522536269,0.8269316986598683,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,1600,0,0.05079681274900399,816,0.47693497321219436,0.9364849239380612,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,3200,0,0.08298057768924302,1333,0.5524483859763825,0.9688787288040173,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,400,1,0.015687250996015936,252,0.3721857492892676,0.7408833687884987,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,1600,1,0.048431274900398405,778,0.4243004343577317,0.82976462740499,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,3200,1,0.081050796812749,1302,0.5516965315628322,0.9422868366911153,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,400,2,0.01512699203187251,243,0.2823802745904992,0.677186579770799,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,1600,2,0.05017430278884462,806,0.4270301532928412,0.8633803455764126,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,3200,2,0.08186005976095617,1315,0.4991938993059316,0.9057296084897096,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,400,3,0.015375996015936255,247,0.39820360507197783,0.7842284093414342,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,1600,3,0.04930278884462151,792,0.5190007784652813,0.9802795523325146,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,3200,3,0.08366533864541832,1344,0.5647747322401053,0.9860269164574064,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,400,4,0.016496513944223107,265,0.3330335395892291,0.6904816865222457,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,1600,4,0.050236553784860555,807,0.5182964384896985,0.9590299078390042,2.0
email-Eu-core-temporal,email-Eu-core-temporal (SNAP),0.5057270916334662,time_respecting,3200,4,0.0801792828685259,1288,0.5479925319183243,0.9754597046630015,2.0
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,400,0,0.06411137848057752,373,0.18887176274288942,0.20790961976533395,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,1600,0,0.23564798899965625,1371,0.39591808003853657,0.41144456357378223,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,3200,0,0.4135441732554142,2406,0.37012141174212354,0.37968400467790564,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,400,1,0.06376761773805431,371,0.49692563818799673,0.5142850274111801,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,1600,1,0.2330697834307322,1356,0.4549349289955533,0.4405420714990015,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,3200,1,0.4035751117222413,2348,0.3935628426566843,0.40462120019657455,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,400,2,0.06548642145067034,381,0.3495836192967058,0.39754702909620454,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,1600,2,0.2334135441732554,1358,0.3923210811620914,0.4153186448706826,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,3200,2,0.41543485733929186,2417,0.3679837462816893,0.3819284542851229,0.5
HighSchool2013,High school 2013 (SocioPatterns),0.4855620488140254,time_agnostic_t,400,3,0.06531454107940873,380,0.38402058052031374,0.4068526629506509,0.5
