dataset,strategy,budget,true_rho,coverage,n_seeds,rho_mle_mean,rho_mle_std,rho_transfer_mean,mae_uniform,mae_transfer
CollegeMsg,time_agnostic_t,400,0.1030495736378089,0.026261020378667437,5,0.007574438247771953,0.01691290439734869,0.010392411455152795,0.09547513539003694,0.0926571621826561
CollegeMsg,time_agnostic_t,1600,0.1030495736378089,0.10140193669605435,5,0.03888246838274874,0.0081616826280064,0.04264707055250387,0.06416710525506016,0.06040250308530502
CollegeMsg,time_agnostic_t,3200,0.1030495736378089,0.1922821216938864,5,0.0556085520058001,0.011867693664152834,0.056438317409578276,0.04744102163200879,0.04661125622823062
CollegeMsg,time_respecting,400,0.1030495736378089,0.014178349472467119,5,0.19042500069330054,0.059868086246221794,0.41057017845754684,0.08737542705549164,0.307520604819738
CollegeMsg,time_respecting,1600,0.1030495736378089,0.04551235727706316,5,0.23776176088834688,0.021457095320421324,0.4578150266328619,0.134712187250538,0.354765452995053
CollegeMsg,time_respecting,3200,0.1030495736378089,0.07723659488365371,5,0.2513723281375354,0.010208595968751615,0.46903893104086,0.1483227544997265,0.36598935740305105
HighSchool2013,time_agnostic_t,400,0.4855620488140254,0.06448951529735304,5,0.3616676131963851,0.11129061910913784,0.38526287367939505,0.12389443561764035,0.10029917513463038
HighSchool2013,time_agnostic_t,1600,0.4855620488140254,0.23361980061876936,5,0.42855209362109115,0.03567703437939834,0.4337594374912939,0.05700995519293428,0.05180261132273151
HighSchool2013,time_agnostic_t,3200,0.4855620488140254,0.4123753867308353,5,0.39720313077603225,0.03298560013902597,0.4073775651867678,0.08835891803799317,0.0781844836272576
HighSchool2013,time_respecting,400,0.4855620488140254,0.031041595049845307,5,0.13326280306902386,0.06753384531299107,0.274769732617933,0.3522992457450016,0.2107923161960924
HighSchool2013,time_respecting,1600,0.4855620488140254,0.08466827088346511,5,0.2437997574229427,0.02920593688584024,0.4141603726004373,0.24176229139108274,0.07140167621358812
HighSchool2013,time_respecting,3200,0.4855620488140254,0.12873839807493986,5,0.28425157302060666,0.019756578352127158,0.4656970016639657,0.20131047579341876,0.01986504715005971
email-Eu-core-temporal,time_agnostic_t,400,0.5057270916334662,0.023705179282868527,5,0.4358491628246678,0.10689331117543434,0.48676565950187234,0.0698779288087984,0.018961432131593847
email-Eu-core-temporal,time_agnostic_t,1600,0.5057270916334662,0.0916957171314741,5,0.3513494548796169,0.0313472325922703,0.37292382031358906,0.1543776367538493,0.13280327131987713
email-Eu-core-temporal,time_agnostic_t,3200,0.5057270916334662,0.17551045816733069,5,0.39688179604921203,0.022233523426606106,0.4111774657877155,0.10884529558425415,0.09454962584575066
email-Eu-core-temporal,time_respecting,400,0.5057270916334662,0.01589890438247012,5,0.3578019441589201,0.050504130019760216,0.7439423486165693,0.1479251474745461,0.23821525698310309
email-Eu-core-temporal,time_respecting,1600,0.5057270916334662,0.049788346613545816,5,0.47311255556354936,0.04655140741614172,0.9137878714181966,0.03261453606991682,0.40806077978473043
email-Eu-core-temporal,time_respecting,3200,0.5057270916334662,0.08194721115537848,5,0.5432212162007152,0.025410114978327878,0.9556763590210501,0.03749412456724899,0.4499492673875839
hospital,time_agnostic_t,400,0.4451273046532045,0.2904302019315189,5,0.3294404766950936,0.0791410313302847,0.3400628818285104,0.11568682795811092,0.10506442282469408
hospital,time_agnostic_t,1600,0.4451273046532045,0.7387181738366989,5,0.3498561185407449,0.025148352008064898,0.3672193811504456,0.0952711861124596,0.07790792350275888
hospital,time_agnostic_t,3200,0.4451273046532045,0.9309920983318701,5,0.35799387000249977,0.007784000384796452,0.3732953357705421,0.08713343465070472,0.07183196888266241
hospital,time_respecting,400,0.4451273046532045,0.12660228270412643,5,0.16302534980431402,0.07986111502042623,0.2887987090361031,0.28210195484889045,0.15632859561710138
hospital,time_respecting,1600,0.4451273046532045,0.2697102721685689,5,0.25036969891139166,0.03583883993497671,0.42498371456499073,0.19475760574181283,0.02014359008821376
hospital,time_respecting,3200,0.4451273046532045,0.3740122914837577,5,0.2930064277298533,0.01909774144382411,0.4713894729380046,0.1521208769233512,0.026262168284800103
ht2009,time_agnostic_t,400,0.2750455373406193,0.16338797814207648,5,0.17111159084852773,0.05681347892776287,0.18398585224470307,0.10393394649209159,0.09105968509591625
ht2009,time_agnostic_t,1600,0.2750455373406193,0.509471766848816,5,0.20024234952938516,0.03557982842432272,0.2084216797352494,0.07480318781123416,0.06662385760536993
ht2009,time_agnostic_t,3200,0.2750455373406193,0.7581967213114754,5,0.2175409507975255,0.010125518273469023,0.22926380592025036,0.057504586543093816,0.045781731420368954
ht2009,time_respecting,400,0.2750455373406193,0.07331511839708561,5,0.07800768864893959,0.05575343611993383,0.15846799794625716,0.19703784869167973,0.11657753939436216
ht2009,time_respecting,1600,0.2750455373406193,0.17632058287795993,5,0.15904612994983675,0.031148306090766884,0.27158036301677196,0.11599940739078257,0.003465174323847353
ht2009,time_respecting,3200,0.2750455373406193,0.24790528233151185,5,0.18677888881383028,0.016672043712819242,0.30330180601927526,0.08826664852678903,0.028256268678655938
