model,condition,input_kind,n,parsed,parse_rate,mae,mae_group_macro,mae_worst_group,bias,spearman,profile_mae_k3to5,interval_cover90,interval_width_med,profile_violation_rate,slice_type,slice_value,occ_mae,occ_bias,lifetime_mae,lifetime_bias,C_mae,occ_derived_mae,occ_profile_gap
baseline_beta_block,disclosed,mask,84,84,1.0,0.13584069056208886,0.12386497563759227,0.3341385160790803,-0.0076232807942387855,0.7228708314465762,,,,0.0,overall,all,,,,,,,
baseline_beta_block,disclosed,mask_crawl_full,36,36,1.0,0.15185456466149264,0.144148252394808,0.4490850056531946,-0.032788050449474276,0.65121673455623,,,,0.0,overall,all,,,,,,,
baseline_beta_block,disclosed,mask_crawl_temporal,36,36,1.0,0.1518545646614927,0.144148252394808,0.4490850056531946,-0.032788050449474276,0.65121673455623,,,,0.0,overall,all,,,,,,,
baseline_beta_block,disclosed,mask_crawl_temporal_recent,36,36,1.0,0.1518545646614927,0.144148252394808,0.4490850056531946,-0.032788050449474276,0.65121673455623,,,,0.0,overall,all,,,,,,,
baseline_beta_block,disclosed,nw,36,36,1.0,0.1518545646614927,0.144148252394808,0.4490850056531946,-0.032788050449474276,0.65121673455623,,,,0.0,overall,all,,,,,,,
baseline_beta_block,disclosed_examples,mask,84,84,1.0,0.13584069056208886,0.12386497563759227,0.3341385160790803,-0.007623280794238783,0.7228708314465762,,,,0.0,overall,all,,,,,,,
baseline_beta_block,hidden,mask,84,84,1.0,0.13584069056208886,0.12386497563759227,0.3341385160790803,-0.007623280794238783,0.7228708314465762,,,,0.0,overall,all,,,,,,,
baseline_et_combined,disclosed,mask,84,84,1.0,0.0871657254049548,0.07703224968418045,0.3428265219451196,0.03710690911172818,0.8651464730302129,,,,0.0,overall,all,,,,,,,
baseline_et_combined,disclosed,mask_crawl_full,36,36,1.0,0.09134003439529988,0.08666045058317458,0.17842882799836002,0.02908096027804362,0.7770053367036077,,,,0.0,overall,all,,,,,,,
baseline_et_combined,disclosed,mask_crawl_temporal,36,36,1.0,0.09134003439529986,0.08666045058317458,0.17842882799836002,0.029080960278043615,0.7770053367036077,,,,0.0,overall,all,,,,,,,
baseline_et_combined,disclosed,mask_crawl_temporal_recent,36,36,1.0,0.09134003439529986,0.08666045058317458,0.17842882799836002,0.02908096027804362,0.7770053367036077,,,,0.0,overall,all,,,,,,,
baseline_et_combined,disclosed,nw,36,36,1.0,0.09134003439529988,0.08666045058317458,0.17842882799836002,0.02908096027804362,0.7770053367036077,,,,0.0,overall,all,,,,,,,
baseline_et_combined,disclosed_examples,mask,84,84,1.0,0.08716572540495482,0.07703224968418045,0.3428265219451196,0.03710690911172819,0.8651464730302129,,,,0.0,overall,all,,,,,,,
baseline_et_combined,hidden,mask,84,84,1.0,0.0871657254049548,0.07703224968418045,0.3428265219451196,0.03710690911172818,0.8651464730302129,,,,0.0,overall,all,,,,,,,
baseline_et_stacked,disclosed,mask,84,84,1.0,0.08292706913890499,0.07716824207982831,0.2635352022095903,0.03137756200016132,0.8780971915260832,,,,0.0,overall,all,,,,,,,
baseline_et_stacked,disclosed,mask_crawl_full,36,36,1.0,0.08455821449563901,0.07942171303761981,0.1731191807092387,0.017004765824326838,0.7700528448756052,,,,0.0,overall,all,,,,,,,
baseline_et_stacked,disclosed,mask_crawl_temporal,36,36,1.0,0.08455821449563902,0.07942171303761981,0.1731191807092387,0.017004765824326844,0.7700528448756052,,,,0.0,overall,all,,,,,,,
baseline_et_stacked,disclosed,mask_crawl_temporal_recent,36,36,1.0,0.08455821449563901,0.07942171303761981,0.1731191807092387,0.017004765824326844,0.7700528448756052,,,,0.0,overall,all,,,,,,,
baseline_et_stacked,disclosed,nw,36,36,1.0,0.08455821449563901,0.07942171303761981,0.1731191807092387,0.017004765824326838,0.7700528448756052,,,,0.0,overall,all,,,,,,,
baseline_et_stacked,disclosed_examples,mask,84,84,1.0,0.082927069138905,0.07716824207982831,0.2635352022095903,0.03137756200016131,0.8780971915260832,,,,0.0,overall,all,,,,,,,
baseline_et_stacked,hidden,mask,84,84,1.0,0.082927069138905,0.07716824207982831,0.2635352022095903,0.03137756200016132,0.8780971915260832,,,,0.0,overall,all,,,,,,,
baseline_floor,disclosed,mask,84,84,1.0,0.19090526061065416,0.21641586744179306,0.4964800612068344,0.042606143956832335,-0.3008030823136642,,,,0.0,overall,all,0.0940434430107687,3.96508223080413e-18,0.12591328245163144,4.923310436581795e-17,,,
baseline_floor,disclosed,mask_crawl_full,36,36,1.0,0.1713485794457431,0.19192883280220827,0.4964800612068344,0.021649259281513924,-0.32304589089629665,,,,0.0,overall,all,0.08811559094671914,-1.2335811384723961e-17,0.11613489181301946,-7.709882115452476e-19,,,
baseline_floor,disclosed,mask_crawl_temporal,36,36,1.0,0.1713485794457431,0.19192883280220827,0.4964800612068344,0.021649259281513913,-0.32304589089629665,,,,0.0,overall,all,0.08811559094671916,-1.3877787807814457e-17,0.11613489181301946,3.854941057726238e-18,,,
