case_id,family,substrate,n,strategy,band,budget,coverage,n_obs_edges,rho_true,floor_lofo,mle_uniform,mle_transfer_beta,mle_betacal_lofo,oracle_lofo,betacal_lofo_beta
ba20000f0|t0.093|r0|time_agnostic_t|b400,ba20000f0,ba,20000,time_agnostic_t,lo(<.02),400,0.0042883576715343,343,0.0934061812362472,0.3481677782775372,0.0621390619713866,0.0665171287849801,0.0665171287849801,0.1267241074579515,0.5
ba20000f0|t0.254|r0|time_agnostic_t|b1600,ba20000f0,ba,20000,time_agnostic_t,lo(<.02),1600,0.0169783956791358,1358,0.2537382476495299,0.3481677782775372,0.1569212491615703,0.1644584285764274,0.1644584285764274,0.3232299482374993,0.5
ba20000f1|t0.312|r0|time_agnostic_t|b400,ba20000f1,ba,20000,time_agnostic_t,lo(<.02),400,0.0040633126625325,325,0.3118623724744949,0.3319674548795243,0.3738981629468713,0.3868221846202294,0.4482444855650024,0.4692828496510841,1.0
ba20000f1|t0.463|r0|time_agnostic_t|b400,ba20000f1,ba,20000,time_agnostic_t,lo(<.02),400,0.0040633126625325,325,0.4625300060012002,0.3319674548795243,0.4513462119494102,0.4770227681453656,0.5785553071366867,0.4982726461944046,1.0
ba8000f0|t0.280|r0|time_agnostic_t|b400,ba8000f0,ba,8000,time_agnostic_t,lo(<.02),400,0.0105365182591295,337,0.279796148074037,0.3391724049703485,0.1931043934146316,0.2104403558261605,0.2104403558261605,0.3043728163871615,0.5
ba8000f1|t0.410|r0|time_agnostic_t|b400,ba8000f1,ba,8000,time_agnostic_t,lo(<.02),400,0.0107866433216608,345,0.4100487743871936,0.3336767594203008,0.2733659992948867,0.283860042875861,0.283860042875861,0.2557290570180923,0.5
er20000f0|t0.484|r0|time_agnostic_t|b1600,er20000f0,er,20000,time_agnostic_t,lo(<.02),1600,0.01725,1380,0.4844375,0.3283069241067031,0.4213748675998956,0.438319276585865,0.5183111463369292,0.4542051012223277,1.0
er20000f1|t0.415|r0|time_agnostic_t|b1600,er20000f1,er,20000,time_agnostic_t,lo(<.02),1600,0.0169,1352,0.414575,0.3170490074400364,0.3621955001268125,0.3752534961750234,0.3752534961750234,0.2569163382843234,0.5
er20000f1|t0.564|r0|time_agnostic_t|b400,er20000f1,er,20000,time_agnostic_t,lo(<.02),400,0.0043625,349,0.56385,0.3170490074400364,0.5484730318024935,0.5816699976070865,0.5816699976070865,0.5017847593394399,0.5
er8000f0|t0.533|r0|time_agnostic_t|b400,er8000f0,er,8000,time_agnostic_t,lo(<.02),400,0.0104375,334,0.53296875,0.3258262757030634,0.2739836891061572,0.2945600701157264,0.2945600701157264,0.3949441306687931,0.5
