arm,condition,words,characters,portable_tokens,qwen36_tokens_est,sha256_16
time_agnostic_t,hidden,22,145,23,38,6ccf0702fb791f17
time_agnostic_t,direction_only,59,358,60,100,aeaab593eba073e4
time_agnostic_t,mechanism,127,719,133,221,01aeb8d1cd721964
time_agnostic_t,mechanism_direction,164,932,170,283,af66a328e639da73
time_agnostic_t,metadata_only,13,83,14,23,9848b779fba98fc4
time_agnostic_t,mismatched,153,861,161,268,86965e9d64210a1d
time_agnostic_t,disclosed_historical,85,540,93,155,3b3511e8f687bcb6
time_agnostic_t,irrelevant_context,157,931,166,276,7efd50c5620dcbc8
time_respecting,hidden,22,145,23,38,6ccf0702fb791f17
time_respecting,direction_only,59,358,60,100,aeaab593eba073e4
time_respecting,mechanism,145,791,154,256,5b85c3e5a3d1552d
time_respecting,mechanism_direction,182,1004,191,318,1b8a25adf276e7e1
time_respecting,metadata_only,13,83,14,23,9848b779fba98fc4
time_respecting,disclosed_historical,110,646,124,206,6a3cc41938237fe4
time_respecting,irrelevant_context,157,931,166,276,7efd50c5620dcbc8
recent_history_k20,hidden,22,145,23,38,6ccf0702fb791f17
recent_history_k20,direction_only,59,358,60,100,aeaab593eba073e4
recent_history_k20,mechanism,159,868,167,278,12a5cc674160c51f
recent_history_k20,mechanism_direction,196,1081,204,339,5e0671bc17acf468
recent_history_k20,metadata_only,13,83,14,23,9848b779fba98fc4
recent_history_k20,disclosed_historical,98,577,106,176,ef810b123903cbc5
recent_history_k20,irrelevant_context,157,931,166,276,7efd50c5620dcbc8
node_panel_full_history,hidden,22,145,23,38,6ccf0702fb791f17
node_panel_full_history,direction_only,59,361,60,100,8e96734148fa2bff
node_panel_full_history,mechanism,140,796,147,245,cf61811826d32306
node_panel_full_history,mechanism_direction,177,1012,184,306,29b4472476c68440
node_panel_full_history,metadata_only,13,83,14,23,9848b779fba98fc4
node_panel_full_history,irrelevant_context,157,931,166,276,7efd50c5620dcbc8
event_sample_then_full_history,hidden,22,145,23,38,6ccf0702fb791f17
event_sample_then_full_history,direction_only,59,357,60,100,03d3bccdc53a752d
event_sample_then_full_history,mechanism,153,861,161,268,86965e9d64210a1d
event_sample_then_full_history,mechanism_direction,190,1073,198,329,2084da5eb62fc887
event_sample_then_full_history,metadata_only,13,83,14,23,9848b779fba98fc4
event_sample_then_full_history,mismatched,127,719,133,221,01aeb8d1cd721964
event_sample_then_full_history,irrelevant_context,157,931,166,276,7efd50c5620dcbc8
