case_id,instance_id,group_id,coverage,p_arm_b,actual_arm,stated_arm,p_stated,mismatch_detectability
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__beta1,activity::n1500::f0,0.1413924259963618,0.9997227164290872,event_sample_then_full_history,time_agnostic_t,0.00027728357091283407,0.9997227164290872
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,0.1073259467504547,0.09281684010877252,time_agnostic_t,event_sample_then_full_history,0.09281684010877252,0.9071831598912274
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,0.3375926859117414,0.07449969292480049,event_sample_then_full_history,time_agnostic_t,0.9255003070751995,0.07449969292480052
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,0.0276078036138506,0.04788289372425816,time_agnostic_t,event_sample_then_full_history,0.04788289372425816,0.9521171062757419
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n500__f0__beta1,activity::n500::f0,0.9640924741760944,0.9788230306579714,event_sample_then_full_history,time_agnostic_t,0.021176969342028618,0.9788230306579714
activity__n500__f0__beta1|time_agnostic_t|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,0.2710280373831775,0.1955468580223426,time_agnostic_t,event_sample_then_full_history,0.1955468580223426,0.8044531419776574
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n500__f0__memoryless,activity::n500::f0,0.9597435358419172,0.08440947136681805,event_sample_then_full_history,time_agnostic_t,0.9155905286331819,0.08440947136681809
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,0.0794618457010721,0.05745761137539384,time_agnostic_t,event_sample_then_full_history,0.05745761137539384,0.9425423886246062
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,0.250930578820026,0.0001818560256762392,event_sample_then_full_history,time_agnostic_t,0.9998181439743238,0.00018185602567621917
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,0.0319188535268937,0.02765481483745557,time_agnostic_t,event_sample_then_full_history,0.02765481483745557,0.9723451851625444
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,0.2499069421179973,0.019532227813060913,event_sample_then_full_history,time_agnostic_t,0.980467772186939,0.019532227813060965
