instance_id,group_id,strategy,budget,selection,censoring,total_bias,observed_dyads
activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,200,0.235380496884679,-0.7293233082706767,-0.49394281138599766,4.897839799950911
activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,400,0.2540590831140319,-0.732283464566929,-0.4782243814528972,5.541263545158426
activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,600,0.25848555683184427,-0.7108108108108109,-0.45232525397896656,5.916202062607435
activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,800,0.2685117120192898,-0.6946236559139786,-0.42611194389468876,6.144185634125646
activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,1200,0.27686312722735185,-0.6980568011958146,-0.4211936739684628,6.507277712385012
activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,1600,0.2818522052876723,-0.6884661117717004,-0.40661390648402806,6.7357800142423265
activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,200,-0.02370840183270262,-0.511764705882353,-0.5354731077150556,5.14166355650266
activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,400,-0.024410772333141595,-0.4985074626865672,-0.5229182350197088,5.817111159963204
activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,600,-0.023755366726444627,-0.48702594810379235,-0.510781314830237,6.218600119691729
activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,800,-0.01578671235567919,-0.48073959938366717,-0.49652631173934636,6.476972362889683
activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,1200,-0.007029325138733888,-0.4789029535864979,-0.4859322787252318,6.855408798609928
activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,1600,-0.00941241448911001,-0.4686226568867155,-0.4780350713758255,7.113142108707088
activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,200,0.235380496884679,-0.7894736842105263,-0.5540931873258472,4.897839799950911
activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,400,0.2499633249225156,-0.7741935483870969,-0.5242302234645813,5.517452896464707
activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,600,0.24721405806034547,-0.75,-0.5027859419396545,5.8664680569332965
activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,800,0.2631772615235489,-0.7597402597402597,-0.4965629982167108,6.137727054086234
activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,1200,0.25391017963922047,-0.7443267776096824,-0.49041659797046183,6.495265555937008
activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,1600,0.25528319480595285,-0.7406962785114046,-0.4854130837054518,6.726233402358747
activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,200,0.037142450733030755,-0.042168674698795185,-0.005026223965764432,5.117993812416755
activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,400,0.030616346315360064,-0.03869047619047619,-0.008074129875116125,5.820082930352362
activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,600,0.01949957781569951,-0.0285132382892057,-0.009013660473506194,6.198478716492308
activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,800,0.0133027998922246,-0.0228310502283105,-0.0095282503360859,6.489204931325317
activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,1200,0.00859807675314014,-0.017580144777662874,-0.008982068024522734,6.875232087276577
activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,1600,0.008542156137721614,-0.018025078369905956,-0.009482922232184344,7.152268856032539
activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,200,-0.0110503203513066,0.0,-0.0110503203513066,5.272999558563747
activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,400,-0.0007144030386451016,-0.0103359173126615,-0.0110503203513066,5.961005339623274
activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,600,0.0010813954199239018,-0.012131715771230503,-0.0110503203513066,6.359573868672378
activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,800,0.0006837083318746249,-0.011734028683181226,-0.0110503203513066,6.643789733147672
activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,1200,0.0010919172896300868,-0.012142237640936688,-0.0110503203513066,7.050989447068045
activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,1600,0.0008152037093394106,-0.011865524060646011,-0.0110503203513066,7.325148957955575
activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,200,0.0021075743855355038,-0.013157894736842105,-0.0110503203513066,5.030437921392435
activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,400,0.0089496796486934,-0.02,-0.0110503203513066,5.707110264748875
activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,600,0.002617105616802739,-0.01366742596810934,-0.0110503203513066,6.0867747269123065
activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,800,0.0046564859314159115,-0.015706806282722512,-0.0110503203513066,6.352629396319567
activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,1200,0.004593482296106156,-0.015643802647412757,-0.0110503203513066,6.723832440821209
activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,1600,0.005585539168101901,-0.0166358595194085,-0.0110503203513066,6.9874902470009905
activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,200,0.31228480078701426,-0.6964285714285714,-0.38414377064155714,4.727387818712341
activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,400,0.32930358012973726,-0.676056338028169,-0.34675275789843174,5.365976015021851
activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,600,0.3147682444956236,-0.6324503311258278,-0.31768208663020425,5.713732805509369
activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,800,0.3152688856676509,-0.6153846153846154,-0.30011572971696454,5.934894195619588
activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,1200,0.3047090432112567,-0.5946969696969697,-0.28998792648571303,6.270988431858299
activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,1600,0.30395146745368096,-0.5555555555555556,-0.2516040881018746,6.447305862541213
activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,200,0.015206878709092209,-0.474025974025974,-0.4588190953168818,5.043425116919247
activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,400,0.015716173336033923,-0.48039215686274517,-0.46467598352671124,5.726847747587197
activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,600,0.01815040443166116,-0.4624145785876993,-0.44426417415603814,6.0867747269123065
activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,800,0.0180470512407348,-0.4500907441016334,-0.4320436928608986,6.313548046277095
activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,1200,0.01183492932171859,-0.429305912596401,-0.4174709832746824,6.658011045870748
activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,1600,0.014129063082096271,-0.39959016393442626,-0.38546110085233,6.884486652042782
activity__n500__f0__beta1,activity::n500::f0,time_respecting,200,0.2847424279056583,-0.7457627118644068,-0.46102028395874844,4.77912349311153
activity__n500__f0__beta1,activity::n500::f0,time_respecting,400,0.2662321692080669,-0.7192982456140351,-0.4530660764059682,5.43372200355424
activity__n500__f0__beta1,activity::n500::f0,time_respecting,600,0.24741138306549526,-0.689873417721519,-0.44246203465602374,5.75890177387728
activity__n500__f0__beta1,activity::n500::f0,time_respecting,800,0.24802648876655387,-0.6751918158567775,-0.4271653270902236,5.971261839790462
activity__n500__f0__beta1,activity::n500::f0,time_respecting,1200,0.2376650289238964,-0.6520912547528517,-0.41442622582895533,6.267200548541362
activity__n500__f0__beta1,activity::n500::f0,time_respecting,1600,0.22816530393166834,-0.6289308176100629,-0.4007655136783945,6.456769655572163
activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,200,0.02061514926639499,-0.060240963855421686,-0.0396258145890267,5.117993812416755
activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,400,0.028697166777432934,-0.06832298136645963,-0.0396258145890267,5.777652323222656
activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,600,0.023135691687123927,-0.060669456066945605,-0.03753376437982168,6.171700597410915
activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,800,0.02468286708299902,-0.06109324758842443,-0.03641038050542541,6.434546518787453
activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,1200,0.019460027105510647,-0.05462653288740245,-0.0351665057818918,6.8001700683022
activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,1600,0.02108537361565674,-0.05464006938421509,-0.03355469576855835,7.050989447068045
activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,200,0.0013998264366143279,-0.041025641025641026,-0.0396258145890267,5.278114659230518
activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,400,0.004415636188175372,-0.04404145077720207,-0.0396258145890267,5.958424693029782
activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,600,0.0022590021649000064,-0.041884816753926704,-0.0396258145890267,6.352629396319567
activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,800,-0.0025887775519896628,-0.037037037037037035,-0.0396258145890267,6.6293632534374485
activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,1200,-0.00863219562822451,-0.0300820419325433,-0.03871423756076781,7.001245622069476
activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,1600,-0.00333830586606787,-0.03349616189811584,-0.03683446776418371,7.2682230211595655
activity__n500__f0__memoryless,activity::n500::f0,time_respecting,200,0.04646690064276138,-0.08609271523178808,-0.0396258145890267,5.0238805208462765
activity__n500__f0__memoryless,activity::n500::f0,time_respecting,400,0.0484023544250578,-0.0880281690140845,-0.0396258145890267,5.652489180268651
activity__n500__f0__memoryless,activity::n500::f0,time_respecting,600,0.04057468666410613,-0.07769423558897243,-0.0371195489248663,5.991464547107982
activity__n500__f0__memoryless,activity::n500::f0,time_respecting,800,0.03331084567968731,-0.0710172744721689,-0.037706428792481594,6.257667587882639
activity__n500__f0__memoryless,activity::n500::f0,time_respecting,1200,0.03687691765141046,-0.07513661202185792,-0.03825969437044746,6.597145701886651
activity__n500__f0__memoryless,activity::n500::f0,time_respecting,1600,0.03895330274143617,-0.077502691065662,-0.03854938832422584,6.835184586147301
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,200,0.007478415905903701,-0.1337579617834395,-0.1262795458775358,5.062595033026967
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,400,0.03658690363386485,-0.16286644951140064,-0.1262795458775358,5.730099782973575
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,600,0.023071103473113558,-0.14935064935064934,-0.1262795458775358,6.137727054086234
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,800,0.040933568876562576,-0.1639344262295082,-0.12300085735294562,6.415096959171596
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,1200,0.03743726828175625,-0.15597345132743362,-0.11853618304567738,6.807934943699926
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,1600,0.04052969278799029,-0.1573994867408041,-0.1168697939528138,7.064759027791802
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,200,0.0008880841802676731,-0.12716763005780346,-0.1262795458775358,5.159055299214529
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,400,-0.0030703768230945228,-0.12320916905444126,-0.1262795458775358,5.857933154483459
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,600,0.0055033998588983335,-0.12596899224806202,-0.1204655923891637,6.248042874508429
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,800,0.0034580634519102704,-0.12390670553935859,-0.12044864208744832,6.532334292222349
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,1200,-0.013729745080723041,-0.10557768924302789,-0.11930743432375093,6.912742820493176
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,1600,-0.0035522731502630606,-0.11666666666666667,-0.12021893981692973,7.186144304522325
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,200,0.2446881960579481,-0.3467741935483871,-0.102085997490439,4.8283137373023015
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,400,0.21798274920443142,-0.3073770491803279,-0.08939429997589644,5.501258210544727
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,600,0.2225576634247898,-0.3081395348837209,-0.08558187145893113,5.84354441703136
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,800,0.20705378745579753,-0.2962962962962963,-0.08924250884049875,6.131226489483141
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,1200,0.21354081340390133,-0.3023952095808383,-0.088854396176937,6.505784060128229
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,1600,0.1839056393076494,-0.2719907407407407,-0.08808510143309134,6.762729506931879
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,200,0.12344065592691278,-0.5771812080536913,-0.4537405521267785,5.0106352940962555
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,400,0.1273203410926913,-0.5780730897009967,-0.4507527486083054,5.71042701737487
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,600,0.11855825674921161,-0.5698198198198199,-0.4512615630706082,6.09807428216624
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,800,0.12626172292725402,-0.5627118644067797,-0.43645014147952566,6.3818160174060985
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,1200,0.13164264892041322,-0.5693348365276212,-0.43769218760720796,6.78897174299217
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,1600,0.12709828778281584,-0.5629820051413882,-0.4358837173585723,7.0630481633881725
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_agnostic_t,200,0.12619933340869316,-0.5337423312883436,-0.4075429978796504,5.099866427824199
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_agnostic_t,400,0.06621922046522122,-0.4954128440366973,-0.42919362357147606,5.793013608384144
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_agnostic_t,600,0.06301040910690814,-0.4907597535934292,-0.4277493444865211,6.1903154058531475
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_agnostic_t,800,0.05843883500188285,-0.4883720930232558,-0.42993325802137294,6.470799503782602
