strategy,estimator,n,rho2_bias,rho2_mae,profile_mae
event_sample_then_full_history,plugin,32,0.16314259290403949,0.16430892117545526,0.10169529512427583
event_sample_then_full_history,hajek,32,0.009463863099106098,0.08978748440980958,0.04593062773904771
event_sample_then_full_history,occmle,32,0.31683923488874965,0.31777445219238426,0.2530570613427033
node_panel_full_history,plugin,32,-0.002173654723659207,0.03431795875852613,0.021863242890251926
node_panel_full_history,hajek,32,-0.17380213375353235,0.17380213375353235,0.08812027113417345
node_panel_full_history,occmle,32,0.2837824110147069,0.28599354935142274,0.23027855444252993
recent_history_k20,plugin,32,-0.27813160784946567,0.27813160784946567,0.13577145816803532
recent_history_k20,hajek,32,-0.3126372698915531,0.3126372698915531,0.14643640543977518
recent_history_k20,occmle,32,-0.07287452663630524,0.12846614752046626,0.07626240859546488
time_agnostic_t,plugin,32,-0.2795761395227846,0.28858746805007607,0.13125507777509451
time_agnostic_t,hajek,32,-0.29382690804329104,0.3028382365705825,0.13503822826751694
time_agnostic_t,occmle,32,-0.055551265783834375,0.08618376867742203,0.05364286001602635
time_respecting,plugin,32,-0.30071873528093285,0.30071873528093285,0.1435240501353503
time_respecting,hajek,32,-0.32227448798397085,0.32227448798397085,0.14944003823313118
time_respecting,occmle,32,-0.14854257403756962,0.19407993072928292,0.10701499900808786
