case_id,strategy,group_id,plugin_rho_k2,plugin_rho_k3,plugin_rho_k4,plugin_rho_k5,hajek_rho_k2,hajek_rho_k3,hajek_rho_k4,hajek_rho_k5,true_rho_k2,occmle_rho_k2,true_rho_k3,occmle_rho_k3,true_rho_k4,occmle_rho_k4,true_rho_k5,occmle_rho_k5
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,activity::n1500::f0,0.8771929824561403,0.7660818713450293,0.6210526315789474,0.4245614035087719,0.5314700424634384,0.3564338789718541,0.21917158437585516,0.11623623843923774,0.5766495783032909,1.0,0.3818422358194145,1.0,0.2553332230858277,1.0,0.1423846535472135,0.9999998935349478
activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,activity::n1500::f0,0.590339892665474,0.370304114490161,0.23971377459749552,0.13416815742397137,0.2809311446806513,0.11081873549676546,0.04741628651174458,0.01955240829587126,0.5766495783032909,1.0,0.3818422358194145,0.999999999999932,0.2553332230858277,0.999999999999932,0.1423846535472135,0.999997060935666
activity__n1500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,activity::n1500::f0,0.15053763440860216,0.034408602150537634,0.010752688172043012,0.0,0.07120913890472948,0.009829350698723961,0.0026612215865540853,0.0,0.5766495783032909,0.6850851176313051,0.3818422358194145,0.5495403870281635,0.2553332230858277,0.4475813718020651,0.1423846535472135,0.2274568409220381
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,activity::n1500::f0,0.08012326656394453,0.0030816640986132513,0.0,0.0,0.04048640915593705,0.001144492131616595,0.0,0.0,0.5766495783032909,0.6740109232923379,0.3818422358194145,0.243126639819062,0.2553332230858277,0.1078738408498841,0.1423846535472135,0.0417386808970401
activity__n1500__f0__beta1|time_respecting|ws0|b800,time_respecting,activity::n1500::f0,0.08008658008658008,0.010822510822510822,0.0021645021645021645,0.0021645021645021645,0.03751021495559301,0.0023079064504638266,0.00031430632593865344,0.00031430632593865344,0.5766495783032909,0.4557387942771766,0.3818422358194145,0.3312278164400463,0.2553332230858277,0.0727501579573913,0.1423846535472135,0.0717371844871166
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,activity::n1500::f0,0.019405053843693357,0.00021324234993069622,0.0,0.0,0.009781533758878002,7.192304234469118e-05,0.0,0.0,0.0110503203513066,0.992684871276115,0.0001079835864948,0.9082941118110738,0.0,0.7092965444197621,0.0,0.4012958728931607
activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,activity::n1500::f0,0.009140008309098464,0.0,0.0,0.0,0.004599623667154506,0.0,0.0,0.0,0.0110503203513066,0.9255299762259293,0.0001079835864948,0.7559805600327089,0.0,0.533050268781951,0.0,0.2774495429737174
activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,activity::n1500::f0,0.0015220700152207,0.0,0.0,0.0,0.0007781091946569835,0.0,0.0,0.0,0.0110503203513066,0.0580588547822339,0.0001079835864948,0.0260128984527944,0.0,0.0137301055718791,0.0,0.0059508814151614
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,activity::n1500::f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110503203513066,0.0010122697109076,0.0001079835864948,0.0001269226370833,0.0,4.055723311496642e-05,0.0,1.349924751502649e-05
activity__n1500__f0__memoryless|time_respecting|ws0|b800,time_respecting,activity::n1500::f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110503203513066,4.525355574756708e-06,0.0001079835864948,1.1683258207784913e-07,0.0,2.023864796310281e-08,0.0,5.0839657082304935e-09
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,activity::n500::f0,0.5826530612244898,0.3964285714285714,0.275,0.14387755102040817,0.2582566117716284,0.11069303329515927,0.05525412223882788,0.0205884760475956,0.5627151992129857,0.999529242163543,0.382685686178062,0.999529242163543,0.2651254303984259,0.999529242163537,0.1387112641416625,0.9532422130587176
activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,activity::n500::f0,0.5610200364298725,0.3588342440801457,0.25136612021857924,0.12932604735883424,0.2561266550296901,0.09836011043708592,0.048371283236208526,0.01778926687122901,0.5627151992129857,1.0,0.382685686178062,1.0,0.2651254303984259,1.0,0.1387112641416625,0.9502806315409154
activity__n500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,activity::n500::f0,0.2625994694960212,0.07161803713527852,0.013262599469496022,0.002652519893899204,0.12396516274566868,0.02263927008382168,0.0028092719287734495,0.0004393648040261793,0.5627151992129857,0.8272495184688927,0.382685686178062,0.6188140607103448,0.2651254303984259,0.4198955089162834,0.1387112641416625,0.1840687847314014
