scope,null,constant,slope,intercept,r2,rmse,n,slope_analytic
pooled,N0_no_movement,,0.0,0.0,,0.0,160,0.0
pooled,N1_prior_fallback,0.3405230696125209,0.6640142223870332,0.04686716308634494,0.3755730165995228,0.21409720364079093,160,0.6640142223870333
pooled,perfect_corrector,,0.9999999999999999,-5.463773911725269e-17,1.0,7.926810259795409e-17,160,1.0
event_sample_then_full_history,N0_no_movement,,0.0,0.0,,0.0,32,0.0
event_sample_then_full_history,N1_prior_fallback,0.3405230696125209,1.5883390755017526,0.0959831622841214,0.5344803740328897,0.21376982909924414,32,1.5883390755017524
event_sample_then_full_history,perfect_corrector,,1.0000000000000004,-3.2935885069098497e-18,1.0,9.494878245363397e-17,32,1.0
node_panel_full_history,N0_no_movement,,0.0,0.0,,0.0,32,0.0
node_panel_full_history,N1_prior_fallback,0.3405230696125209,1.134023297818078,-0.00029132037438264703,0.057039987013766336,0.2298947801823128,32,1.1340232978180786
node_panel_full_history,perfect_corrector,,0.9999999999999998,5.7759426521812914e-18,1.0,1.1119516113899608e-17,32,1.0
recent_history_k20,N0_no_movement,,0.0,0.0,,0.0,32,0.0
recent_history_k20,N1_prior_fallback,0.3405230696125209,-0.20852991159665193,0.3361303674465495,0.26113942072041374,0.06410708364164866,32,-0.20852991159665257
recent_history_k20,perfect_corrector,,0.9999999999999996,-4.723930160732277e-17,1.0,1.7891136188118206e-16,32,1.0
time_agnostic_t,N0_no_movement,,0.0,0.0,,0.0,32,0.0
time_agnostic_t,N1_prior_fallback,0.3405230696125209,0.2102659502674116,0.22079079687393183,0.05644824331762299,0.1693712930840207,32,0.21026595026741124
time_agnostic_t,perfect_corrector,,1.0,2.9102663723981335e-17,1.0,3.898426780498922e-17,32,1.0
time_respecting,N0_no_movement,,0.0,0.0,,0.0,32,0.0
time_respecting,N1_prior_fallback,0.3405230696125209,-0.11302222478858759,0.3347066357779942,0.33915375429470895,0.032277860261767995,32,-0.1130222247885877
time_respecting,perfect_corrector,,1.0,8.855280952004727e-18,1.0,6.232040865652951e-18,32,1.0
