prompt_id,case_id,arm,condition,subset,qwen36_tokens
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600|direction_only,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,2344
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600|hidden,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,2296
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600|mechanism,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,2450
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600|mechanism_direction,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,2498
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600|mismatched,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,2419
activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500|direction_only,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1796
activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500|hidden,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1749
activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500|mechanism,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1886
activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500|mechanism_direction,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1933
activity__n1500__f0__beta1|recent_history_k20|ws0|b800|direction_only,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1116
activity__n1500__f0__beta1|recent_history_k20|ws0|b800|hidden,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,1069
activity__n1500__f0__beta1|recent_history_k20|ws0|b800|mechanism,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1229
activity__n1500__f0__beta1|recent_history_k20|ws0|b800|mechanism_direction,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1276
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800|direction_only,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,1037
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800|hidden,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,990
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800|mechanism,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,1113
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800|mechanism_direction,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1160
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800|metadata_only,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,653
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800|mismatched,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1144
activity__n1500__f0__beta1|time_respecting|ws0|b800|direction_only,activity__n1500__f0__beta1|time_respecting|ws0|b800,time_respecting,direction_only,factorial,969
activity__n1500__f0__beta1|time_respecting|ws0|b800|hidden,activity__n1500__f0__beta1|time_respecting|ws0|b800,time_respecting,hidden,factorial,922
activity__n1500__f0__beta1|time_respecting|ws0|b800|mechanism,activity__n1500__f0__beta1|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1069
activity__n1500__f0__beta1|time_respecting|ws0|b800|mechanism_direction,activity__n1500__f0__beta1|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1116
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600|direction_only,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,967
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600|hidden,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,919
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600|mechanism,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1073
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600|mechanism_direction,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1121
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600|mismatched,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1042
activity__n1500__f0__memoryless|event_sample_then_full_history|ss1|b9600|slot1|hidden,activity__n1500__f0__memoryless|event_sample_then_full_history|ss1|b9600,event_sample_then_full_history,hidden,seed_replication,932
activity__n1500__f0__memoryless|event_sample_then_full_history|ss1|b9600|slot1|mechanism,activity__n1500__f0__memoryless|event_sample_then_full_history|ss1|b9600,event_sample_then_full_history,mechanism,seed_replication,1086
activity__n1500__f0__memoryless|event_sample_then_full_history|ss2|b9600|slot2|hidden,activity__n1500__f0__memoryless|event_sample_then_full_history|ss2|b9600,event_sample_then_full_history,hidden,seed_replication,935
activity__n1500__f0__memoryless|event_sample_then_full_history|ss2|b9600|slot2|mechanism,activity__n1500__f0__memoryless|event_sample_then_full_history|ss2|b9600,event_sample_then_full_history,mechanism,seed_replication,1089
activity__n1500__f0__memoryless|event_sample_then_full_history|ss3|b9600|slot3|hidden,activity__n1500__f0__memoryless|event_sample_then_full_history|ss3|b9600,event_sample_then_full_history,hidden,seed_replication,927
activity__n1500__f0__memoryless|event_sample_then_full_history|ss3|b9600|slot3|mechanism,activity__n1500__f0__memoryless|event_sample_then_full_history|ss3|b9600,event_sample_then_full_history,mechanism,seed_replication,1081
activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500|direction_only,activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,929
activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500|hidden,activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,882
activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500|mechanism,activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1019
activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500|mechanism_direction,activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1066
activity__n1500__f0__memoryless|node_panel_full_history|ss1|b2500|slot1|hidden,activity__n1500__f0__memoryless|node_panel_full_history|ss1|b2500,node_panel_full_history,hidden,seed_replication,882
activity__n1500__f0__memoryless|node_panel_full_history|ss1|b2500|slot1|mechanism,activity__n1500__f0__memoryless|node_panel_full_history|ss1|b2500,node_panel_full_history,mechanism,seed_replication,1019
activity__n1500__f0__memoryless|node_panel_full_history|ss2|b2500|slot2|hidden,activity__n1500__f0__memoryless|node_panel_full_history|ss2|b2500,node_panel_full_history,hidden,seed_replication,882
activity__n1500__f0__memoryless|node_panel_full_history|ss2|b2500|slot2|mechanism,activity__n1500__f0__memoryless|node_panel_full_history|ss2|b2500,node_panel_full_history,mechanism,seed_replication,1019
