completeness,scope,model,measure,n_cases,graph_groups,slope,ci_lo,ci_hi,share_negative_draws,slope_adjusted_for_mean
all_three,pooled,qwen36-27b_nothink,sd,709,12,0.0007723726146755619,-0.008959443885264663,0.00936065915203695,0.43975,0.0011742607150337942
all_three,pooled,qwen36-27b_think,sd,952,12,-0.004999788347014564,-0.02034614266190262,0.003988470220113523,0.85175,-0.0060920665774847164
all_three,event_sample_then_full_history,qwen36-27b_nothink,sd,141,12,-0.004389130997779286,-0.020647629687421235,0.008071863599130001,0.75575,-0.002358719967640959
all_three,event_sample_then_full_history,qwen36-27b_think,sd,187,12,-0.012846604849284874,-0.025631624064356033,-0.00042109421260305057,0.97825,-0.010053761986510805
all_three,node_panel_full_history,qwen36-27b_nothink,sd,122,12,0.004625794692371498,-0.012749874555742512,0.02186465752339479,0.2635,0.0028951281517840466
all_three,node_panel_full_history,qwen36-27b_think,sd,173,12,-0.010444631635702044,-0.025192255059177996,0.006856731146983646,0.87725,-0.014899723316453943
all_three,recent_history_k20,qwen36-27b_nothink,sd,127,12,-0.014699397905370521,-0.04158285841993108,0.0024813342207089502,0.9545,-0.03948917262921195
all_three,recent_history_k20,qwen36-27b_think,sd,176,12,-0.003290046322396287,-0.05723235351879904,0.018573332986898117,0.5645,-0.04867562830395658
all_three,time_agnostic_t,qwen36-27b_nothink,sd,192,12,0.008164040860969096,-0.01773854079573742,0.03598557295864195,0.19075,0.008724838975692007
all_three,time_agnostic_t,qwen36-27b_think,sd,240,12,-0.0005378331635380024,-0.016133844180029198,0.016187718454699674,0.507,-0.0026523016066584693
all_three,time_respecting,qwen36-27b_nothink,sd,127,12,-0.004701931754734702,-0.014622094482214283,0.017467922849937235,0.67675,-0.018681672959225834
all_three,time_respecting,qwen36-27b_think,sd,176,12,0.010141255708778303,-0.03022041037974027,0.04118832097410588,0.217,-0.01040282872077801
all_three,pooled,qwen36-27b_nothink,iqr,709,12,0.0009955657334517198,-0.008590516137494583,0.00911634298537482,0.41525,0.0013652647328958184
all_three,pooled,qwen36-27b_think,iqr,952,12,-0.004219898043392714,-0.01838117322408606,0.004117478279926397,0.8265,-0.005231846675132906
all_three,event_sample_then_full_history,qwen36-27b_nothink,iqr,141,12,-0.004066744703036774,-0.019570220376001424,0.007819524122985607,0.7535,-0.002284425431984715
all_three,event_sample_then_full_history,qwen36-27b_think,iqr,187,12,-0.011280904363859555,-0.023118199690177577,-0.00016950693663992817,0.977,-0.008786911959603023
all_three,node_panel_full_history,qwen36-27b_nothink,iqr,122,12,0.00343603688634674,-0.012704902099106463,0.01849385295926938,0.29825,0.0019860286979441616
all_three,node_panel_full_history,qwen36-27b_think,iqr,173,12,-0.008953270884200252,-0.02176983172838486,0.006077013799544528,0.875,-0.012830082902499922
all_three,recent_history_k20,qwen36-27b_nothink,iqr,127,12,-0.014115390226680156,-0.03995701243350172,0.0016004045669070308,0.9605,-0.03837536541406432
all_three,recent_history_k20,qwen36-27b_think,iqr,176,12,-0.0026804354842575474,-0.050108901819419134,0.017138336217110223,0.562,-0.04439168517477732
all_three,time_agnostic_t,qwen36-27b_nothink,iqr,192,12,0.008518157028080496,-0.016052554323128913,0.036083333864773894,0.17525,0.00905951254146581
all_three,time_agnostic_t,qwen36-27b_think,iqr,240,12,-0.00039194313539942535,-0.01516701021738953,0.015044392649014448,0.5,-0.002400079471358958
all_three,time_respecting,qwen36-27b_nothink,iqr,127,12,-0.0037868306088532,-0.012703088157423516,0.01580217982690377,0.66775,-0.017088700791932226
all_three,time_respecting,qwen36-27b_think,iqr,176,12,0.009065342280659179,-0.02532644875500848,0.03702380527575075,0.2075,-0.010264176292565
at_least_two,pooled,codex-gpt-5.6-sol,sd,30,4,-0.003469886045769242,-0.006058673814357897,-0.00018604652777808546,0.9975,-0.0033528181187843305
at_least_two,pooled,qwen36-27b_nothink,sd,732,12,0.0018315426869519027,-0.007908138370730448,0.010473414106572012,0.35175,0.002440506604261195
at_least_two,pooled,qwen36-27b_think,sd,970,12,-0.005464243948355903,-0.02088949506238982,0.0035044434346669165,0.87725,-0.006606666765281086
at_least_two,event_sample_then_full_history,codex-gpt-5.6-sol,sd,16,4,-8.179078150451021e-06,-1.4638655725640776e-05,1.6280364325407538e-07,0.83625,-7.319659932732129e-06
at_least_two,event_sample_then_full_history,qwen36-27b_nothink,sd,156,12,-0.002231382916240124,-0.015649239490983038,0.009697786143383581,0.6455,-0.00035428537348482225
at_least_two,event_sample_then_full_history,qwen36-27b_think,sd,202,12,-0.013826987443797446,-0.027008944036060332,-0.0020969510299841125,0.989,-0.01087397619689803
at_least_two,node_panel_full_history,qwen36-27b_nothink,sd,128,12,0.005120185401400153,-0.012529941613318477,0.022243026629594122,0.25175,0.00354527139689103
at_least_two,node_panel_full_history,qwen36-27b_think,sd,176,12,-0.01080242011003708,-0.025477029764187337,0.0064911468583427785,0.88325,-0.015174687953449742
at_least_two,recent_history_k20,qwen36-27b_nothink,sd,128,12,-0.014628238505553556,-0.04134658470309797,0.0025390622201490703,0.95475,-0.0394833513956141
at_least_two,recent_history_k20,qwen36-27b_think,sd,176,12,-0.003290046322396287,-0.05723235351879904,0.018573332986898117,0.5645,-0.04867562830395658
at_least_two,time_agnostic_t,codex-gpt-5.6-sol,sd,14,4,-0.00429390272393611,-0.018550363527323404,0.057522704463678936,0.675,-0.004874198794369
at_least_two,time_agnostic_t,qwen36-27b_nothink,sd,192,12,0.008164040860969096,-0.01773854079573742,0.03598557295864195,0.19075,0.008724838975692007
at_least_two,time_agnostic_t,qwen36-27b_think,sd,240,12,-0.0005378331635380024,-0.016133844180029198,0.016187718454699674,0.507,-0.0026523016066584693
at_least_two,time_respecting,qwen36-27b_nothink,sd,128,12,-0.0047055884684544,-0.014622094482214283,0.01732098077400316,0.67925,-0.018622442251013907
at_least_two,time_respecting,qwen36-27b_think,sd,176,12,0.010141255708778303,-0.03022041037974027,0.04118832097410588,0.217,-0.01040282872077801
at_least_two,pooled,codex-gpt-5.6-sol,iqr,30,4,-0.002453579952908004,-0.004284129339129822,-0.00013155476140809283,0.9975,-0.0023708004278775218
at_least_two,pooled,qwen36-27b_nothink,iqr,732,12,0.0020027257684517284,-0.007465865252098535,0.010317295988416337,0.333,0.002562729455856602
at_least_two,pooled,qwen36-27b_think,iqr,970,12,-0.004539650778917853,-0.018592716748154128,0.0036563546025156616,0.85575,-0.0055896036906841855
at_least_two,event_sample_then_full_history,codex-gpt-5.6-sol,iqr,16,4,-5.7834816240441686e-06,-1.035109273106478e-05,1.1511956015057991e-07,0.83625,-5.175781174417473e-06
at_least_two,event_sample_then_full_history,qwen36-27b_nothink,iqr,156,12,-0.0020754269370136954,-0.014852479525695439,0.009195050245807246,0.643,-0.0003788583395572514
at_least_two,event_sample_then_full_history,qwen36-27b_think,iqr,202,12,-0.011881625062003017,-0.02338600840809169,-0.0011089503307006735,0.985,-0.00928654616260153
at_least_two,node_panel_full_history,qwen36-27b_nothink,iqr,128,12,0.003868718359435289,-0.012779878571839022,0.018936398176505012,0.28475,0.0025390711755781483
at_least_two,node_panel_full_history,qwen36-27b_think,iqr,176,12,-0.009276728776688527,-0.022057319112077322,0.005840818926441608,0.882,-0.013081931149438543
at_least_two,recent_history_k20,qwen36-27b_nothink,iqr,128,12,-0.014020121559401343,-0.03972862093331145,0.0014167301790797748,0.96125,-0.038362704365246955
at_least_two,recent_history_k20,qwen36-27b_think,iqr,176,12,-0.0026804354842575474,-0.050108901819419134,0.017138336217110223,0.562,-0.04439168517477732
at_least_two,time_agnostic_t,codex-gpt-5.6-sol,iqr,14,4,-0.0030362477338506002,-0.013117087843646,0.04067469439845707,0.675,-0.003446579020349604
at_least_two,time_agnostic_t,qwen36-27b_nothink,iqr,192,12,0.008518157028080496,-0.016052554323128913,0.036083333864773894,0.17525,0.00905951254146581
at_least_two,time_agnostic_t,qwen36-27b_think,iqr,240,12,-0.00039194313539942535,-0.01516701021738953,0.015044392649014448,0.5,-0.002400079471358958
at_least_two,time_respecting,qwen36-27b_nothink,iqr,128,12,-0.003785920726926268,-0.01263935172818954,0.01581493694558057,0.66825,-0.017056529171962653
at_least_two,time_respecting,qwen36-27b_think,iqr,176,12,0.009065342280659179,-0.02532644875500848,0.03702380527575075,0.2075,-0.010264176292565
