family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
all,R,plugin,100,0.01822701812338408,0.0010362292236152928,0.015160075275661595,0.000950402179778361,-0.0003443143256608151,0.001182975563337247,0.0,0.0,,
all,R,corrector,100,0.01822701812338408,0.0010362292236152928,0.015160075275661595,0.000950402179778361,-0.0003443143256608151,0.001182975563337247,,,0.0,0.0
all,R,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.28727416648831855,0.014759119186049422,0.28727416648831855,0.014759119186049422
all,R,extratrees_pooled,100,0.01779614376163234,0.0011290350473014397,0.014999355195816657,0.0009637973442911685,-0.0022592576138040898,0.0016462889584888149,-0.00043087436175173917,0.0009330930897518523,-0.00043087436175173917,0.0009330930897518523
all,R,extratrees_real_only,100,0.15310323089996064,0.01119887516035221,0.10488346437500894,0.009259427797500854,-0.13816747843655144,0.013005408964384225,0.13487621277657658,0.011383951427313443,0.13487621277657658,0.011383951427313443
all,S,plugin,100,0.14117026644490202,0.004989930142319191,0.11580695585101436,0.005641240516026735,0.13503750499224274,0.0049597113055444755,0.11025535259960552,0.004836842932803917,,
all,S,corrector,100,0.030914913845296516,0.004100271643554717,0.021398250738868013,0.0027513054540432708,0.0017211564581944535,0.0017529403416764588,,,-0.11025535259960552,0.004836842932803917
all,S,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.2745862707664061,0.014827086049200707,0.16433091816680065,0.017035320627089533
all,S,extratrees_pooled,100,0.019371119467323266,0.0019084938212176696,0.016351932464275073,0.0015102251654071888,0.0013675219311517555,0.0021153513647488844,-0.011543794377973253,0.002624141202937721,-0.12179914697757878,0.0043876671318195575
all,S,extratrees_real_only,100,0.15640580687515007,0.010932373027356945,0.10617477520151657,0.009044150261453512,-0.1369180388353728,0.013277746330318233,0.12549089302985356,0.010822604247014126,0.015235540430248043,0.012612864471565793
