stratum,arm,method,sources,MAE2,MAE2_se,ProfileMAE,signed_rho2,worst_source_AE2,fallbacks,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
real,R,plugin,6,0.017520519757333736,0.006122847865033885,0.012095031892409534,-0.002391245029262996,0.042105896743488004,0,0.0,0.0,,
real,R,corrector,6,0.017520519757333736,0.006122847865033885,0.012095031892409534,-0.002391245029262996,0.042105896743488004,0,,,0.0,0.0
real,R,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.21132820831707833,0.03611907045653009,0.21132820831707833,0.03611907045653009
real,R,extratrees_pooled,6,0.03137979076212361,0.008220939321883468,0.022477497412331404,0.016244546576483634,0.05982431722657772,0,0.013859271004789874,0.00906277657344847,0.013859271004789874,0.00906277657344847
real,R,extratrees_real_only,6,0.03594506567717494,0.0058225521015514885,0.028179545549615742,-0.007935805763438756,0.05601623263774284,0,0.018424545919841204,0.006541069029764454,0.018424545919841204,0.006541069029764454
real,S,plugin,6,0.31269262751090926,0.05256686918133223,0.24692739334554306,0.31269262751090926,0.42242768899149336,0,0.28190212846390333,0.04910879436731037,,
real,S,corrector,6,0.030790499047005915,0.01423369336816445,0.015525509946497927,0.0166232863676798,0.09528110853965031,0,,,-0.28190212846390333,0.04910879436731037
real,S,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.19805822902740614,0.042749993496808185,-0.08384389943649721,0.08234780787849226
real,S,extratrees_pooled,6,0.04442076446360672,0.009386633675415323,0.026765175803243557,0.03996091857236759,0.0732632540491264,0,0.013630265416600805,0.011083375627229875,-0.26827186304730255,0.05638347295940285
real,S,extratrees_real_only,6,0.030988785618924944,0.006432576180005832,0.028445298298981733,0.005571003536756071,0.05115116975301811,0,0.00019828657191902493,0.017365288496790064,-0.28170384189198433,0.05850488854279764
real,H,plugin,6,0.13337483020085225,0.0415183153718807,0.08958945769761746,-0.13337483020085225,0.23743499696089682,0,0.0988828818833652,0.03743429788463271,,
real,H,corrector,6,0.034491948317487024,0.00846068864502095,0.04112585935076734,-0.019548378712801285,0.06416840578224062,0,,,-0.0988828818833652,0.03743429788463271
real,H,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.19435677975692503,0.037564367626612534,0.09547389787355981,0.07328224482273019
real,H,extratrees_pooled,6,0.04884687882355717,0.01739949086397583,0.039304708499157515,0.025488615911988227,0.12770398599150196,0,0.01435493050607014,0.02214156440371701,-0.08452795137729509,0.05274029708262678
real,H,extratrees_real_only,6,0.04379699436528663,0.011400086661499265,0.04438668515899097,0.017861577266483634,0.07206584568450235,0,0.009305046047799609,0.018484614145803796,-0.08957783583556563,0.048021429714381225
real,B,plugin,6,0.18117746237969792,0.03967066684547797,0.09307622465549424,-0.18117746237969792,0.2927953414216581,0,0.09389257602677432,0.04751765897362827,,
real,B,corrector,6,0.08728488635292363,0.025191596045586035,0.05417179642228528,0.0581941287597541,0.17613583007925998,0,,,-0.09389257602677432,0.04751765897362827
real,B,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.14156384172148842,0.04435645412868994,0.04767126569471412,0.07027163105740832
real,B,extratrees_pooled,6,0.06902502917849228,0.025949369734736046,0.0451015057168245,0.040217185822643976,0.14795053368737301,0,-0.018259857174431342,0.04019145996255943,-0.11215243320120566,0.061929716521087065
real,B,extratrees_real_only,6,0.08469622344374374,0.022079545772648826,0.04637201767747285,-0.026503418156302656,0.14459049148356723,0,-0.0025886629091798805,0.03650844595054412,-0.09648123893595419,0.04363530800896442
real,B,candidate,6,0.07653096070843246,0.022160753960571742,0.04235272144161593,-0.028661327738372915,0.12823741084518195,6,-0.010753925644491158,0.03674784052971191,-0.10464650167126548,0.04094977092732405
synthetic,R,plugin,8,0.017610777834313536,0.002664174598079874,0.01605667467147051,0.0005752134108766268,0.026372499530259573,0,0.0,0.0,,
