family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
all,R,plugin,100,0.017608210303664683,0.0009824412923602804,0.014519534038195597,0.0008818017148268639,-0.00019223413941273307,0.001124352607155092,0.0,0.0,,
all,R,corrector,100,0.017608210303664683,0.0009824412923602804,0.014519534038195597,0.0008818017148268639,-0.00019223413941273307,0.001124352607155092,,,0.0,0.0
all,R,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.28789297430803795,0.014673666562558987,0.28789297430803795,0.014673666562558987
all,R,extratrees_pooled,100,0.01779471489925485,0.0011091423293003656,0.01495162265209202,0.0009287187703578415,-0.0006599995426592613,0.0016773434532643312,0.00018650459559016658,0.0010469405613864606,0.00018650459559016658,0.0010469405613864606
all,R,extratrees_real_only,100,0.1676588038813958,0.012085682559971311,0.11552568558883554,0.01020601376845744,-0.1543182279277559,0.01374992089065236,0.15005059357773112,0.01218430651264921,0.15005059357773112,0.01218430651264921
all,S,plugin,100,0.13685900824325725,0.00465727842785007,0.11451748672140807,0.005683589385058472,0.13361347405309112,0.005256008246722948,0.10504895361899136,0.005037749528279048,,
all,S,corrector,100,0.03181005462426587,0.0026577071585845245,0.02293470034080726,0.002407349846803167,-0.0010267053189358102,0.0026807680989617633,,,-0.10504895361899136,0.005037749528279048
all,S,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.2736911299874368,0.014117129548875475,0.1686421763684454,0.016907118095347194
all,S,extratrees_pooled,100,0.02101149836865617,0.0017370557557884782,0.018192764165374818,0.0014251615515772267,0.0014702376741878088,0.002371040868274559,-0.010798556255609697,0.002035788124177553,-0.1158475098746011,0.004715960898258045
all,S,extratrees_real_only,100,0.1749437171832881,0.011599621072700302,0.11820592319152544,0.009824526181338132,-0.15454173729584356,0.01422299267963054,0.14313366255902224,0.010924393563889545,0.03808470894003085,0.013081521334647373
all,H,plugin,100,0.05162218759352643,0.0062945633005047534,0.11647763921306012,0.010993837596853922,-0.047060455802718136,0.0065743448294422555,0.02829982088424522,0.004451548958271053,,
all,H,corrector,100,0.023322366709281218,0.002199550133876094,0.042346227177699,0.0036210400413768315,-0.015671816475637958,0.0025737541735839074,,,-0.02829982088424522,0.004451548958271053
all,H,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.2821788179024214,0.014023715077736384,0.25387899701817623,0.014867661220024472
all,H,extratrees_pooled,100,0.015150753803784283,0.0010725657109114778,0.013497266078808285,0.0009628796600181374,-0.0001582763776596968,0.0015834385710390766,-0.008171612905496941,0.0021961373645569757,-0.03647143378974215,0.006123675099261187
all,H,extratrees_real_only,100,0.17330288309045222,0.013002750934075874,0.12953457574851712,0.011600173534016035,-0.15712441421278034,0.014929313095537536,0.14998051638117105,0.012319421304113499,0.12168069549692583,0.012926460860865375
all,B,plugin,100,0.38388137003074474,0.016634159273930818,0.25035180824034087,0.01656530053721535,-0.38388137003074474,0.016634159273930818,0.267507332833293,0.013307415733355418,,
all,B,corrector,100,0.11637403719745175,0.006409444582760025,0.07669571640783703,0.0055060239881770815,0.11453495031237101,0.006619286833495876,,,-0.267507332833293,0.013307415733355418
all,B,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.1891271474142509,0.014089052261443228,-0.07838018541904207,0.014285515451286404
all,B,extratrees_pooled,100,0.02991369070953268,0.002180250144326613,0.026132940291802173,0.0017511232798302836,0.006274022468151108,0.003313483680904549,-0.08646034648791905,0.00599710896658144,-0.353967679321212,0.01654305603010768
all,B,extratrees_real_only,100,0.1890411798287584,0.012506556930993323,0.12673222064359968,0.01134234529601565,-0.187032452780955,0.012789356270936423,0.07266714263130673,0.01093061049271361,-0.19484019020198626,0.007788183844136929
all,B,candidate,100,0.07225518366201321,0.004073879322781235,0.050844545703645674,0.0036414393374563946,0.019653555516852547,0.00526399247779683,-0.04411885353543852,0.005225323734836076,-0.31162618636873146,0.014002662530115968
dar,R,plugin,50,0.01995234192265996,0.0012996449268199912,0.016664136758258428,0.0011749500313591565,-0.0009522883144896249,0.001577813578974072,0.0,0.0,,
dar,R,corrector,50,0.01995234192265996,0.0012996449268199912,0.016664136758258428,0.0011749500313591565,-0.0009522883144896249,0.001577813578974072,,,0.0,0.0
dar,R,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.265770270278152,0.020717708016616612,0.265770270278152,0.020717708016616612
dar,R,extratrees_pooled,50,0.02065703348500498,0.0016771562457962132,0.016594514793237224,0.0012911112590934329,0.001773930417863612,0.0027418546886267977,0.0007046915623450206,0.0017879560849317802,0.0007046915623450206,0.0017879560849317802
dar,R,extratrees_real_only,50,0.1701557199884155,0.014429284255562466,0.11971585970990184,0.014835116759322376,-0.16410982724212222,0.01575599428097662,0.15020337806575557,0.014699329216349024,0.15020337806575557,0.014699329216349024
dar,S,plugin,50,0.14165841025792317,0.005321058026011913,0.11129434315700402,0.005116444058302833,0.13516734187759089,0.007289654512414695,0.1027456228780548,0.00671491194563671,,
dar,S,corrector,50,0.0389127873798684,0.003967739766857821,0.028657613341401215,0.003931648720186313,-0.0018394329398493956,0.004726134793222896,,,-0.1027456228780548,0.00671491194563671
dar,S,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.24680982482094357,0.0207400336149387,0.1440642019428888,0.023544040739029277
dar,S,extratrees_pooled,50,0.029193755143012524,0.002783470611171609,0.02294492471977619,0.002184816756565976,0.005189402427147496,0.004340949545111428,-0.009719032236855878,0.0030485832691921903,-0.11246465511491065,0.006005806089441705
dar,S,extratrees_real_only,50,0.17762540453305595,0.014162491648807835,0.12284726364391185,0.01448755162905898,-0.1704846535148956,0.015832504091934943,0.13871261715318753,0.014527028520806836,0.035966994275132745,0.01734134350696425
dar,H,plugin,50,0.07916098908402662,0.0102358521930662,0.14560581472527834,0.014909144785557861,-0.07431003912936773,0.010844173243049721,0.04724136639424198,0.007583407104593692,,
