stratum,arm,method,sources,MAE2,MAE2_se,ProfileMAE,signed_rho2,worst_source_AE2,fallbacks,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
real,R,plugin,6,0.01972175508672606,0.008256509301033482,0.012421079129873606,-0.0018526253706734575,0.06025365153553712,0,0.0,0.0,,
real,R,corrector,6,0.01972175508672606,0.008256509301033482,0.012421079129873606,-0.0018526253706734575,0.06025365153553712,0,,,0.0,0.0
real,R,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.209126972987686,0.03746407256292397,0.209126972987686,0.03746407256292397
real,R,extratrees_pooled,6,0.02634970582674955,0.0078093296582085504,0.017406478203049695,0.012089164878641595,0.04940439664418753,0,0.0066279507400234935,0.008403196621400906,0.0066279507400234935,0.008403196621400906
real,R,extratrees_real_only,6,0.04325366289810665,0.008187787048638442,0.029349511548545027,-0.01741868715775986,0.06585553206852737,0,0.023531907811380582,0.00840513348625172,0.023531907811380582,0.00840513348625172
real,S,plugin,6,0.32223925257300373,0.05479546148053902,0.2735440123620289,0.32223925257300373,0.4528249641478813,0,0.2250516903160018,0.06258288012575174,,
real,S,corrector,6,0.09718756225700197,0.04395092314748458,0.04369273199384429,0.009365603480740482,0.292547075106133,0,,,-0.2250516903160018,0.06258288012575174
real,S,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.13166116581741008,0.0698896988445721,-0.09339052449859171,0.08186553418034148
real,S,extratrees_pooled,6,0.05919972608088908,0.01718722092516552,0.03521710846608892,0.02304559385305927,0.13159990241488514,0,-0.03798783617611288,0.03503570248045492,-0.2630395264921147,0.06621727955687952
real,S,extratrees_real_only,6,0.06934215674088251,0.022051272155894395,0.03892022482276423,-0.00032242705641250213,0.14324875309349086,0,-0.027845405516119446,0.040820789585617995,-0.2528970958321213,0.0733168172586637
real,H,plugin,6,0.13921183783570149,0.04241636028395995,0.09147222810090334,-0.13921183783570149,0.25463949977515576,0,0.10425846707865795,0.038525878873521,,
real,H,corrector,6,0.03495337075704353,0.008798491743823368,0.040215116650279235,-0.02532850618948486,0.06067377105534549,0,,,-0.10425846707865795,0.038525878873521
real,H,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.1938953573173685,0.03799346042643553,0.08963689023871058,0.0742004037022446
real,H,extratrees_pooled,6,0.036683138794426244,0.008721224372057218,0.023796641224272483,0.010589262416568506,0.06522979361056933,0,0.0017297680373827117,0.015298674270497956,-0.10252869904127522,0.05035405649413242
real,H,extratrees_real_only,6,0.03521275695140091,0.00886956959014478,0.029874906653893734,-0.009195675004807965,0.06600355396882417,0,0.0002593861943573754,0.012041007938039654,-0.10399908088430058,0.04741114206802769
real,B,plugin,6,0.0823036062185559,0.0145961106473967,0.041687205465567125,-0.0823036062185559,0.1271634728883823,0,0.026793557713706718,0.02699136258290543,,
real,B,corrector,6,0.055510048504849176,0.01836247586370256,0.04949004069963256,0.033289212959294774,0.10846980872978165,0,,,-0.026793557713706718,0.02699136258290543
real,B,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.17333867956956292,0.037565147308142234,0.14654512185585616,0.043851221263208555
real,B,extratrees_pooled,6,0.0496820659941685,0.015630479240780246,0.03475018072700104,-0.011256062221534595,0.09407364266016409,0,-0.005827982510680671,0.023313257741052647,-0.032621540224387395,0.017559916528297758
real,B,extratrees_real_only,6,0.07854886047580738,0.022842167835632057,0.03825381991246357,-0.0517395397090381,0.15430085685600878,0,0.023038811970958185,0.02905769242363307,-0.003754745742748532,0.013783479664335761
real,B,candidate,6,0.05917514423399029,0.018998696175151417,0.037027678174260725,-0.01868583314399837,0.11870643644322802,4,0.0036650957291411088,0.02512046808364351,-0.023128461984565613,0.01503301403738822
synthetic,R,plugin,8,0.020297518399450112,0.00351506064232043,0.01807716291467802,0.0015337891285557613,0.036715597289306665,0,0.0,0.0,,
synthetic,R,corrector,8,0.020297518399450112,0.00351506064232043,0.01807716291467802,0.0015337891285557613,0.036715597289306665,0,,,0.0,0.0
synthetic,R,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.27654346350347286,0.05876060098626708,0.27654346350347286,0.05876060098626708
synthetic,R,extratrees_pooled,8,0.01828716266502997,0.004479301512657506,0.01951005375408902,0.004482949522682807,0.046648238020540855,0,-0.0020103557344201438,0.0026353176213102527,-0.0020103557344201438,0.0026353176213102527
synthetic,R,extratrees_real_only,8,0.14674311210920557,0.04545720154349597,0.11011617616490788,-0.13327047903114547,0.2896327455160039,0,0.12644559370975544,0.04328321909867371,0.12644559370975544,0.04328321909867371
synthetic,S,plugin,8,0.12554021019182401,0.020660638697804188,0.10399387747786501,0.12554021019182401,0.1880232297784442,0,0.09326208251426632,0.017051501477373134,,
synthetic,S,corrector,8,0.03227812767755768,0.006874824361064132,0.02291543468603015,0.005365230842789198,0.05679206590030637,0,,,-0.09326208251426632,0.017051501477373134
synthetic,S,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.2645628542253653,0.05676013026767473,0.17130077171109898,0.06949216257938659
synthetic,S,extratrees_pooled,8,0.01608931175266451,0.0037314340182801635,0.017736502341729462,0.009288848675393521,0.02911407104828805,0,-0.016188815924893168,0.0056243389302534945,-0.1094508984391595,0.01879540339703187
synthetic,S,extratrees_real_only,8,0.1504961117765508,0.0444387935075457,0.11226389831073871,-0.1298042769253656,0.28688376144543243,0,0.11821798409899315,0.038507085969796725,0.02495590158472682,0.043887498005629064
synthetic,H,plugin,8,0.013202072432748329,0.0029188541623586957,0.08254357860265805,-0.007836878795655405,0.02316059148352175,0,0.0012587941363545478,0.0012823589590887797,,
synthetic,H,corrector,8,0.011943278296393783,0.0021944080891255118,0.03126238075800375,-0.0030964404484838943,0.020785333289820553,0,,,-0.0012587941363545478,0.0012823589590887797
synthetic,H,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.2848977036065292,0.0596412950098496,0.28363890947017467,0.05949621428179801
synthetic,H,extratrees_pooled,8,0.010331766686152712,0.0023269999083200504,0.015356452016008867,0.0006057889768792988,0.019685611571370987,0,-0.00161151161024107,0.0013563832410142692,-0.0028703057465956174,0.001304895253703232
synthetic,H,extratrees_real_only,8,0.15248692576234213,0.04984928666507406,0.12479050081676507,-0.1399223068879961,0.2993511504395038,0,0.14054364746594836,0.048730701192161066,0.1392848533295938,0.048409283494617525
synthetic,B,plugin,8,0.36294798336933587,0.07913612150724546,0.23438096910118697,-0.36294798336933587,0.5835735430465554,0,0.2667517131567122,0.0564780787691925,,
synthetic,B,corrector,8,0.09619627021262364,0.029204030072583823,0.0759779361555342,0.09244984047553849,0.20166499879507832,0,,,-0.2667517131567122,0.0564780787691925
synthetic,B,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.20064471169029932,0.04613004367130716,-0.06610700146641289,0.07639502901209655
synthetic,B,extratrees_pooled,8,0.0240464519404447,0.00580924294651244,0.030276545525856742,-0.005808325145730658,0.055275487254990895,0,-0.07214981827217895,0.02777294099438311,-0.3389015314288912,0.07523662899800285
synthetic,B,extratrees_real_only,8,0.17521546058029297,0.04811558473147279,0.12341295917636375,-0.17117100093509852,0.3184987671747973,0,0.07901919036766931,0.025436022797629517,-0.1877325227890429,0.03448832597952462
synthetic,B,candidate,8,0.06609018584419389,0.01754100707079389,0.050061130018405536,-0.0013272896222430025,0.15974432245071618,5,-0.030106084368429764,0.021965687028246084,-0.29685779752514196,0.06476646588127583
