stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,valid_answers,fallback_only,numeric_model_estimate,not_started,in_progress,empty_observations,empty_fraction,deterministic_draw_sources,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE,delta_AE2_vs_plugin,delta_AE2_vs_plugin_MCSE,delta_AE2_vs_extratrees,delta_AE2_vs_extratrees_MCSE,delta_AE2_vs_median,delta_AE2_vs_median_MCSE,shrink_plugin_AE2,shrink_plugin_AE2_MCSE,shrink_median_AE2,shrink_median_AE2_MCSE,signed_rho2,signed_rho2_MCSE,baseline_AE2,baseline_AE2_MCSE,plugin_AE2,plugin_AE2_MCSE,extratrees_pooled_AE2,extratrees_pooled_AE2_MCSE,median_AE2,median_AE2_MCSE,AE2_MCSE_model_repeats,AE2_MCSE_sampler,AE2_between_source_SE,ProfileAE_MCSE_model_repeats,ProfileAE_MCSE_sampler,ProfileAE_between_source_SE,delta_AE2_MCSE_model_repeats,delta_AE2_MCSE_sampler,delta_AE2_between_source_SE,delta_ProfileAE_MCSE_model_repeats,delta_ProfileAE_MCSE_sampler,delta_ProfileAE_between_source_SE,delta_AE2_vs_plugin_MCSE_model_repeats,delta_AE2_vs_plugin_MCSE_sampler,delta_AE2_vs_plugin_between_source_SE,delta_AE2_vs_extratrees_MCSE_model_repeats,delta_AE2_vs_extratrees_MCSE_sampler,delta_AE2_vs_extratrees_between_source_SE,delta_AE2_vs_median_MCSE_model_repeats,delta_AE2_vs_median_MCSE_sampler,delta_AE2_vs_median_between_source_SE,shrink_plugin_AE2_MCSE_model_repeats,shrink_plugin_AE2_MCSE_sampler,shrink_plugin_AE2_between_source_SE,shrink_median_AE2_MCSE_model_repeats,shrink_median_AE2_MCSE_sampler,shrink_median_AE2_between_source_SE,signed_rho2_MCSE_model_repeats,signed_rho2_MCSE_sampler,signed_rho2_between_source_SE,baseline_AE2_MCSE_model_repeats,baseline_AE2_MCSE_sampler,baseline_AE2_between_source_SE,plugin_AE2_MCSE_model_repeats,plugin_AE2_MCSE_sampler,plugin_AE2_between_source_SE,extratrees_pooled_AE2_MCSE_model_repeats,extratrees_pooled_AE2_MCSE_sampler,extratrees_pooled_AE2_between_source_SE,median_AE2_MCSE_model_repeats,median_AE2_MCSE_sampler,median_AE2_between_source_SE,valid_rho2_below_lower_share,valid_rho2_at_lower_plugin_share,valid_rho2_inside_share,valid_rho2_at_upper_share,valid_rho2_above_upper_share
real,R,sol,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,R,deepseek,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,90,False,True,0,0,0,0.0,[],True,0.01761620494098788,0.0020128119922873298,0.012681713578132766,0.001051420091574214,9.568518365414742e-05,7.515948003468868e-05,0.0005866816857232315,0.00039295550056364154,9.568518365414742e-05,7.515948003468868e-05,-0.013763585821135729,0.003093467500987799,-0.2112325231334242,0.00201281199228733,0.017539456437901956,0.0020166813858561996,0.11469089318141702,0.002366267490589685,-0.0025294306627426516,0.00473253498117937,0.017520519757333736,0.0020182232367739494,0.017520519757333736,0.0020182232367739494,0.031379790762123605,0.0028058982695991254,0.22884872807441203,2.3129646346357427e-18,7.956299494087744e-05,0.002011238883407868,0.006086881814654114,0.000388426901300227,0.0009770408135345383,0.004497306408881053,7.956299494087744e-05,7.629440556850822e-07,9.49042755563952e-05,0.000388426901300227,6.108110952896953e-05,0.0003092286220379452,7.956299494087744e-05,7.629440556850822e-07,9.49042755563952e-05,7.956299494087744e-05,0.0030924441643308182,0.008978649181975579,7.956299494087751e-05,0.0020112388834078684,0.03606725048570285,1.1965647876861273e-05,0.0020166458874402737,0.006115752889524989,6.84936847138405e-05,0.0023652759780152352,0.01567188273070757,0.00013698736942768127,0.00473055195603047,0.003103088347340277,0.0,0.0020182232367739494,0.0061228478650338855,0.0,0.0020182232367739494,0.0061228478650338855,1.635512977795599e-19,0.0028058982695991254,0.008220939321883468,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,R,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,90,False,True,0,0,0,0.0,[],True,0.49592628044836845,0.012701341428135613,0.41332882370285734,0.016363053938714817,0.47840576069103474,0.012845107594041491,0.40123379181044777,0.016250814108906574,0.47840576069103474,0.012845107594041491,0.4645464896862448,0.012696138014409108,0.2670775523739564,0.012701341428135617,0.24676751770955271,0.006815906598666563,0.24191471223732355,0.006350670714067805,0.49592628044836845,0.012701341428135613,0.017520519757333736,0.0020182232367739494,0.017520519757333736,0.0020182232367739494,0.031379790762123605,0.0028058982695991254,0.22884872807441203,2.3129646346357427e-18,0.011901213756961466,0.004583922521052505,0.05057102338488415,0.013232536988538804,0.010455972168407608,0.03268122122616586,0.011901213756961466,0.004943161967938315,0.053998307029494055,0.013232536988538804,0.010231609394874802,0.032603946602518086,0.011901213756961466,0.004943161967938315,0.053998307029494055,0.011901213756961468,0.004614618251925064,0.05270765491707842,0.011901213756961466,0.00458392252105251,0.038782679060600386,0.005950606878480734,0.003414889826979375,0.025525887775878307,0.005950606878480733,0.0022919612605262455,0.0732028302883882,0.011901213756961466,0.004583922521052505,0.05057102338488415,0.0,0.0020182232367739494,0.0061228478650338855,0.0,0.0020182232367739494,0.0061228478650338855,1.635512977795599e-19,0.0028058982695991254,0.008220939321883468,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,S,sol,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,S,deepseek,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,90,False,True,0,0,0,0.0,[],True,0.07990381114815752,0.014280873866933145,0.057025053036059536,0.011809147644789233,0.0491133121011516,0.012532811858859136,0.04149954308956161,0.011320335423213911,-0.23278881636275173,0.014186564337484399,0.035483046684550795,0.014142003193826901,-0.14894491692625453,0.014280873866933145,0.19016907064630553,0.008578594455333986,0.11594068394764583,0.0035402121285983794,0.06764551378170179,0.016558101950982663,0.030790499047005915,0.00600622577580245,0.31269262751090926,0.0024597090387028686,0.04442076446360673,0.003402947707702703,0.22884872807441203,2.3129646346357427e-18,0.011776612168690114,0.009138161785789469,0.02498417574010429,0.01083561796941645,0.006381799257830362,0.0236457109928561,0.011776612168690114,0.0063884092925092706,0.01904168844600156,0.01083561796941645,0.005676583198113043,0.020625816830687146,0.011776612168690114,0.008511596377682337,0.04690083014944336,0.011776612168690114,0.008776373577655518,0.020823444725330924,0.011776612168690114,0.009138161785789467,0.048341168277060795,0.006138070767196912,0.006103783842137565,0.0325060380791794,0.0028473718591099273,0.0022020940950060164,0.02070047389470961,0.012276141534393823,0.011187567260759255,0.022465031122378566,6.542051911182396e-19,0.00600622577580245,0.01423369336816445,3.925231146709438e-18,0.0024597090387028686,0.052566869181332215,3.271025955591198e-19,0.003402947707702703,0.009386633675415324,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,S,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,90,False,True,0,0,0,0.0,[],True,0.5071451693372574,0.00866345944929793,0.41482343501717983,0.011652490772521713,0.4763546702902514,0.010845732879984797,0.3992979250706819,0.01191977808270994,0.19445254182634808,0.00862999755085014,0.4627244048736507,0.00962333122055393,0.2782964412628453,0.008663459449297929,0.40991889842408336,0.004683335847495162,0.247524156681768,0.004331729724648963,0.5071451693372574,0.00866345944929793,0.030790499047005915,0.00600622577580245,0.31269262751090926,0.0024597090387028686,0.04442076446360673,0.003402947707702703,0.22884872807441203,2.3129646346357427e-18,0.013607611159989893,0.002414437030207974,0.05391775441107517,0.012628275791250228,0.004336259740139026,0.03558614392315088,0.013607611159989893,0.006819311360951339,0.060811404992383154,0.012628275791250226,0.00435110769168551,0.033635231311914295,0.013607611159989895,0.0023658926828136425,0.0954158332450702,0.013607611159989893,0.003940914009318544,0.056090552040473175,0.013607611159989893,0.0024144370302079748,0.042310439548303984,0.006803805579994947,0.0018168367464412537,0.023646451735247622,0.006803805579994945,0.0012072185151039872,0.07409514585989221,0.013607611159989893,0.002414437030207974,0.05391775441107517,6.542051911182396e-19,0.00600622577580245,0.01423369336816445,3.925231146709438e-18,0.0024597090387028686,0.052566869181332215,3.271025955591198e-19,0.003402947707702703,0.009386633675415324,2.9256945571472508e-18,2.3129646346357427e-18,0.03196355813536749,,,,,
real,H,sol,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,H,deepseek,False,,,,,,,0,0,False,False,90,0,0,0.0,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
