stratum,arm,config_id,mock,median3_MAE2,median3_MCSE,spread_rho2_sd_valid,spread_rho2_range_valid,observations_with_three_valid
real,R,sol,False,,,,,0
real,R,deepseek,False,,,,,0
real,R,qwen_thinking,False,0.019724317278506067,0.003827376135215122,0.0011941246382006735,0.0020687688766666615,30
real,R,qwen_nonthinking,False,0.019723562335977333,0.003827365116515921,8.204260290382326e-06,1.4775672615700956e-05,26
real,S,sol,False,,,,,0
real,S,deepseek,False,,,,,0
real,S,qwen_thinking,False,0.1090402912212504,0.02137806850735521,0.09838937122996962,0.1774290812714441,30
real,S,qwen_nonthinking,False,0.11585879809476951,0.02491733999271374,0.12686177175432503,0.2382334728070176,25
real,H,sol,False,,,,,0
real,H,deepseek,False,,,,,0
real,H,qwen_thinking,False,0.13468586523769202,0.009343205887037579,0.05822379537355359,0.10379068321559211,26
real,H,qwen_nonthinking,False,0.13713015177415075,0.004194380261844601,0.08032756275267372,0.14263418333333333,15
real,B,sol,False,,,,,0
real,B,deepseek,False,,,,,0
real,B,qwen_thinking,False,0.07964233365242068,0.004619825216668198,0.11732452484200388,0.21305800755,30
real,B,qwen_nonthinking,False,0.07896454404338672,0.00895141036262746,0.12203309731426161,0.22492777777777775,21
dar_a0,R,sol,False,,,,,0
dar_a0,R,deepseek,False,,,,,0
dar_a0,R,qwen_thinking,False,0.01929956334166367,0.0048933696866991444,0.002822600350412382,0.004890687533875332,10
dar_a0,R,qwen_nonthinking,False,0.019306024341663668,0.004893014222886071,0.00019334681031203647,0.0003349859550561787,9
dar_a0,S,sol,False,,,,,0
dar_a0,S,deepseek,False,,,,,0
dar_a0,S,qwen_thinking,False,0.042827561285859427,0.01786640652054273,0.08583761384427419,0.14980990361788593,10
dar_a0,S,qwen_nonthinking,False,0.04752744423077286,0.016643581586433896,0.08909871360923334,0.16573875,9
dar_a0,H,sol,False,,,,,0
dar_a0,H,deepseek,False,,,,,0
dar_a0,H,qwen_thinking,False,0.014959285931192244,0.003491592383855827,0.056749168497806354,0.09898095320752087,10
dar_a0,H,qwen_nonthinking,False,0.01608271317064463,0.0033893714557551224,0.003626705209594246,0.0064833333333333505,4
dar_a0,B,sol,False,,,,,0
dar_a0,B,deepseek,False,,,,,0
dar_a0,B,qwen_thinking,False,0.29066072410492305,0.040359887642120826,0.23655894817972783,0.430876511,10
dar_a0,B,qwen_nonthinking,False,0.22301365114483934,0.03916463682624171,0.23084673202358283,0.4244,4
dar_a08,R,sol,False,,,,,0
dar_a08,R,deepseek,False,,,,,0
