dataset,variant,target_rho2,seed,same_node_set,same_collapsed_dyad_set,same_total_events,same_per_dyad_count_multiset,same_exact_per_dyad_counts,same_global_timestamp_multiset,timestamp_normalization_injective,n_nodes_full,n_nodes_variant,n_dyads_full,n_dyads_variant,n_events_full,n_events_variant,same_global_timestamp_multiset_source_units,hard_failure
sp_hospital,rho2_015,0.15,1274828654,True,True,True,True,True,True,True,75,75,1139,1139,32424,32424,True,False
sp_hospital,rho2_035,0.35,2043295212,True,True,True,True,True,True,True,75,75,1139,1139,32424,32424,True,False
sp_highschool2013,rho2_015,0.15,2626642324,True,True,True,True,True,True,True,327,327,5818,5818,188508,188508,True,False
sp_highschool2013,rho2_035,0.35,2931360534,True,True,True,True,True,True,True,327,327,5818,5818,188508,188508,True,False
copenhagen_bluetooth,rho2_015,0.15,673361054,True,True,True,True,True,True,True,692,692,79530,79530,2426279,2426279,True,False
copenhagen_bluetooth,rho2_035,0.35,437571100,True,True,True,True,True,True,True,692,692,79530,79530,2426279,2426279,True,False
snap_collegemsg,rho2_015,0.15,1572975998,True,True,True,True,True,True,True,1899,1899,13838,13838,59835,59835,True,False
snap_collegemsg,rho2_035,0.35,1878513660,True,True,True,True,True,True,True,1899,1899,13838,13838,59835,59835,True,False
snap_email_eu,rho2_015,0.15,730916207,True,True,True,True,True,True,True,986,986,16064,16064,332334,332334,True,False
snap_email_eu,rho2_035,0.35,430344173,True,True,True,True,True,True,True,986,986,16064,16064,332334,332334,True,False
snap_mathoverflow,rho2_015,0.15,1181499482,True,True,True,True,True,True,True,24759,24759,187986,187986,390441,390441,True,False
snap_mathoverflow,rho2_035,0.35,1952064216,True,True,True,True,True,True,True,24759,24759,187986,187986,390441,390441,True,False
nr_radoslaw_email,rho2_015,0.15,587002668,True,True,True,True,True,True,True,167,167,3250,3250,82876,82876,True,False
nr_radoslaw_email,rho2_035,0.35,281711022,True,True,True,True,True,True,True,167,167,3250,3250,82876,82876,True,False
jodie_reddit,rho2_015,0.15,3727345049,True,True,True,True,True,True,True,10984,10984,78516,78516,672447,672447,True,False
jodie_reddit,rho2_035,0.35,3961300763,True,True,True,True,True,True,True,10984,10984,78516,78516,672447,672447,True,False
