evidence_block,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,worst_graph_AE2,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
real,R,plugin,8,0.014845009275264354,0.0030121117359891147,0.009929455545036332,0.0027362079669188064,-0.011229278586593776,0.002572781579416453,0.024248173318841548,0.0,0.0,,
real,R,corrector,8,0.014845009275264354,0.0030121117359891147,0.009929455545036332,0.0027362079669188064,-0.011229278586593776,0.002572781579416453,0.024248173318841548,,,0.0,0.0
real,R,median,8,0.2396987696760392,0.03651749614287755,0.11015221734076834,0.014439463003087996,0.05898958163993918,0.0951017666307049,0.41577956759326407,0.22485376040077484,0.039222084468439444,0.22485376040077484,0.039222084468439444
real,R,extratrees_pooled,8,0.03874498709922841,0.010193778558481885,0.01921211335118269,0.004243657734337554,0.02488855126091915,0.014825029308764491,0.09883817792420459,0.023899977823964053,0.01110036146687945,0.023899977823964053,0.01110036146687945
real,R,extratrees_real_only,8,0.04955923123906901,0.007845247053208798,0.02598664263521057,0.0036917299716927544,0.013394567533238711,0.019667007437715833,0.07741285532157917,0.03471422196380465,0.008321766491028103,0.03471422196380465,0.008321766491028103
real,S,plugin,8,0.010482268472303274,0.0032551585444769242,0.00681628971870187,0.0022791252202315803,0.006221903668817192,0.0034489863002824125,0.023944761968771322,0.0014827766456439917,0.0010035426642250836,,
real,S,corrector,8,0.008999491826659281,0.0027058422686957015,0.0056774280137605665,0.0018248452603743235,0.004292495433778945,0.00319137861362524,0.022745139846801637,,,-0.0014827766456439917,0.0010035426642250836
real,S,median,8,0.2396987696760392,0.03651749614287755,0.11015221734076834,0.014439463003087996,0.05898958163993918,0.0951017666307049,0.41577956759326407,0.23069927784937994,0.038285144687259166,0.2292165012037359,0.038786043301648955
real,S,extratrees_pooled,8,0.05642915494359417,0.013279116194562986,0.027350887549242114,0.004980980346756284,0.05060228904777077,0.01629198908813317,0.10505101279795988,0.047429663116934896,0.01426476010635998,0.0459468864712909,0.014678083803684823
real,S,extratrees_real_only,8,0.04522618712159139,0.011624730516815061,0.02938082362346186,0.005057154399110236,0.028422757389515076,0.01756064914950951,0.1021875040025541,0.03622669529493211,0.01244376131429169,0.03474391864928812,0.012841293514473984
real,H,plugin,8,0.06988919598543616,0.016941405627162565,0.059810482339117885,0.01815721911123775,-0.06422294490935102,0.0198889475230755,0.12959142625292158,-0.05584764716802375,0.01785217331421152,,
real,H,corrector,8,0.1257368431534599,0.02590041110394398,0.052008621923614384,0.011172083221118406,0.12555776356247467,0.026024063359588203,0.21260543678909585,,,0.05584764716802375,0.01785217331421152
real,H,median,8,0.2396987696760392,0.03651749614287755,0.11015221734076834,0.014439463003087996,0.05898958163993918,0.0951017666307049,0.41577956759326407,0.1139619265225793,0.05702096545438782,0.169809573690603,0.051669411320594404
