observation,graph_id,status,status_widened,nll,nll_widened,nll_improvement,max_profile_shift,kappa,kappa_widened
ad_memory_r1__B-p888-20260921__s1,ad_memory_r1,converged,converged,300.513595515628,300.51359338972134,2.1259066897982848e-06,2.9787699246885957e-05,0.7150853701580339,0.7149922028055862
ad_memory_r1__B-p888-20260921__s2,ad_memory_r1,weakly_identified,weakly_identified,321.65592307677707,321.6559012097719,2.1867005159492692e-05,1.394029767665117e-05,0.6583573198909164,0.6582594795973497
ad_memory_r1__B-p888-20260921__s3,ad_memory_r1,weakly_identified,weakly_identified,309.8793055136124,309.8793055136364,-2.3987922759260982e-11,3.2881928774264324e-06,3.2209287660634605,3.221053608999939
ad_memory_r2__B-p888-20260921__s1,ad_memory_r2,boundary_other,converged,364.63637838623504,364.6363767817121,1.6045229358496726e-06,2.232786627198724e-06,0.5966534071361783,0.5966442955180297
ad_memory_r2__B-p888-20260921__s2,ad_memory_r2,weakly_identified,weakly_identified,354.7997155023569,354.7997106960661,4.8062908035717555e-06,4.413191649565995e-06,0.5017061526979805,0.5016670392674609
ad_memory_r2__B-p888-20260921__s3,ad_memory_r2,weakly_identified,weakly_identified,272.129914353141,272.1299121054602,2.2476807544080657e-06,8.734220211520372e-05,0.6199377202773646,0.6197116590140215
ad_memoryless_r1__B-p888-20260921__s1,ad_memoryless_r1,weakly_identified,weakly_identified,50.08014357295341,50.080142986600656,5.863527547944614e-07,7.220890381395839e-07,993204.6428850656,98020845.42373347
ad_memoryless_r1__B-p888-20260921__s2,ad_memoryless_r1,weakly_identified,weakly_identified,26.80517517577063,26.80519669510039,-2.1519329759911443e-05,1.607825941643548e-05,999998.2327047029,11569.857077121173
ad_memoryless_r1__B-p888-20260921__s3,ad_memoryless_r1,weakly_identified,weakly_identified,50.732325239784444,50.732378699327555,-5.345954311053447e-05,8.672165552323086e-06,988122.1878700644,9212.487307340582
ad_memoryless_r2__B-p888-20260921__s1,ad_memoryless_r2,boundary_other,starts_disagree,70.23549581070836,70.23546248477595,3.3325932406569336e-05,1.9652582742939184e-07,25.005800368046383,25.0036942481518
ad_memoryless_r2__B-p888-20260921__s2,ad_memoryless_r2,weakly_identified,boundary_homogeneous,55.64690707433118,55.646906395511195,6.788199868879019e-07,4.1411658593948353e-07,997896.8070896857,100000000.00000018
ad_memoryless_r2__B-p888-20260921__s3,ad_memoryless_r2,weakly_identified,weakly_identified,59.200657995477506,59.20065712264538,8.728321247986059e-07,1.3263193149315455e-07,979383.2104945246,96505520.46123438
copenhagen_bluetooth__B-p888-20260921__s1,copenhagen_bluetooth,boundary_other,boundary_other,15944.641283127075,15944.638724894083,0.0025582329926692182,1.1826282301785618e-06,1.8194638666292284,1.8194360561061151
copenhagen_bluetooth__B-p888-20260921__s2,copenhagen_bluetooth,boundary_other,boundary_other,16132.982620278553,16132.979969012715,0.0026512658387218835,1.3015599311105852e-06,1.7733379501214326,1.7733124583250826
