parent,arm,method,metric,value,valid_pairs,planned_pairs
sp_hospital,R,plugin,AE_Delta_2,0.011695921423368338,3,3
sp_highschool2013,R,plugin,AE_Delta_2,0.011403296204034982,3,3
copenhagen_bluetooth,R,plugin,AE_Delta_2,0.007030292593468397,3,3
sp_workplace,R,plugin,AE_Delta_2,0.020028256682244838,3,3
snap_email_eu,R,plugin,AE_Delta_2,0.01684476794063061,3,3
snap_collegemsg,R,plugin,AE_Delta_2,0.016205359726245205,3,3
snap_mathoverflow,R,plugin,AE_Delta_2,0.008670788046046965,3,3
nr_digg_reply,R,plugin,AE_Delta_2,0.0004580907496179616,3,3
sp_hospital,R,plugin,Delta_ProfileAE,0.026323370979651636,3,3
sp_highschool2013,R,plugin,Delta_ProfileAE,0.011377383449508519,3,3
copenhagen_bluetooth,R,plugin,Delta_ProfileAE,0.009733624505864763,3,3
sp_workplace,R,plugin,Delta_ProfileAE,0.013938523998282671,3,3
snap_email_eu,R,plugin,Delta_ProfileAE,0.014488615761585971,3,3
snap_collegemsg,R,plugin,Delta_ProfileAE,0.008729539728489649,3,3
snap_mathoverflow,R,plugin,Delta_ProfileAE,0.004213893925577971,3,3
nr_digg_reply,R,plugin,Delta_ProfileAE,0.000178201185469462,3,3
sp_hospital,R,plugin,signed_delta_error_2,0.009726378840020533,3,3
sp_highschool2013,R,plugin,signed_delta_error_2,0.011403296204034982,3,3
copenhagen_bluetooth,R,plugin,signed_delta_error_2,0.007030292593468397,3,3
sp_workplace,R,plugin,signed_delta_error_2,0.0017528249081927294,3,3
snap_email_eu,R,plugin,signed_delta_error_2,-0.004224364620035763,3,3
snap_collegemsg,R,plugin,signed_delta_error_2,0.016205359726245205,3,3
snap_mathoverflow,R,plugin,signed_delta_error_2,0.00021206384232186348,3,3
nr_digg_reply,R,plugin,signed_delta_error_2,-8.623315996909506e-05,3,3
sp_hospital,R,plugin,sign_agreement_2,1.0,3,3
sp_highschool2013,R,plugin,sign_agreement_2,1.0,3,3
copenhagen_bluetooth,R,plugin,sign_agreement_2,1.0,3,3
sp_workplace,R,plugin,sign_agreement_2,1.0,3,3
snap_email_eu,R,plugin,sign_agreement_2,1.0,3,3
snap_collegemsg,R,plugin,sign_agreement_2,1.0,3,3
snap_mathoverflow,R,plugin,sign_agreement_2,1.0,3,3
nr_digg_reply,R,plugin,sign_agreement_2,1.0,3,3
sp_hospital,R,median,AE_Delta_2,0.3898156277436348,3,3
sp_highschool2013,R,median,AE_Delta_2,0.17772430388449645,3,3
copenhagen_bluetooth,R,median,AE_Delta_2,0.2678360367157048,3,3
sp_workplace,R,median,AE_Delta_2,0.3420683200748713,3,3
snap_email_eu,R,median,AE_Delta_2,0.18146165338645415,3,3
