family,outer_replicate,arm,method,mode_a,mode_b,MAE2_a,MAE2_b,paired_MAE2_b_minus_a
dar,1,R,plugin,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,R,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,R,extratrees_pooled,a0,a08,0.02729080294629993,0.0029088265096102184,-0.024381976436689712
dar,1,R,extratrees_real_only,a0,a08,0.005802581727700466,0.23443904261484785,0.2286364608871474
dar,1,R,primary_corrector,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,R,qwen_nonthinking,a0,a08,0.4069926390132299,0.08173153899240855,-0.32526110002082137
dar,1,R,qwen_thinking,a0,a08,0.02254248797565899,0.015671505866114592,-0.006870982109544399
dar,1,S,plugin,a0,a08,0.013676945692985035,0.034491804610064146,0.020814858917079113
dar,1,S,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,S,extratrees_pooled,a0,a08,0.012379190247728081,0.014087741109546989,0.0017085508618189076
dar,1,S,extratrees_real_only,a0,a08,0.010718636823175587,0.23429259433522553,0.22357395751204995
dar,1,S,primary_corrector,a0,a08,0.015279953745150713,0.03443754313319528,0.01915758938804457
dar,1,S,qwen_nonthinking,a0,a08,0.35104819456878544,0.06966977225672875,-0.2813784223120567
dar,1,S,qwen_thinking,a0,a08,0.013730175967372927,0.032075683229813655,0.018345507262440726
dar,1,H,plugin,a0,a08,0.16345124561431132,0.06187324163140795,-0.10157800398290337
dar,1,H,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,H,extratrees_pooled,a0,a08,0.027193486820097885,0.010489472011386761,-0.016704014808711122
dar,1,H,extratrees_real_only,a0,a08,0.07993131280705451,0.23501375029204566,0.15508243748499115
dar,1,H,primary_corrector,a0,a08,0.02584695925014835,0.19801769661922278,0.17217073736907443
dar,1,H,qwen_nonthinking,a0,a08,0.2127597068868331,0.28358937198067635,0.07082966509384325
dar,1,H,qwen_thinking,a0,a08,0.3035156636493252,0.11041957572981366,-0.19309608791951155
dar,1,B,plugin,a0,a08,0.34052999671354733,0.644329620355923,0.30379962364237567
dar,1,B,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,B,extratrees_pooled,a0,a08,0.07170153960214624,0.02114208813969402,-0.05055945146245222
dar,1,B,extratrees_real_only,a0,a08,0.06880985584046707,0.289709344086236,0.22089948824576894
dar,1,B,primary_corrector,a0,a08,0.02706737613504978,0.117136572348146,0.09006919621309623
dar,1,B,qwen_nonthinking,a0,a08,0.4268815279021188,0.1408488612836439,-0.28603266661847493
dar,1,B,qwen_thinking,a0,a08,0.2999413802545505,0.522899965007436,0.22295858475288544
dar,2,R,plugin,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,R,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,R,extratrees_pooled,a0,a08,0.03182698616627375,0.00862913577473686,-0.023197850391536892
dar,2,R,extratrees_real_only,a0,a08,0.0155513565725701,0.22847162718529915,0.21292027061272906
dar,2,R,primary_corrector,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,R,qwen_nonthinking,a0,a08,0.49937193689157433,0.06598886748019696,-0.4333830694113774
dar,2,R,qwen_thinking,a0,a08,0.031167164149043303,0.04210094251342324,0.010933778364379934
dar,2,S,plugin,a0,a08,0.02656508952796266,0.013676341577701775,-0.012888747950260885
dar,2,S,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,S,extratrees_pooled,a0,a08,0.030343361187462448,0.025917345793532665,-0.004426015393929783
dar,2,S,extratrees_real_only,a0,a08,0.008288678281232531,0.22787392744723245,0.21958524916599992
dar,2,S,primary_corrector,a0,a08,0.033519331893173056,0.01262473758375752,-0.020894594309415537
dar,2,S,qwen_nonthinking,a0,a08,0.31381638133601886,0.12604667094840505,-0.1877697103876138
dar,2,S,qwen_thinking,a0,a08,0.029798169184290044,0.013383517019910104,-0.016414652164379942
dar,2,H,plugin,a0,a08,0.17515338335218159,0.034895183842155474,-0.1402581995100261
dar,2,H,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,H,extratrees_pooled,a0,a08,0.05152872830876617,0.02312140347795229,-0.028407324830813877
dar,2,H,extratrees_real_only,a0,a08,0.09648825318532987,0.22889110605930105,0.1324028528739712
dar,2,H,primary_corrector,a0,a08,0.009037919090006008,0.20942090454087117,0.20038298545086516
dar,2,H,qwen_nonthinking,a0,a08,0.2251980530379322,0.2013711410832798,-0.02382691195465239
dar,2,H,qwen_thinking,a0,a08,0.25564700177405314,0.1212177478056091,-0.13442925396844405
dar,2,B,plugin,a0,a08,0.3553071399179289,0.6308811351571131,0.2755739952391842
dar,2,B,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,B,extratrees_pooled,a0,a08,0.11810004534771039,0.01181794616827884,-0.10628209917943154
dar,2,B,extratrees_real_only,a0,a08,0.07167269713800135,0.28140441392513943,0.2097317167871381
dar,2,B,primary_corrector,a0,a08,0.0525074742272291,0.20138300317387237,0.14887552894664327
dar,2,B,qwen_nonthinking,a0,a08,0.3494830480026855,0.15898886748019697,-0.1904941805224885
dar,2,B,qwen_thinking,a0,a08,0.3606922327991621,0.5630746559985831,0.20238242319942096
ad,1,R,plugin,memoryless,memory,0.00202612617928997,0.02305792201226679,0.02103179583297682
ad,1,R,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,R,extratrees_pooled,memoryless,memory,0.0025507080647826524,0.020124448257882992,0.01757374019310034
ad,1,R,extratrees_real_only,memoryless,memory,0.019692897178018177,0.25043569381134734,0.23074279663332917
ad,1,R,primary_corrector,memoryless,memory,0.00202612617928997,0.02305792201226679,0.02103179583297682
ad,1,R,qwen_nonthinking,memoryless,memory,0.3461096848357122,0.09683915038958263,-0.24927053444612957
ad,1,R,qwen_thinking,memoryless,memory,0.002031066028307863,0.023069221261607424,0.02103815523329956
ad,1,S,plugin,memoryless,memory,0.0022975295666350557,0.025168272302079298,0.022870742735444243
ad,1,S,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,S,extratrees_pooled,memoryless,memory,0.0017309605823715643,0.011571266124004461,0.009840305541632897
ad,1,S,extratrees_real_only,memoryless,memory,0.012489591936771295,0.24970536010642433,0.23721576816965304
ad,1,S,primary_corrector,memoryless,memory,0.002325165687711422,0.023756156320997812,0.02143099063328639
ad,1,S,qwen_nonthinking,memoryless,memory,0.5200075326499984,0.05325018678620982,-0.46675734586378864
ad,1,S,qwen_thinking,memoryless,memory,0.007777831234593875,0.0200551026118049,0.012277271377211026
ad,1,H,plugin,memoryless,memory,0.026206795398407107,0.15626101307542517,0.13005421767701805
ad,1,H,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
