stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,qwen_thinking,False,copenhagen_bluetooth,valid_fraction,1.0,0.0,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,valid_fraction,1.0,0.0,5,15,15
real,R,qwen_thinking,False,snap_email_eu,valid_fraction,1.0,0.0,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,valid_fraction,1.0,0.0,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,valid_fraction,1.0,0.0,5,15,15
real,R,qwen_thinking,False,sp_hospital,valid_fraction,1.0,0.0,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,AE2,0.005842813649440466,0.0015384115811651025,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,AE2,0.005404657197479403,0.00325955767060267,5,15,15
real,R,qwen_thinking,False,snap_email_eu,AE2,0.022094402313413045,0.005853431861014317,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,AE2,0.005545880555778971,0.0013326586232733828,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,AE2,0.026639323570528246,0.0077975697916816715,5,15,15
real,R,qwen_thinking,False,sp_hospital,AE2,0.048144660930640924,0.010331125391805389,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,ProfileAE,0.005176474890858795,0.0010496620555470347,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,ProfileAE,0.0027228045830389744,0.0012014960982459678,5,15,15
real,R,qwen_thinking,False,snap_email_eu,ProfileAE,0.017330209011288185,0.00263600750944166,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,ProfileAE,0.002564493311079903,0.0005492353014523409,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,ProfileAE,0.016754745989458007,0.004143763414073085,5,15,15
real,R,qwen_thinking,False,sp_hospital,ProfileAE,0.031157579163008483,0.00515028784149717,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,signed_rho2,0.0009060935805356607,0.0032704856878471252,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,signed_rho2,-0.0022859357444756034,0.004031525695761961,5,15,15
real,R,qwen_thinking,False,snap_email_eu,signed_rho2,-0.01438337230013285,0.010226581455560711,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,signed_rho2,-0.004754665485153143,0.0011902180839173967,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,signed_rho2,0.007152884519307893,0.015014144847221016,5,15,15
real,R,qwen_thinking,False,sp_hospital,signed_rho2,-0.012793704653204552,0.025402549600472082,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,budget_matched,1.0,0.0,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,budget_matched,1.0,0.0,5,15,15
real,R,qwen_thinking,False,snap_email_eu,budget_matched,1.0,0.0,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,budget_matched,1.0,0.0,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,budget_matched,1.0,0.0,5,15,15
real,R,qwen_thinking,False,sp_hospital,budget_matched,1.0,0.0,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,baseline_AE2_all,0.005840930126802024,0.001539859254209723,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,baseline_AE2_all,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,qwen_thinking,False,snap_email_eu,baseline_AE2_all,0.022097390603300692,0.005854459597495738,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,baseline_AE2_all,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,baseline_AE2_all,0.02486704458136163,0.008164288779919903,5,15,15
real,R,qwen_thinking,False,sp_hospital,baseline_AE2_all,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,baseline_AE2_matched,0.005840930126802024,0.001539859254209723,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,baseline_AE2_matched,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,qwen_thinking,False,snap_email_eu,baseline_AE2_matched,0.022097390603300692,0.005854459597495738,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,baseline_AE2_matched,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,baseline_AE2_matched,0.02486704458136163,0.008164288779919903,5,15,15
real,R,qwen_thinking,False,sp_hospital,baseline_AE2_matched,0.04210589674348801,0.0055909765188723575,5,15,15
