stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,sol,False,copenhagen_bluetooth,baseline_AE2_all,0.005840930126802024,0.001539859254209723,5,15,15
real,R,sol,False,snap_collegemsg,baseline_AE2_all,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,sol,False,snap_email_eu,baseline_AE2_all,0.022097390603300692,0.005854459597495738,5,15,15
real,R,sol,False,snap_mathoverflow,baseline_AE2_all,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,sol,False,sp_highschool2013,baseline_AE2_all,0.02486704458136163,0.008164288779919903,5,15,15
real,R,sol,False,sp_hospital,baseline_AE2_all,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,sol,False,copenhagen_bluetooth,baseline_ProfileAE_all,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,sol,False,snap_collegemsg,baseline_ProfileAE_all,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,sol,False,snap_email_eu,baseline_ProfileAE_all,0.017329713866097697,0.002635530687539133,5,15,15
real,R,sol,False,snap_mathoverflow,baseline_ProfileAE_all,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,sol,False,sp_highschool2013,baseline_ProfileAE_all,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,sol,False,sp_hospital,baseline_ProfileAE_all,0.02892326624459917,0.003210760108664369,5,15,15
real,R,sol,False,copenhagen_bluetooth,plugin_AE2_all,0.005840930126802024,0.001539859254209723,5,15,15
real,R,sol,False,snap_collegemsg,plugin_AE2_all,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,sol,False,snap_email_eu,plugin_AE2_all,0.022097390603300692,0.005854459597495738,5,15,15
real,R,sol,False,snap_mathoverflow,plugin_AE2_all,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,sol,False,sp_highschool2013,plugin_AE2_all,0.02486704458136163,0.008164288779919903,5,15,15
real,R,sol,False,sp_hospital,plugin_AE2_all,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,sol,False,copenhagen_bluetooth,plugin_ProfileAE_all,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,sol,False,snap_collegemsg,plugin_ProfileAE_all,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,sol,False,snap_email_eu,plugin_ProfileAE_all,0.017329713866097697,0.002635530687539133,5,15,15
real,R,sol,False,snap_mathoverflow,plugin_ProfileAE_all,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,sol,False,sp_highschool2013,plugin_ProfileAE_all,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,sol,False,sp_hospital,plugin_ProfileAE_all,0.02892326624459917,0.003210760108664369,5,15,15
real,R,sol,False,copenhagen_bluetooth,extratrees_AE2_all,0.015517022257930158,0.0017088058727580608,5,15,15
real,R,sol,False,snap_collegemsg,extratrees_AE2_all,0.09250265498602801,0.009206637129032533,5,15,15
real,R,sol,False,snap_email_eu,extratrees_AE2_all,0.010415539851832255,0.004254415656341409,5,15,15
real,R,sol,False,snap_mathoverflow,extratrees_AE2_all,0.02677736593791324,0.0034110136561397216,5,15,15
real,R,sol,False,sp_highschool2013,extratrees_AE2_all,0.03136998094676922,0.00654694946301327,5,15,15
real,R,sol,False,sp_hospital,extratrees_AE2_all,0.03995667260495288,0.010297201427692993,5,15,15
real,R,sol,False,copenhagen_bluetooth,extratrees_ProfileAE_all,0.021253290334180715,0.0011376131585034653,5,15,15
real,R,sol,False,snap_collegemsg,extratrees_ProfileAE_all,0.04586832737769645,0.008336324459922552,5,15,15
real,R,sol,False,snap_email_eu,extratrees_ProfileAE_all,0.021346537939638286,0.0014389021869009133,5,15,15
real,R,sol,False,snap_mathoverflow,extratrees_ProfileAE_all,0.009240966108227411,0.0005720088357868987,5,15,15
real,R,sol,False,sp_highschool2013,extratrees_ProfileAE_all,0.01726309088686454,0.0025693412224966562,5,15,15
real,R,sol,False,sp_hospital,extratrees_ProfileAE_all,0.026487356332817753,0.004582185897276777,5,15,15
real,R,sol,False,copenhagen_bluetooth,median_AE2_all,0.1567993430755243,2.7755575615628914e-17,5,15,15
real,R,sol,False,snap_collegemsg,median_AE2_all,0.3157949930747082,1.850371707708594e-17,5,15,15
real,R,sol,False,snap_email_eu,median_AE2_all,0.21560074628952602,1.850371707708594e-17,5,15,15
real,R,sol,False,snap_mathoverflow,median_AE2_all,0.334460623227364,3.700743415417188e-17,5,15,15
real,R,sol,False,sp_highschool2013,median_AE2_all,0.19543570347008538,3.700743415417188e-17,5,15,15
real,R,sol,False,sp_hospital,median_AE2_all,0.1550009593092644,9.25185853854297e-18,5,15,15
real,R,sol,False,copenhagen_bluetooth,median_ProfileAE_all,0.0900406131195264,0.0,5,15,15
real,R,sol,False,snap_collegemsg,median_ProfileAE_all,0.13311101808443856,9.25185853854297e-18,5,15,15
real,R,sol,False,snap_email_eu,median_ProfileAE_all,0.13602501333145378,0.0,5,15,15
real,R,sol,False,snap_mathoverflow,median_ProfileAE_all,0.13551195946354852,0.0,5,15,15
real,R,sol,False,sp_highschool2013,median_ProfileAE_all,0.11904067220678091,0.0,5,15,15
real,R,sol,False,sp_hospital,median_ProfileAE_all,0.05606046567611099,4.625929269271485e-18,5,15,15
real,R,deepseek,False,copenhagen_bluetooth,baseline_AE2_all,0.005840930126802024,0.001539859254209723,5,15,15
real,R,deepseek,False,snap_collegemsg,baseline_AE2_all,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,deepseek,False,snap_email_eu,baseline_AE2_all,0.022097390603300692,0.005854459597495738,5,15,15
real,R,deepseek,False,snap_mathoverflow,baseline_AE2_all,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,deepseek,False,sp_highschool2013,baseline_AE2_all,0.02486704458136163,0.008164288779919903,5,15,15
real,R,deepseek,False,sp_hospital,baseline_AE2_all,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,deepseek,False,copenhagen_bluetooth,baseline_ProfileAE_all,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,deepseek,False,snap_collegemsg,baseline_ProfileAE_all,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,deepseek,False,snap_email_eu,baseline_ProfileAE_all,0.017329713866097697,0.002635530687539133,5,15,15
real,R,deepseek,False,snap_mathoverflow,baseline_ProfileAE_all,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,deepseek,False,sp_highschool2013,baseline_ProfileAE_all,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,deepseek,False,sp_hospital,baseline_ProfileAE_all,0.02892326624459917,0.003210760108664369,5,15,15
real,R,deepseek,False,copenhagen_bluetooth,plugin_AE2_all,0.005840930126802024,0.001539859254209723,5,15,15
real,R,deepseek,False,snap_collegemsg,plugin_AE2_all,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,deepseek,False,snap_email_eu,plugin_AE2_all,0.022097390603300692,0.005854459597495738,5,15,15
real,R,deepseek,False,snap_mathoverflow,plugin_AE2_all,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,deepseek,False,sp_highschool2013,plugin_AE2_all,0.02486704458136163,0.008164288779919903,5,15,15
real,R,deepseek,False,sp_hospital,plugin_AE2_all,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,deepseek,False,copenhagen_bluetooth,plugin_ProfileAE_all,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,deepseek,False,snap_collegemsg,plugin_ProfileAE_all,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,deepseek,False,snap_email_eu,plugin_ProfileAE_all,0.017329713866097697,0.002635530687539133,5,15,15
real,R,deepseek,False,snap_mathoverflow,plugin_ProfileAE_all,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,deepseek,False,sp_highschool2013,plugin_ProfileAE_all,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,deepseek,False,sp_hospital,plugin_ProfileAE_all,0.02892326624459917,0.003210760108664369,5,15,15
real,R,deepseek,False,copenhagen_bluetooth,extratrees_AE2_all,0.015517022257930158,0.0017088058727580608,5,15,15
real,R,deepseek,False,snap_collegemsg,extratrees_AE2_all,0.09250265498602801,0.009206637129032533,5,15,15
real,R,deepseek,False,snap_email_eu,extratrees_AE2_all,0.010415539851832255,0.004254415656341409,5,15,15
real,R,deepseek,False,snap_mathoverflow,extratrees_AE2_all,0.02677736593791324,0.0034110136561397216,5,15,15
real,R,deepseek,False,sp_highschool2013,extratrees_AE2_all,0.03136998094676922,0.00654694946301327,5,15,15
real,R,deepseek,False,sp_hospital,extratrees_AE2_all,0.03995667260495288,0.010297201427692993,5,15,15
real,R,deepseek,False,copenhagen_bluetooth,extratrees_ProfileAE_all,0.021253290334180715,0.0011376131585034653,5,15,15
real,R,deepseek,False,snap_collegemsg,extratrees_ProfileAE_all,0.04586832737769645,0.008336324459922552,5,15,15
real,R,deepseek,False,snap_email_eu,extratrees_ProfileAE_all,0.021346537939638286,0.0014389021869009133,5,15,15
real,R,deepseek,False,snap_mathoverflow,extratrees_ProfileAE_all,0.009240966108227411,0.0005720088357868987,5,15,15
real,R,deepseek,False,sp_highschool2013,extratrees_ProfileAE_all,0.01726309088686454,0.0025693412224966562,5,15,15
real,R,deepseek,False,sp_hospital,extratrees_ProfileAE_all,0.026487356332817753,0.004582185897276777,5,15,15
real,R,deepseek,False,copenhagen_bluetooth,median_AE2_all,0.1567993430755243,2.7755575615628914e-17,5,15,15
real,R,deepseek,False,snap_collegemsg,median_AE2_all,0.3157949930747082,1.850371707708594e-17,5,15,15
real,R,deepseek,False,snap_email_eu,median_AE2_all,0.21560074628952602,1.850371707708594e-17,5,15,15
