dataset,n_edges_full,empirical_rho_2,p_m_ge_2,rho_2_upper_bound,rho_3_upper_bound,rho_4_upper_bound,rho_5_upper_bound,target_0_15_count_feasible,target_0_15_margin,target_0_55_count_feasible,target_0_55_margin,p_distinct_timestamps_ge_2
sp_hospital,1139,0.44512730465320455,0.8568920105355575,0.8568920105355575,0.7682177348551361,0.6953467954345918,0.6338893766461808,True,0.7068920105355575,True,0.3068920105355575,0.8568920105355575
sp_highschool2013,5818,0.4855620488140254,0.6928497765555174,0.6928497765555174,0.5735647988999656,0.49759367480233757,0.4444826400825026,True,0.5428497765555174,True,0.14284977655551734,0.6928497765555174
copenhagen_bluetooth,79530,0.44692568841946434,0.7412297246322143,0.7412297246322143,0.6266063120834905,0.5567333081855903,0.5068401860932982,True,0.5912297246322142,True,0.19122972463221422,0.7412297246322143
sp_workplace,4274,0.2901263453439401,0.6689284043051006,0.6689284043051006,0.5287786616752457,0.44829199812821713,0.39962564342536266,True,0.5189284043051006,True,0.11892840430510054,0.6689284043051006
snap_email_eu,16064,0.5057270916334662,0.7359935258964143,0.7359935258964143,0.5897036852589641,0.4986304780876494,0.4399277888446215,True,0.5859935258964143,True,0.18599352589641427,0.732445219123506
snap_collegemsg,13838,0.10304957363780894,0.6219829455123573,0.6219829455123573,0.42195403960109845,0.30965457436045674,0.24237606590547767,True,0.4719829455123573,True,0.07198294551235729,0.6214770920653273
snap_mathoverflow,187986,0.08438394348515314,0.3963273860819423,0.3963273860819423,0.19474322555935017,0.11365208047407786,0.0740906237698552,True,0.2463273860819423,False,-0.15367261391805775,0.3962582319959997
nr_digg_reply,85155,0.0030649991192531266,0.01007574423110798,0.01007574423110798,0.0011038694145969114,0.0004110152075626798,0.00017614937466971993,False,-0.139924255768892,False,-0.539924255768892,0.01007574423110798
sp_hospital__pwt,1139,0.8349429323968394,0.8568920105355575,0.8568920105355575,0.7682177348551361,0.6953467954345918,0.6338893766461808,True,0.7068920105355575,True,0.3068920105355575,0.8568920105355575
sp_highschool2013__pwt,5818,0.6632863526985219,0.6928497765555174,0.6928497765555174,0.5735647988999656,0.49759367480233757,0.4444826400825026,True,0.5428497765555174,True,0.14284977655551734,0.6928497765555174
copenhagen_bluetooth__pwt,79530,0.7147617251351691,0.7412297246322143,0.7412297246322143,0.6266063120834905,0.5567333081855903,0.5068401860932982,True,0.5912297246322142,True,0.19122972463221422,0.7412045768892241
sp_workplace__pwt,4274,0.6321946654188114,0.6689284043051006,0.6689284043051006,0.5287786616752457,0.44829199812821713,0.39962564342536266,True,0.5189284043051006,True,0.11892840430510054,0.6689284043051006
snap_email_eu__pwt,16064,0.6871887450199203,0.7359935258964143,0.7359935258964143,0.5897036852589641,0.4986304780876494,0.4399277888446215,True,0.5859935258964143,True,0.18599352589641427,0.7359935258964143
snap_collegemsg__pwt,13838,0.5098280098280098,0.6219829455123573,0.6219829455123573,0.42195403960109845,0.30965457436045674,0.24237606590547767,True,0.4719829455123573,True,0.07198294551235729,0.6219829455123573
snap_mathoverflow__pwt,187986,0.35078676071622356,0.3963273860819423,0.3963273860819423,0.19474322555935017,0.11365208047407786,0.0740906237698552,True,0.2463273860819423,False,-0.15367261391805775,0.3963273860819423
nr_digg_reply__pwt,85155,0.00814984440138571,0.01007574423110798,0.01007574423110798,0.0011038694145969114,0.0004110152075626798,0.00017614937466971993,False,-0.139924255768892,False,-0.539924255768892,0.01007574423110798
dar_a0_r1,3351,0.38645180543121455,0.7818561623396001,0.7818561623396001,0.5091017606684571,0.31274246493584007,0.1769621008654133,True,0.6318561623396001,True,0.23185616233960005,0.7818561623396001
dar_a08_r1,1610,0.784472049689441,0.9204968944099379,0.9204968944099379,0.8236024844720496,0.7130434782608696,0.6180124223602484,True,0.7704968944099378,True,0.3704968944099378,0.9204968944099379
dar_a0_r2,3310,0.3960725075528701,0.7743202416918429,0.7743202416918429,0.5181268882175226,0.33081570996978854,0.19093655589123867,True,0.6243202416918429,True,0.22432024169184284,0.7743202416918429
dar_a08_r2,1557,0.7784200385356455,0.9152215799614644,0.9152215799614644,0.821451509312781,0.7296082209377007,0.642903018625562,True,0.7652215799614643,True,0.3652215799614643,0.9152215799614644
ad_memoryless_r1,10439,0.054890315164287766,0.06772679375419101,0.06772679375419101,0.004502346968100392,0.00028738384902768463,0.0,False,-0.08227320624580899,False,-0.48227320624580905,0.06772679375419101
ad_memory_r1,2082,0.7963496637848223,0.866954851104707,0.866954851104707,0.7276657060518732,0.5912584053794429,0.48366954851104704,True,0.716954851104707,True,0.316954851104707,0.866954851104707
ad_memoryless_r2,9948,0.06162042621632489,0.07458785685564938,0.07458785685564938,0.009650180940892641,0.002513067953357459,0.0009047044632086852,False,-0.07541214314435062,False,-0.47541214314435065,0.07458785685564938
ad_memory_r2,2028,0.7825443786982249,0.863905325443787,0.863905325443787,0.7149901380670611,0.5793885601577909,0.47583826429980275,True,0.7139053254437869,True,0.3139053254437869,0.863905325443787
