family,outer_replicate,arm,method,mode_a,mode_b,MAE2_a,MAE2_b,paired_MAE2_b_minus_a
dar,1,R,plugin,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,R,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,R,extratrees_pooled,a0,a08,0.05217902710436125,0.0032110858494125796,-0.048967941254948674
dar,1,R,extratrees_real_only,a0,a08,0.014584538808258052,0.2354421258270181,0.22085758701876004
dar,1,R,primary_corrector,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,S,plugin,a0,a08,0.010452271033302282,0.018235834285786085,0.007783563252483803
dar,1,S,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,S,extratrees_pooled,a0,a08,0.02739336161324557,0.008825238556081194,-0.018568123057164376
dar,1,S,extratrees_real_only,a0,a08,0.022328302812370786,0.23571495062702683,0.21338664781465605
dar,1,S,primary_corrector,a0,a08,0.020722262199605046,0.028304562745340472,0.007582300545735426
dar,1,H,plugin,a0,a08,0.16345124561431132,0.06187324163140795,-0.10157800398290337
dar,1,H,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,H,extratrees_pooled,a0,a08,0.02854512221251665,0.0094263227225397,-0.019118799489976947
dar,1,H,extratrees_real_only,a0,a08,0.08187034702107117,0.23518119379992944,0.15331084677885826
dar,1,H,primary_corrector,a0,a08,0.025846959250148332,0.19801769661922275,0.17217073736907443
dar,1,B,plugin,a0,a08,0.34052999671354733,0.644329620355923,0.30379962364237567
dar,1,B,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,B,extratrees_pooled,a0,a08,0.06720112739555234,0.021210041444288803,-0.04599108595126354
dar,1,B,extratrees_real_only,a0,a08,0.06017914680593819,0.28231895780042326,0.22213981099448507
dar,1,B,primary_corrector,a0,a08,0.027093104556684993,0.11721445556818773,0.09012135101150273
dar,2,R,plugin,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,R,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,R,extratrees_pooled,a0,a08,0.03353062929817021,0.008517340899618198,-0.025013288398552012
dar,2,R,extratrees_real_only,a0,a08,0.01809973340140138,0.2293184493931215,0.2112187159917201
dar,2,R,primary_corrector,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,S,plugin,a0,a08,0.009039966884757722,0.024388511394874596,0.015348544510116875
dar,2,S,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,S,extratrees_pooled,a0,a08,0.02097274497288228,0.012618349934216289,-0.008354395038665991
dar,2,S,extratrees_real_only,a0,a08,0.016475690411795696,0.22972264655897837,0.21324695614718267
dar,2,S,primary_corrector,a0,a08,0.006812052013230097,0.021387652133507056,0.01457560012027696
dar,2,H,plugin,a0,a08,0.17515338335218159,0.034895183842155474,-0.1402581995100261
dar,2,H,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,H,extratrees_pooled,a0,a08,0.05264638523775685,0.02407793548138637,-0.028568449756370483
dar,2,H,extratrees_real_only,a0,a08,0.09596961043098394,0.22925693566980465,0.1332873252388207
dar,2,H,primary_corrector,a0,a08,0.009037919090005972,0.20942090454087117,0.2003829854508652
dar,2,B,plugin,a0,a08,0.3553071399179289,0.6308811351571131,0.2755739952391842
dar,2,B,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,B,extratrees_pooled,a0,a08,0.11787266528412481,0.012316117583286138,-0.10555654770083867
dar,2,B,extratrees_real_only,a0,a08,0.05430943709437055,0.27586259508584915,0.2215531579914786
dar,2,B,primary_corrector,a0,a08,0.05252823843926052,0.20138560035610162,0.1488573619168411
ad,1,R,plugin,memoryless,memory,0.00202612617928997,0.02305792201226679,0.02103179583297682
ad,1,R,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,R,extratrees_pooled,memoryless,memory,0.005019332939425245,0.02480946373614808,0.019790130796722837
ad,1,R,extratrees_real_only,memoryless,memory,0.0075273523901093625,0.25236958468127324,0.24484223229116386
ad,1,R,primary_corrector,memoryless,memory,0.00202612617928997,0.02305792201226679,0.02103179583297682
ad,1,S,plugin,memoryless,memory,0.02351245884934854,0.026849404383129254,0.003336945533780715
ad,1,S,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,S,extratrees_pooled,memoryless,memory,0.003801448781033797,0.018126605148321612,0.014325156367287815
ad,1,S,extratrees_real_only,memoryless,memory,0.037646603717271944,0.24929097665426814,0.2116443729369962
ad,1,S,primary_corrector,memoryless,memory,0.002371413170661106,0.03471988096176878,0.03234846779110767
ad,1,H,plugin,memoryless,memory,0.026206795398407107,0.15626101307542517,0.13005421767701805
ad,1,H,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,H,extratrees_pooled,memoryless,memory,0.0029970963791011718,0.01412110410583034,0.011124007726729168
ad,1,H,extratrees_real_only,memoryless,memory,0.006306577922100515,0.25869081697982155,0.252384239057721
ad,1,H,primary_corrector,memoryless,memory,0.006172683496065999,0.1138928302522576,0.1077201467561916
ad,1,B,plugin,memoryless,memory,0.05036360460422095,0.6767163183845026,0.6263527137802817
ad,1,B,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,B,extratrees_pooled,memoryless,memory,0.00464718592811577,0.046535904975307095,0.041888719047191325
ad,1,B,extratrees_real_only,memoryless,memory,0.015005107735060431,0.30279960671738193,0.2877944989823215
ad,1,B,primary_corrector,memoryless,memory,0.011348927235343559,0.11977139103676508,0.10842246380142152
ad,2,R,plugin,memoryless,memory,0.009340517183783098,0.014697328848082503,0.005356811664299405
ad,2,R,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
ad,2,R,extratrees_pooled,memoryless,memory,0.006559736924706255,0.010684991625641738,0.0041252547009354825
ad,2,R,extratrees_real_only,memoryless,memory,0.033191773390794634,0.23881604900597572,0.2056242756151811
ad,2,R,primary_corrector,memoryless,memory,0.009340517183783098,0.014697328848082503,0.005356811664299405
ad,2,S,plugin,memoryless,memory,0.08170993627855151,0.032846478659494305,-0.04886345761905721
ad,2,S,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
ad,2,S,extratrees_pooled,memoryless,memory,0.0591210683228669,0.014736296917192915,-0.044384771405673984
ad,2,S,extratrees_real_only,memoryless,memory,0.11354240950011245,0.23692853256358748,0.12338612306347503
ad,2,S,primary_corrector,memoryless,memory,0.004969611686751541,0.032344466110825164,0.027374854424073624
ad,2,H,plugin,memoryless,memory,0.016985536580506107,0.11672726109271576,0.09974172451220965
ad,2,H,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
