graph_id,stratum,components,largest_node_share,largest_cell_share,expected_ceiling_cells,target_cells,L,validated_coverage,budget_matched,truth,component_target,selection_target,selection_effect_rho2,component_effect_rho2
sp_hospital,real,1,1.0,1.0,1901.0,190.10000000000002,111,0.10044466728037875,True,"[0.44512730465320455, 0.16417910447761194, 0.0456540825285338, 0.014047410008779631]","[0.44512730465320455, 0.16417910447761194, 0.0456540825285338, 0.014047410008779631]","[0.5481156423231169, 0.23937483952410182, 0.07960803190150455, 0.02328517111225648]",0.10298833766991239,0.0
sp_highschool2013,real,1,1.0,1.0,11244.0,1124.4,621,0.1002894251934365,True,"[0.4855620488140254, 0.2671020969405294, 0.12822275696115504, 0.05173599174974218]","[0.4855620488140254, 0.2671020969405294, 0.12822275696115504, 0.05173599174974218]","[0.5060041878626398, 0.28838581253010154, 0.14078318819130223, 0.054244396718336266]",0.02044213904861436,0.0
copenhagen_bluetooth,real,1,1.0,1.0,144476.0,14447.6,8060,0.0999745145820067,True,"[0.44692568841946434, 0.22074688796680497, 0.1074311580535647, 0.041518923676600025]","[0.44692568841946434, 0.22074688796680497, 0.1074311580535647, 0.041518923676600025]","[0.49519817041533853, 0.24929933981993443, 0.12120168057032103, 0.04735617543791519]",0.048272481995874195,0.0
sp_workplace,real,1,1.0,1.0,6220.0,622.0,461,0.09985634169011254,True,"[0.2901263453439401, 0.11909218530650445, 0.04609265325222274, 0.0]","[0.2901263453439401, 0.11909218530650445, 0.04609265325222274, 0.0]","[0.29476680594258386, 0.12364595613454253, 0.047945372370414276, 0.0]",0.004640460598643759,0.0
snap_email_eu,real,1,1.0,1.0,32137.0,3213.7000000000003,1701,0.09994941092043438,True,"[0.5057270916334662, 0.2975597609561753, 0.1593625498007968, 0.03791085657370518]","[0.5057270916334662, 0.2975597609561753, 0.1593625498007968, 0.03791085657370518]","[0.579662094695193, 0.3642822379170425, 0.18680777220244765, 0.04792098739493462]",0.07393500306172684,0.0
snap_collegemsg,real,4,0.9968404423380727,0.9998063766619336,15442.058451816747,1549.4,1623,0.10035815275267845,True,"[0.10304957363780894, 0.013007660066483595, 0.003251915016620899, 0.00036132389073565546]","[0.10274625737434707, 0.012969373301109727, 0.0032423433252774317, 0.0003602603694752702]","[0.15603225423960665, 0.02605364226172668, 0.006457661252033889, 0.0005853713962460615]",0.05298268060179771,-0.00030331626346186136
snap_mathoverflow,real,45,0.9963245688436528,0.9997747715368728,207863.19883678653,20867.7,19557,0.10048494316275872,True,"[0.08438394348515314, 0.01923015543710702, 0.005303586437287883, 0.0011490217356611662]","[0.08409482138122935, 0.01916426774841733, 0.005285414922592553, 0.0011450848779137328]","[0.36634853167738973, 0.1540617731646215, 0.06507665366087591, 0.020324271911212218]",0.2819645881922366,-0.000289122103923789
nr_digg_reply,real,335,0.9766798418972332,0.9956220442946107,83070.55559947308,8542.800000000001,14424,0.09977447885573232,True,"[0.0030649991192531266, 0.00011743291644647995, 2.348658328929599e-05, 0.0]","[0.0030067283794149384, 0.00011520032105038077, 2.3040064210076153e-05, 0.0]","[0.0264280997658487, 0.0012577521950398736, 0.00010875497814154631, 0.0]",0.023363100646595573,-5.827073983818813e-05
sp_hospital__pwt,surrogate,1,1.0,1.0,3984.0,398.40000000000003,117,0.09991553126568775,True,"[0.8349429323968394, 0.704126426690079, 0.5636523266022827, 0.39508340649692714]","[0.8349429323968394, 0.704126426690079, 0.5636523266022827, 0.39508340649692714]","[0.8676555662031292, 0.7624811608392755, 0.636773410870661, 0.4725842502408321]",0.03271263380628986,0.0
sp_highschool2013__pwt,surrogate,1,1.0,1.0,16770.0,1677.0,632,0.10003313441040548,True,"[0.6632863526985219, 0.512547267102097, 0.40477827432107255, 0.301821931935373]","[0.6632863526985219, 0.512547267102097, 0.40477827432107255, 0.301821931935373]","[0.6711919078752902, 0.5226435004413172, 0.4141590478296908, 0.30788820928564486]",0.007905555176768275,0.0
