stratum,budget,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.025,R,plugin,8,24,0.024534351852676224,0.007132142278177363,0.013553796369380176,0.015000621061864942,,,,,
real,0.025,R,shared_mle,8,24,0.025607858543126936,0.005352704700168443,0.01471165671468698,0.02403302050906391,0,0.0,,,
real,0.025,R,extratrees,8,24,0.035513479367568795,0.012186914824688,0.022100156750165426,0.03029223506361941,,,0.875,,
real,0.025,R,qwen_thinking,8,72,0.028738491946882366,0.009771349352295696,0.020605317183121436,-0.00023955501416180478,,,,72,1.0
real,0.025,R,qwen_nonthinking,8,72,0.424166486649426,0.045996134657033054,0.3021163486912748,0.42391107005615497,,,,72,1.0
real,0.025,S1,plugin,8,24,0.07900973064994347,0.028722093015565275,0.041271140118307514,0.06749748074894965,,,,,
real,0.025,S1,shared_mle,8,24,0.08543151580458132,0.030359525682183502,0.04142330331242715,0.07905369636960677,0,0.0,,,
real,0.025,S1,extratrees,8,24,0.08051315199044695,0.02982772842559082,0.04489737260692206,0.06828955200830572,,,0.9583333333333334,,
real,0.025,S1,qwen_thinking,8,72,0.08073164229709225,0.030445512458887717,0.0390554322613766,0.07674628621606877,,,,72,1.0
real,0.025,S1,qwen_nonthinking,8,72,0.374379020889398,0.0481853409107112,0.26936285520673564,0.3696013478339327,,,,72,1.0
real,0.025,H,plugin,8,24,0.08403990661572622,0.02641775978470006,0.06425334971814482,-0.08245421091238345,,,,,
real,0.025,H,shared_mle,8,24,0.07584927023198182,0.02487232228289202,0.03485560386015973,0.03139588646015555,0,0.0,,,
real,0.025,H,extratrees,8,24,0.051273867119058826,0.012923813109934023,0.032417334234314074,0.012951976850270691,,,1.0,,
real,0.025,H,qwen_thinking,8,72,0.2078269193655247,0.013328795434293059,0.09718366901151171,0.09579912891388881,,,,72,1.0
real,0.025,H,qwen_nonthinking,8,72,0.23769181809229156,0.05054343634108114,0.14434389986568247,0.06049023672282161,,,,72,1.0
real,0.025,B,plugin,8,24,0.2269250478788742,0.052762286211831086,0.10830283117177883,-0.2269250478788742,,,,,
real,0.025,B,shared_mle,8,24,0.09060183300326694,0.024272374671505243,0.04433308018531121,0.04197846365843509,4,0.16666666666666666,,,
real,0.025,B,extratrees,8,24,0.12184301717339219,0.018306071024448825,0.08236807424031446,0.11385286388952615,,,1.0,,
real,0.025,B,qwen_thinking,8,72,0.29802243754971225,0.021673817241490746,0.1680050455775545,-0.03849854609490034,,,,72,1.0
real,0.025,B,qwen_nonthinking,8,72,0.44442237305775617,0.056145231942913223,0.37406340061694265,0.2361243339450439,,,,72,1.0
real,0.05,R,plugin,8,24,0.013658807648521357,0.002791535000795925,0.010555275035054962,-0.0043495360257812185,,,,,
real,0.05,R,shared_mle,8,24,0.012908201340392519,0.003028787457462661,0.011287870125587017,0.009276368235903467,0,0.0,,,
real,0.05,R,extratrees,8,24,0.0273613751807376,0.008176393225559459,0.01783864200847606,0.008422434275810242,,,0.875,,
real,0.05,R,qwen_thinking,8,72,0.02596698231303693,0.007556156914313172,0.017224246764686472,0.0027216513782107963,,,,72,1.0
real,0.05,R,qwen_nonthinking,8,72,0.37461370887164824,0.04537183625135497,0.27791004574193723,0.3743582922783772,,,,72,1.0
real,0.05,S1,plugin,8,24,0.07271951927855021,0.02601233765086475,0.036782802991562065,0.06997089526179329,,,,,
real,0.05,S1,shared_mle,8,24,0.07923764359646306,0.027853200839814428,0.037066697176197545,0.07923764359646306,0,0.0,,,
real,0.05,S1,extratrees,8,24,0.06773373183913278,0.02639260716649637,0.03904487494827864,0.06396011889665529,,,1.0,,
real,0.05,S1,qwen_thinking,8,72,0.068017112909558,0.02628625517215162,0.03407715888267224,0.06462454676023133,,,,72,1.0
real,0.05,S1,qwen_nonthinking,8,72,0.44160079222944676,0.05939164558314402,0.3380739779924481,0.4414305145005994,,,,72,1.0
real,0.05,H,plugin,8,24,0.06298774006822341,0.017550306231179646,0.05796373759143132,-0.06069750885890064,,,,,
