source_family,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
copenhagen_bluetooth,R,plugin,1,3,0.012104810860067983,nan,0.007234481232050542,-0.006587319373998109,,,,,
copenhagen_bluetooth,R,shared_mle,1,3,0.009611167606053128,nan,0.008305371425183556,0.009611167606053128,0,0.0,,,
copenhagen_bluetooth,R,extratrees,1,3,0.009976259916111377,nan,0.006150912703879941,0.00199160259692327,,,1.0,,
copenhagen_bluetooth,R,qwen_thinking,1,9,0.01533557730835324,nan,0.009608747862441846,-0.01533557730835324,,,,0,
copenhagen_bluetooth,R,qwen_nonthinking,1,9,0.48774097824720225,nan,0.5280110021375582,0.48774097824720225,,,,0,
copenhagen_bluetooth,S1,plugin,1,3,0.051172711974970995,nan,0.02608006338983436,0.051172711974970995,,,,,
copenhagen_bluetooth,S1,shared_mle,1,3,0.04630680317508381,nan,0.02696655805888007,0.04630680317508381,0,0.0,,,
copenhagen_bluetooth,S1,extratrees,1,3,0.019587107089398963,nan,0.007400696658229049,0.019587107089398963,,,1.0,,
copenhagen_bluetooth,S1,qwen_thinking,1,9,0.04534542269164677,nan,0.022226752137558158,0.04534542269164677,,,,0,
copenhagen_bluetooth,S1,qwen_nonthinking,1,9,0.4768520893583134,nan,0.4550387799153359,0.4768520893583134,,,,0,
copenhagen_bluetooth,H,plugin,1,3,0.09548319060365208,nan,0.08779058011962311,-0.09548319060365208,,,,,
copenhagen_bluetooth,H,shared_mle,1,3,0.2162965711130483,nan,0.08816712565231466,0.2162965711130483,3,1.0,,,
copenhagen_bluetooth,H,extratrees,1,3,0.027503739821067408,nan,0.02076363875791968,0.027503739821067408,,,1.0,,
copenhagen_bluetooth,H,qwen_thinking,1,9,0.1421735767108135,nan,0.09675938678321389,-0.006938327119464349,,,,0,
copenhagen_bluetooth,H,qwen_nonthinking,1,9,0.25402477052684524,nan,0.1319415140338377,-0.003925688419464347,,,,0,
copenhagen_bluetooth,B,plugin,1,3,0.19245867004608197,nan,0.10577477058247801,-0.19245867004608197,,,,,
copenhagen_bluetooth,B,shared_mle,1,3,0.004864921456814497,nan,0.006799378078488352,0.004864921456814497,0,0.0,,,
copenhagen_bluetooth,B,extratrees,1,3,0.04510275027304467,nan,0.03870224629325462,0.04510275027304467,,,1.0,,
copenhagen_bluetooth,B,qwen_thinking,1,9,0.24010520210402783,nan,0.1361662997973844,-0.1436442439750199,,,,0,
copenhagen_bluetooth,B,qwen_nonthinking,1,9,0.4857854226916467,nan,0.5100665576931136,0.4857854226916467,,,,0,
nr_digg_reply,R,plugin,1,3,0.0007060875411398871,nan,0.0002164373653452159,0.0001053614721384354,,,,,
nr_digg_reply,R,shared_mle,1,3,0.0008144605504301575,nan,0.000236504538730333,0.00020918830783456908,1,0.3333333333333333,,,
nr_digg_reply,R,extratrees,1,3,0.010947692691294262,nan,0.0034712195679400012,0.010947692691294262,,,0.3333333333333333,,
nr_digg_reply,R,qwen_thinking,1,9,0.00037233415086215327,nan,0.0001098009126494823,-1.040245258645989e-05,,,,0,
nr_digg_reply,R,qwen_nonthinking,1,9,0.3939783336269156,nan,0.2280383956706398,0.39193500088074684,,,,0,
nr_digg_reply,S1,plugin,1,3,0.011587898233844908,nan,0.003066013197464761,0.011587898233844908,,,,,
nr_digg_reply,S1,shared_mle,1,3,0.012159087174736544,nan,0.00307379105246112,0.012159087174736544,0,0.0,,,
nr_digg_reply,S1,extratrees,1,3,0.008203253123377899,nan,0.003085992801019335,0.008203253123377899,,,1.0,,
nr_digg_reply,S1,qwen_thinking,1,9,0.01175525865852465,nan,0.003124689410062696,0.01175525865852465,,,,0,
nr_digg_reply,S1,qwen_nonthinking,1,9,0.36494944512946975,nan,0.15465570952315713,0.3642683342140802,,,,0,
nr_digg_reply,H,plugin,1,3,0.001587338475676097,nan,0.0004226277501769981,-0.001587338475676097,,,,,
nr_digg_reply,H,shared_mle,1,3,0.0003126264624111606,nan,0.00011174044410158877,-3.461607134802172e-05,2,0.6666666666666666,,,
nr_digg_reply,H,extratrees,1,3,0.005444703628558833,nan,0.0013874894369309972,0.005444703628558833,,,1.0,,
nr_digg_reply,H,qwen_thinking,1,9,0.06368707120118809,nan,0.019120476913973818,0.060276262327866745,,,,0,
nr_digg_reply,H,qwen_nonthinking,1,9,0.15546611081752884,nan,0.06998938210713797,0.15137944532519132,,,,0,
nr_digg_reply,B,plugin,1,3,0.0022048611658394162,nan,0.0005767676221674209,-0.0022048611658394162,,,,,
nr_digg_reply,B,shared_mle,1,3,0.005874902716006322,nan,0.0014936850722092766,0.005874902716006322,2,0.6666666666666666,,,
nr_digg_reply,B,extratrees,1,3,0.05871895305637776,nan,0.028363780383645187,0.05871895305637776,,,1.0,,
nr_digg_reply,B,qwen_thinking,1,9,0.008161778267081596,nan,0.0020756744417043432,0.007011111991857985,,,,0,
nr_digg_reply,B,qwen_nonthinking,1,9,0.6151161117961365,nan,0.3917905158240855,0.6144350008807469,,,,0,
snap_collegemsg,R,plugin,1,3,0.0029870177418446823,nan,0.0017338570636275463,0.0029870177418446823,,,,,
snap_collegemsg,R,shared_mle,1,3,0.008338340647923053,nan,0.0028123668214172365,0.008338340647923053,0,0.0,,,
snap_collegemsg,R,extratrees,1,3,0.06892521884614354,nan,0.03955508660308115,0.06892521884614354,,,1.0,,
snap_collegemsg,R,qwen_thinking,1,9,0.010001036857047424,nan,0.006124075221868527,-0.004932085948920047,,,,0,
snap_collegemsg,R,qwen_nonthinking,1,9,0.32028375969552436,nan,0.14147127073597662,0.32028375969552436,,,,0,
snap_collegemsg,S1,plugin,1,3,0.04330633592198435,nan,0.0149617567516925,0.04330633592198435,,,,,
snap_collegemsg,S1,shared_mle,1,3,0.04989420484686802,nan,0.015370989727840128,0.04989420484686802,0,0.0,,,
snap_collegemsg,S1,extratrees,1,3,0.08806386135735583,nan,0.05286766654807462,0.08806386135735583,,,1.0,,
snap_collegemsg,S1,qwen_thinking,1,9,0.03994442636219107,nan,0.012353543792455558,0.03994442636219107,,,,0,
snap_collegemsg,S1,qwen_nonthinking,1,9,0.4967837596955243,nan,0.3608740485137545,0.4967837596955243,,,,0,
snap_collegemsg,H,plugin,1,3,0.018657779724776762,nan,0.006688988898030135,0.018657779724776762,,,,,
snap_collegemsg,H,shared_mle,1,3,0.10977174313355714,nan,0.037619800452711565,0.10977174313355714,0,0.0,,,
snap_collegemsg,H,extratrees,1,3,0.09263966352454629,nan,0.03482654368907163,0.09263966352454629,,,1.0,,
snap_collegemsg,H,qwen_thinking,1,9,0.21041253747330219,nan,0.07942254481620657,0.21041253747330219,,,,0,
snap_collegemsg,H,qwen_nonthinking,1,9,0.315405887170593,nan,0.1642307414366238,0.2925059819177466,,,,0,
snap_collegemsg,B,plugin,1,3,0.07182096020281759,nan,0.021890328642972707,-0.07182096020281759,,,,,
snap_collegemsg,B,shared_mle,1,3,0.008105338878986726,nan,0.003851330128399909,0.0036058143032798953,0,0.0,,,
