arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
R,plugin,8,24,0.023485619512021903,0.0041865568490185925,0.016790690974994436,-0.003212663088382209,,,,,
R,shared_mle,8,24,0.021921895316806547,0.0029467468939167528,0.015194009188030844,-0.007666669097403499,1,0.041666666666666664,,,
R,extratrees,8,24,0.020929181493702497,0.003923083127764,0.015159072077009877,-0.003951868242684576,,,0.9583333333333334,,
R,qwen_thinking,8,72,0.019885790618970653,0.004486825682407392,0.014675093498744511,-0.008946217642153555,,,,72,1.0
R,qwen_nonthinking,8,72,0.2076432737368426,0.05521376040773993,0.1583774835650995,0.1729890185325628,,,,72,1.0
S1,plugin,8,24,0.03319398812321607,0.007787569977264644,0.02242811326708021,0.02439603305840782,,,,,
S1,shared_mle,8,24,0.030543616532323528,0.008398969647194365,0.02300316526628082,0.016685800510161893,0,0.0,,,
S1,extratrees,8,24,0.021312853607025273,0.004929655729904304,0.016380143147932718,0.006911318731496419,,,0.5833333333333334,,
S1,qwen_thinking,8,72,0.028148742244923763,0.008031296115336968,0.020399042055122538,0.013063615754785027,,,,72,1.0
S1,qwen_nonthinking,8,72,0.22231820596430346,0.05081800966323297,0.18287157508439994,0.15996679631034058,,,,72,1.0
H,plugin,8,24,0.09476001628557323,0.023864697244824505,0.12143025378551377,-0.09018390838576593,,,,,
H,shared_mle,8,24,0.037488845224693826,0.007025695484788764,0.044176025813714645,0.02172518496137213,0,0.0,,,
H,extratrees,8,24,0.02549400802514253,0.007966241557022908,0.01778568386763114,-0.004398802566068767,,,1.0,,
H,qwen_thinking,8,72,0.15716095759915125,0.021035405271859473,0.1342679731521832,0.020607831465363862,,,,72,1.0
H,qwen_nonthinking,8,72,0.25752723095116026,0.02518545222031642,0.18731486959072302,-0.07813042591188166,,,,72,1.0
B,plugin,8,24,0.4254548529788339,0.09348662449166775,0.2543272105582569,-0.4254548529788339,,,,,
B,shared_mle,8,24,0.07538916743913826,0.013567031156981975,0.06297421876990122,-0.02063762820682838,0,0.0,,,
B,extratrees,8,24,0.038621631115238364,0.014671959571802016,0.04460547258663565,-0.014617978543258804,,,1.0,,
B,qwen_thinking,8,72,0.37800185508911877,0.044057162009935466,0.26512611347859827,-0.1850405934537684,,,,72,1.0
B,qwen_nonthinking,8,72,0.3146713406456586,0.06733589912619477,0.28084469232664827,0.18292978242145166,,,,72,1.0
