stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.025,0.4,plugin,8,24,0.1474712508560496,0.04823412036790173,0.09133971897452359,-0.14725589842445855,,,,,
real,0.025,0.4,shared_mle,8,24,0.14257595335258855,0.03113378562464231,0.0662245302579701,0.1122883251163233,0,0.0,,,
real,0.025,0.4,extratrees,8,24,0.10535198642621618,0.03343025105924405,0.05530589706049556,0.010135122275664411,,,1.0,,
real,0.025,0.4,mechanism_aware_reference,8,24,0.1829546181834314,0.04290889191028164,0.08082662727639137,0.15921616254819157,,,,,
real,0.025,0.6,plugin,8,24,0.08403990661572622,0.02641775978470006,0.06425334971814482,-0.08245421091238345,,,,,
real,0.025,0.6,shared_mle,8,24,0.07584927023198182,0.02487232228289202,0.03485560386015973,0.03139588646015555,0,0.0,,,
real,0.025,0.6,extratrees,8,24,0.051273867119058826,0.012923813109934023,0.032417334234314074,0.012951976850270691,,,1.0,,
real,0.025,0.6,qwen_thinking,8,72,0.2078269193655247,0.013328795434293059,0.09718366901151171,0.09579912891388881,,,,72,1.0
real,0.025,0.6,qwen_nonthinking,8,72,0.23769181809229156,0.05054343634108114,0.14434389986568247,0.06049023672282161,,,,72,1.0
real,0.025,0.6,mechanism_aware_reference,8,24,0.12851250130630332,0.028844114740857307,0.05370196863066891,0.09388533874234214,,,,,
real,0.05,0.4,plugin,8,24,0.1358846217293126,0.04651909474677278,0.08844306169283933,-0.13510223829062168,,,,,
real,0.05,0.4,shared_mle,8,24,0.1406377568252603,0.030520039569212353,0.07221443357007702,0.11417501243387132,0,0.0,,,
real,0.05,0.4,extratrees,8,24,0.11740704428379134,0.03455724913822056,0.060676444674144944,0.006017008029267018,,,1.0,,
real,0.05,0.4,mechanism_aware_reference,8,24,0.19432177774811793,0.04617725614487297,0.09105601582862097,0.1806314686549652,,,,,
real,0.05,0.6,plugin,8,24,0.06298774006822341,0.017550306231179646,0.05796373759143132,-0.06069750885890064,,,,,
real,0.05,0.6,shared_mle,8,24,0.07446809396357468,0.013972729213311103,0.03750154654033709,0.07153553800488024,3,0.125,,,
real,0.05,0.6,extratrees,8,24,0.04645071196868921,0.010397337115002063,0.0316482676417912,0.025100780004135438,,,1.0,,
real,0.05,0.6,qwen_thinking,8,72,0.17726228454788973,0.027200901854770355,0.09313727782282144,0.08003238883463916,,,,72,1.0
real,0.05,0.6,qwen_nonthinking,8,72,0.20929446787997907,0.03788621652047376,0.11533769308249711,0.015920792278377192,,,,72,1.0
real,0.05,0.6,mechanism_aware_reference,8,24,0.12898965472999407,0.026855313219227704,0.05530008857742695,0.1289692555810075,,,,,
real,0.1,0.4,plugin,8,22,0.14070726466751504,0.04535697511947102,0.08964872242738996,-0.14070726466751504,,,,,
real,0.1,0.4,shared_mle,8,22,0.14752388007297887,0.03799884405246725,0.06588261595646897,0.1382218062126575,0,0.0,,,
real,0.1,0.4,extratrees,8,22,0.09782098778257851,0.03152237544901014,0.05306499851688036,0.010121076789577944,,,1.0,,
real,0.1,0.4,mechanism_aware_reference,8,22,0.18258320360160232,0.044937167199660066,0.07879196327828548,0.1786483781338748,,,,,
real,0.1,0.6,plugin,8,24,0.06660501268737784,0.016809484507913842,0.05727753505680255,-0.061940567756183645,,,,,
real,0.1,0.6,shared_mle,8,24,0.07495717554517753,0.024228332344971553,0.037837406913245775,0.07442110242220296,5,0.20833333333333334,,,
real,0.1,0.6,extratrees,8,24,0.04105505843947925,0.009220368124677608,0.030835062929045667,0.018829897513337027,,,1.0,,
real,0.1,0.6,qwen_thinking,8,72,0.16456675284990552,0.01844696172758388,0.09360770959148698,0.06938959944993255,,,,72,1.0
real,0.1,0.6,qwen_nonthinking,8,72,0.2416531121153421,0.02450540146760364,0.1441727453517306,0.09346245894504385,,,,72,1.0
real,0.1,0.6,mechanism_aware_reference,8,24,0.1343473287262946,0.03007961087923675,0.05569842924190095,0.1343039234095747,,,,,
real,0.2,0.4,plugin,8,22,0.14232633019837201,0.04649256298117339,0.09005348881010419,-0.14232633019837201,,,,,
real,0.2,0.4,shared_mle,8,22,0.1650730384056369,0.03322884981641761,0.0725689141372293,0.13868419294123083,0,0.0,,,
real,0.2,0.4,extratrees,8,22,0.09479576341568524,0.0322333500911132,0.05134062770788005,0.00726169751242227,,,1.0,,
