source_family,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
copenhagen_bluetooth,0.4,plugin,1,3,0.20559959328231706,nan,0.1438241407448217,-0.20559959328231706,,,,,
copenhagen_bluetooth,0.4,shared_mle,1,3,0.15049885291492157,nan,0.06107240849799669,0.15049885291492157,0,0.0,,,
copenhagen_bluetooth,0.4,extratrees,1,3,0.006969307766224231,nan,0.010610143527577462,0.0038778964088595123,,,1.0,,
copenhagen_bluetooth,0.4,mechanism_aware_reference,1,3,0.2562208128901266,nan,0.10363371651790305,0.2562208128901266,,,,,
copenhagen_bluetooth,0.6,plugin,1,3,0.09548319060365208,nan,0.08779058011962311,-0.09548319060365208,,,,,
copenhagen_bluetooth,0.6,shared_mle,1,3,0.2162965711130483,nan,0.08816712565231466,0.2162965711130483,3,1.0,,,
copenhagen_bluetooth,0.6,extratrees,1,3,0.027503739821067408,nan,0.02076363875791968,0.027503739821067408,,,1.0,,
copenhagen_bluetooth,0.6,qwen_thinking,1,9,0.1421735767108135,nan,0.09675938678321389,-0.006938327119464349,,,,0,
copenhagen_bluetooth,0.6,qwen_nonthinking,1,9,0.25402477052684524,nan,0.1319415140338377,-0.003925688419464347,,,,0,
copenhagen_bluetooth,0.6,mechanism_aware_reference,1,3,0.2162965711130483,nan,0.08816712565231466,0.2162965711130483,,,,,
nr_digg_reply,0.4,plugin,1,3,0.0019964510155395603,nan,0.0005343426288188341,-0.0019964510155395603,,,,,
nr_digg_reply,0.4,shared_mle,1,3,0.0020266476128846956,nan,0.0005388488356778899,0.0012030478343432113,0,0.0,,,
nr_digg_reply,0.4,extratrees,1,3,0.012467909385822372,nan,0.0033464848286132247,0.012467909385822372,,,1.0,,
nr_digg_reply,0.4,mechanism_aware_reference,1,3,0.0020267015120637197,nan,0.000538870130325229,0.0012031128715509355,,,,,
nr_digg_reply,0.6,plugin,1,3,0.001587338475676097,nan,0.0004226277501769981,-0.001587338475676097,,,,,
nr_digg_reply,0.6,shared_mle,1,3,0.0003126264624111606,nan,0.00011174044410158877,-3.461607134802172e-05,2,0.6666666666666666,,,
nr_digg_reply,0.6,extratrees,1,3,0.005444703628558833,nan,0.0013874894369309972,0.005444703628558833,,,1.0,,
nr_digg_reply,0.6,qwen_thinking,1,9,0.06368707120118809,nan,0.019120476913973818,0.060276262327866745,,,,0,
nr_digg_reply,0.6,qwen_nonthinking,1,9,0.15546611081752884,nan,0.06998938210713797,0.15137944532519132,,,,0,
nr_digg_reply,0.6,mechanism_aware_reference,1,3,0.00031553167619411743,nan,0.00011294463838417902,-3.1710857565064865e-05,,,,,
snap_collegemsg,0.4,plugin,1,1,0.001166011993973315,nan,0.004446727741953366,-0.001166011993973315,,,,,
snap_collegemsg,0.4,shared_mle,1,1,0.2563207378713812,nan,0.08054276829828191,0.2563207378713812,0,0.0,,,
snap_collegemsg,0.4,extratrees,1,1,0.23239802270470178,nan,0.09340583149617944,0.23239802270470178,,,1.0,,
snap_collegemsg,0.4,mechanism_aware_reference,1,1,0.2595717227972501,nan,0.08112955803304917,0.2595717227972501,,,,,
snap_collegemsg,0.6,plugin,1,3,0.018657779724776762,nan,0.006688988898030135,0.018657779724776762,,,,,
snap_collegemsg,0.6,shared_mle,1,3,0.10977174313355714,nan,0.037619800452711565,0.10977174313355714,0,0.0,,,
snap_collegemsg,0.6,extratrees,1,3,0.09263966352454629,nan,0.03482654368907163,0.09263966352454629,,,1.0,,
snap_collegemsg,0.6,qwen_thinking,1,9,0.21041253747330219,nan,0.07942254481620657,0.21041253747330219,,,,0,
