stratum,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.4,plugin,8,22,0.14070726466751504,0.04535697511947102,0.08964872242738996,-0.14070726466751504,,,,,
real,0.4,shared_mle,8,22,0.14752388007297887,0.03799884405246725,0.06588261595646897,0.1382218062126575,0,0.0,,,
real,0.4,extratrees,8,22,0.09782098778257851,0.03152237544901014,0.05306499851688036,0.010121076789577944,,,1.0,,
real,0.4,mechanism_aware_reference,8,22,0.18258320360160232,0.044937167199660066,0.07879196327828548,0.1786483781338748,,,,,
real,0.6,plugin,8,24,0.06660501268737784,0.016809484507913842,0.05727753505680255,-0.061940567756183645,,,,,
real,0.6,shared_mle,8,24,0.07495717554517753,0.024228332344971553,0.037837406913245775,0.07442110242220296,5,0.20833333333333334,,,
real,0.6,extratrees,8,24,0.04105505843947925,0.009220368124677608,0.030835062929045667,0.018829897513337027,,,1.0,,
real,0.6,qwen_thinking,8,72,0.16456675284990552,0.01844696172758388,0.09360770959148698,0.06938959944993255,,,,72,1.0
real,0.6,qwen_nonthinking,8,72,0.2416531121153421,0.02450540146760364,0.1441727453517306,0.09346245894504385,,,,72,1.0
real,0.6,mechanism_aware_reference,8,24,0.1343473287262946,0.03007961087923675,0.05569842924190095,0.1343039234095747,,,,,
surrogate,0.4,plugin,8,24,0.19548942994007584,0.05793635576526912,0.25116370911115443,-0.19548942994007584,,,,,
surrogate,0.4,shared_mle,8,24,0.13813456783636577,0.03467162477561281,0.11466463505841186,0.09451520517684166,0,0.0,,,
surrogate,0.4,extratrees,8,24,0.09679844086618342,0.04558294479359786,0.08964247154529148,-0.0799782376726464,,,1.0,,
surrogate,0.4,mechanism_aware_reference,8,24,0.17007090316818155,0.04486816770289066,0.1445523130514063,0.13570793149598046,,,,,
surrogate,0.6,plugin,8,24,0.10117006756013969,0.03180970274495716,0.17362677808289068,-0.09959854779398937,,,,,
surrogate,0.6,shared_mle,8,24,0.06606234630286698,0.016567179021991115,0.060785290757313495,0.030981485145375708,1,0.041666666666666664,,,
surrogate,0.6,extratrees,8,24,0.06980110614433338,0.0203632595584655,0.07858499604501565,-0.06432070191609765,,,1.0,,
surrogate,0.6,qwen_thinking,8,72,0.15543136608777325,0.02503120495473346,0.16912033994345443,0.024841109531091254,,,,72,1.0
surrogate,0.6,qwen_nonthinking,8,72,0.322889755745157,0.08017234796093237,0.25063344503137464,-0.2608430276004713,,,,72,1.0
surrogate,0.6,mechanism_aware_reference,8,24,0.12569334113791558,0.0362852909995259,0.10511747944497982,0.12059195298777248,,,,,
synthetic,0.4,plugin,8,24,0.18232332938533025,0.050468090267813286,0.19537296390190717,-0.18232332938533025,,,,,
synthetic,0.4,shared_mle,8,24,0.07724782855143802,0.023214771937457235,0.07559094964705396,0.055049049810445436,0,0.0,,,
synthetic,0.4,extratrees,8,24,0.041590780111332736,0.01598895857689218,0.021339546934598934,-0.02808827106177275,,,1.0,,
synthetic,0.4,mechanism_aware_reference,8,24,0.10402355476569838,0.030019613599477354,0.09629033597376313,0.09456296041231055,,,,,
synthetic,0.6,plugin,8,24,0.09476001628557323,0.023864697244824505,0.12143025378551377,-0.09018390838576593,,,,,
synthetic,0.6,shared_mle,8,24,0.037488845224693826,0.007025695484788764,0.044176025813714645,0.02172518496137213,0,0.0,,,
synthetic,0.6,extratrees,8,24,0.02549400802514253,0.007966241557022908,0.01778568386763114,-0.004398802566068767,,,1.0,,
synthetic,0.6,qwen_thinking,8,72,0.15716095759915125,0.021035405271859473,0.1342679731521832,0.020607831465363862,,,,72,1.0
synthetic,0.6,qwen_nonthinking,8,72,0.25752723095116026,0.02518545222031642,0.18731486959072302,-0.07813042591188166,,,,72,1.0
synthetic,0.6,mechanism_aware_reference,8,24,0.0971536098048973,0.028877835628831148,0.07681859461942558,0.08485062585405537,,,,,
