budget,graph_id,arm,stratum,source_family,fold,AE2,ProfileAE,signed_rho2,prediction,in_unit_interval,monotone
0.025,ad_memory_r1,H,synthetic,ad_memory_r1,synthetic,0.022281364172222262,0.018602713575517408,-0.022281364172222262,"[0.7740682996126, 0.5500674445253048, 0.3296140175878747, 0.1354643584681569]",True,True
0.025,ad_memory_r1,H,synthetic,ad_memory_r1,synthetic,0.11388002929910612,0.09878219088625333,-0.11388002929910612,"[0.6824696344857162, 0.4124951848114146, 0.20281918820135886, 0.06645322319280832]",True,True
0.025,ad_memory_r1,H,synthetic,ad_memory_r1,synthetic,0.043909020678708055,0.022150727110855393,-0.043909020678708055,"[0.7524406431061142, 0.5226697369128637, 0.31170792664474867, 0.1341379266591493]",True,True
0.025,ad_memory_r2,H,synthetic,ad_memory_r2,synthetic,0.1087312887198183,0.08534669842778811,-0.1087312887198183,"[0.6738130899784066, 0.4220427864737182, 0.21788765886921674, 0.07909057826533651]",True,True
0.025,ad_memory_r2,H,synthetic,ad_memory_r2,synthetic,0.056864142215309554,0.038393671482845906,-0.056864142215309554,"[0.7256802364829154, 0.48395088014004545, 0.26968040166178864, 0.1013347030816974]",True,True
0.025,ad_memory_r2,H,synthetic,ad_memory_r2,synthetic,0.10925592585018618,0.09303830086031913,-0.10925592585018618,"[0.6732884528480387, 0.4165260632611693, 0.20551074435090017, 0.06674244339644575]",True,True
0.025,ad_memoryless_r1,H,synthetic,ad_memoryless_r1,synthetic,0.017213223465365197,0.004381868015398024,-0.017213223465365197,"[0.03767709169892257, 0.0018140909280022852, 2.0857964692827225e-05, 0.0]",True,True
0.025,ad_memoryless_r1,H,synthetic,ad_memoryless_r1,synthetic,0.009977020809546447,0.0026601955613248757,-0.009977020809546447,"[0.04491329435474132, 0.0014820721000100112, 3.8351976226713385e-05, 0.0]",True,True
0.025,ad_memoryless_r1,H,synthetic,ad_memoryless_r1,synthetic,0.00321384101836366,0.0009570983947763201,0.00321384101836366,"[0.058104156182651426, 0.002566815024410448, 0.00015521909586752646, 0.0]",True,True
0.025,ad_memoryless_r2,H,synthetic,ad_memoryless_r2,synthetic,0.007989531346086522,0.0024014495488053427,0.007989531346086522,"[0.06960995756241141, 0.0042250916137815476, 0.00029494754138782904, 4.420198112028182e-06]",True,True
0.025,ad_memoryless_r2,H,synthetic,ad_memoryless_r2,synthetic,0.014015717595773462,0.0037846856468410632,0.014015717595773462,"[0.07563614381209835, 0.004797425424675338, 0.0002143507566722085, 2.915366746138872e-06]",True,True
0.025,ad_memoryless_r2,H,synthetic,ad_memoryless_r2,synthetic,0.07329597629220697,0.021386472702950382,0.07329597629220697,"[0.13491640250853185, 0.016745934773516317, 0.0015662416243324977, 6.962392793794086e-05]",True,True
0.025,copenhagen_bluetooth,H,real,copenhagen_bluetooth,copenhagen_bluetooth,0.012812601084907116,0.014425383483721861,0.012812601084907116,"[0.45973828950437146, 0.25065847938183805, 0.12078090863568808, 0.04314651452942389]",True,True
0.025,copenhagen_bluetooth,H,real,copenhagen_bluetooth,copenhagen_bluetooth,0.02131964753735699,0.02021957234542672,0.02131964753735699,"[0.46824533595682133, 0.2574871881780603, 0.12317174910146873, 0.04859667426179053]",True,True
0.025,copenhagen_bluetooth,H,real,copenhagen_bluetooth,copenhagen_bluetooth,0.015185882517185167,0.017014345490340303,0.015185882517185167,"[0.4621115709366495, 0.25407312905211343, 0.12404547217434388, 0.044449867914688426]",True,True
0.025,copenhagen_bluetooth__pwt,H,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.03517705710492669,0.09300312857113915,-0.03517705710492669,"[0.6795846680302424, 0.48858451403812625, 0.3543996223098935, 0.21860867253547125]",True,True
0.025,copenhagen_bluetooth__pwt,H,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.06542147803892473,0.11321735016326658,-0.06542147803892473,"[0.6493402470962444, 0.46212026366001935, 0.33748042473424267, 0.21137965505471734]",True,True
0.025,copenhagen_bluetooth__pwt,H,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.0287036363469384,0.08651257624339678,-0.0287036363469384,"[0.6860580887882307, 0.4975576106429318, 0.36075953091139745, 0.22276445588214297]",True,True
0.025,dar_a08_r1,H,synthetic,dar_a08_r1,synthetic,0.00448310304092292,0.01144579669057888,-0.00448310304092292,"[0.779988946648518, 0.5960340000660865, 0.4416739312567614, 0.31415115860972476]",True,True
0.025,dar_a08_r1,H,synthetic,dar_a08_r1,synthetic,0.020679497716562967,0.033733531418066315,0.020679497716562967,"[0.8051515474060039, 0.6323274035373779, 0.47170575519400765, 0.3207804754354968]",True,True
0.025,dar_a08_r1,H,synthetic,dar_a08_r1,synthetic,0.027816264890946463,0.062068714818788534,0.027816264890946463,"[0.8122883145803874, 0.6448188351843329, 0.5020437644086483, 0.38415500100240657]",True,True
0.025,dar_a08_r2,H,synthetic,dar_a08_r2,synthetic,0.0024829501453675906,0.021103154957483855,-0.0024829501453675906,"[0.7759370883902779, 0.5841392068582921, 0.4187857000841264, 0.28251857687333476]",True,True
0.025,dar_a08_r2,H,synthetic,dar_a08_r2,synthetic,0.04028969937751581,0.05658853035434985,0.04028969937751581,"[0.8187097379131613, 0.6525656055183935, 0.5087801411818943, 0.39209182883991694]",True,True
0.025,dar_a08_r2,H,synthetic,dar_a08_r2,synthetic,0.03469472548995434,0.04902795144553472,0.03469472548995434,"[0.8131147640255998, 0.6463230550285638, 0.5016319743412264, 0.38083520442271546]",True,True
0.025,dar_a0_r1,H,synthetic,dar_a0_r1,synthetic,0.12469186848282648,0.0393569045158202,-0.12469186848282648,"[0.26175993694838806, 0.05415720724787823, 0.007740960567185286, 0.0006321268852223637]",True,True
0.025,dar_a0_r1,H,synthetic,dar_a0_r1,synthetic,0.19432766236330012,0.06377181829499075,-0.19432766236330012,"[0.19212414306791442, 0.029809037906666034, 0.0037849642193417327, 0.0002450143327695709]",True,True
0.025,dar_a0_r1,H,synthetic,dar_a0_r1,synthetic,0.1342764064149229,0.042113214551230356,-0.1342764064149229,"[0.25217539901629166, 0.053250411546227255, 0.007166568817780718, 0.0005916416437110796]",True,True
0.025,dar_a0_r2,H,synthetic,dar_a0_r2,synthetic,0.06886870062781475,0.018600684821347458,-0.06886870062781475,"[0.32720380692505535, 0.08448177093555768, 0.013844053496291168, 0.0012472847977479536]",True,True
0.025,dar_a0_r2,H,synthetic,dar_a0_r2,synthetic,0.11851091971737765,0.0353095170239589,-0.11851091971737765,"[0.27756158783549245, 0.0650456269278113, 0.010554527848901468, 0.0010463363877991313]",True,True
0.025,dar_a0_r2,H,synthetic,dar_a0_r2,synthetic,0.131238464028556,0.03910563995309713,-0.131238464028556,"[0.2648340435243141, 0.06278495957674754, 0.010495804256055724, 0.0011838928492641794]",True,True
0.025,nr_digg_reply,H,real,nr_digg_reply,nr_digg_reply,0.00813949312587681,0.0020977398960549693,0.00813949312587681,"[0.011204492245129937, 0.00034914881148292147, 3.634301618195551e-05, 6.894130413966997e-06]",True,True
0.025,nr_digg_reply,H,real,nr_digg_reply,nr_digg_reply,0.008965195750035787,0.002373489710702403,0.008965195750035787,"[0.012030194869288914, 0.0005969713746787547, 6.297442790457981e-05, 9.736789926265849e-06]",True,True
0.025,nr_digg_reply,H,real,nr_digg_reply,nr_digg_reply,0.011351354632859816,0.0029733591196045525,0.011351354632859816,"[0.014416353752112943, 0.0006031541225816597, 6.87945107282198e-05, 1.1052711984290132e-05]",True,True
0.025,nr_digg_reply__pwt,H,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.004089666820951101,0.001138573589168878,0.004089666820951101,"[0.01223951122233681, 0.000354356350405702, 4.219529611037101e-05, 7.824399463467399e-06]",True,True
0.025,nr_digg_reply__pwt,H,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.006625055916456388,0.0017104325045122913,0.006625055916456388,"[0.014774900317842097, 0.0005841238699045866, 5.945094169361896e-05, 8.754668512967798e-06]",True,True
0.025,nr_digg_reply__pwt,H,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.009211446548586997,0.002334921440466933,0.009211446548586997,"[0.017361290949972706, 0.0006687949343951948, 6.321476551505333e-05, 8.754668512967798e-06]",True,True
