group,arm,comparison,sources_with_pairs,mean_difference,first_better_sources,exact_signflip_p
real,R,deepseek_flash vs plugin,8,-1.1586337635762509e-08,7,0.5078125
real,R,deepseek_flash vs et,8,-0.0017818210597043502,6,0.125
real,R,deepseek_flash vs qwen_thinking,8,-0.00010969757333169625,4,0.4375
real,R,gpt_6_sol vs plugin,8,-1.883442825957471e-06,4,0.8359375
real,R,gpt_6_sol vs et,8,-0.0017836929161926718,6,0.125
real,R,gpt_6_sol vs qwen_thinking,8,-0.00011156942982001796,5,0.2421875
real,R,gpt_6_sol_tools vs plugin,8,0.0009129541377296048,3,0.6015625
real,R,gpt_6_sol_tools vs et,8,-0.0008688553356371094,6,0.6328125
real,R,gpt_6_sol_tools vs qwen_thinking,8,0.0008032681507355444,4,0.8046875
real,R,deepseek_flash vs gpt_6_sol,8,1.8718564883217086e-06,4,0.8359375
real,R,gpt_6_sol_tools vs gpt_6_sol,8,0.0009148375805555623,2,0.171875
real,S,deepseek_flash vs plugin,8,-0.23901466142164285,8,0.0078125
real,S,deepseek_flash vs design,8,6.067376411897417e-05,3,0.96875
real,S,deepseek_flash vs et,8,0.0005327118709951193,3,0.859375
real,S,deepseek_flash vs qwen_thinking,8,-0.10865571579830614,8,0.0078125
real,S,gpt_6_sol vs plugin,8,-0.23617620224787114,8,0.0078125
real,S,gpt_6_sol vs design,8,0.002899132937890654,2,0.078125
real,S,gpt_6_sol vs et,8,0.0033711710447668,3,0.3828125
real,S,gpt_6_sol vs qwen_thinking,8,-0.10581725662453445,8,0.0078125
real,S,gpt_6_sol_tools vs plugin,8,-0.23884666307696406,8,0.0078125
real,S,gpt_6_sol_tools vs design,8,0.00022867210879775062,3,0.296875
real,S,gpt_6_sol_tools vs et,8,0.0007007102156738961,3,0.75
real,S,gpt_6_sol_tools vs qwen_thinking,8,-0.10848771745362737,8,0.0078125
real,S,deepseek_flash vs gpt_6_sol,8,-0.00283845917377168,4,0.515625
real,S,gpt_6_sol_tools vs gpt_6_sol,8,-0.0026704608290929036,7,0.1171875
real,H,deepseek_flash vs plugin,8,0.029680100716206862,2,0.28125
real,H,deepseek_flash vs mle,8,0.044636463182848196,1,0.0703125
real,H,deepseek_flash vs et,8,0.06866614928448714,3,0.0625
real,H,deepseek_flash vs qwen_thinking,8,-0.05275242142083958,5,0.140625
real,H,gpt_6_sol vs plugin,8,-0.024474667843230404,6,0.15625
real,H,gpt_6_sol vs mle,8,-0.009518305376589068,4,0.46875
real,H,gpt_6_sol vs et,8,0.014511380725049879,3,0.296875
real,H,gpt_6_sol vs qwen_thinking,8,-0.10690718998027685,7,0.015625
real,H,gpt_6_sol_tools vs plugin,8,-0.011296458297818758,6,0.5625
real,H,gpt_6_sol_tools vs mle,8,0.003659904168822577,4,0.8828125
real,H,gpt_6_sol_tools vs et,8,0.02768959027046152,2,0.1015625
real,H,gpt_6_sol_tools vs qwen_thinking,8,-0.0937289804348652,7,0.0234375
real,H,deepseek_flash vs gpt_6_sol,8,0.054154768559437266,3,0.1171875
real,H,gpt_6_sol_tools vs gpt_6_sol,8,0.013178209545411646,3,0.09375
real,B,deepseek_flash vs plugin,8,0.01422516998660699,4,0.8125
real,B,deepseek_flash vs mle,8,0.11166884693939666,2,0.046875
real,B,deepseek_flash vs et,8,0.11180554302086765,2,0.046875
real,B,deepseek_flash vs qwen_thinking,8,-0.03941251753690303,5,0.375
real,B,gpt_6_sol vs plugin,8,-0.06192694514051745,7,0.015625
real,B,gpt_6_sol vs mle,8,0.035516731812272224,3,0.171875
real,B,gpt_6_sol vs et,8,0.035653427893743206,3,0.1875
real,B,gpt_6_sol vs qwen_thinking,8,-0.11556463266402747,8,0.0078125
real,B,gpt_6_sol_tools vs plugin,8,-0.037087041074286134,7,0.0234375
real,B,gpt_6_sol_tools vs mle,8,0.060356635878503546,3,0.109375
real,B,gpt_6_sol_tools vs et,8,0.06049333195997453,2,0.109375
real,B,gpt_6_sol_tools vs qwen_thinking,8,-0.09072472859779615,7,0.015625
real,B,deepseek_flash vs gpt_6_sol,8,0.07615211512712444,1,0.015625
real,B,gpt_6_sol_tools vs gpt_6_sol,8,0.02483990406623132,3,0.0625
surrogate,R,deepseek_flash vs plugin,8,-2.0203006775997728e-08,4,0.359375
surrogate,R,deepseek_flash vs et,8,-0.001581069150413684,5,0.5234375
surrogate,R,deepseek_flash vs qwen_thinking,8,-0.00046583337342981097,3,0.7890625
surrogate,R,gpt_6_sol vs plugin,8,1.23450094009829e-06,4,0.796875
surrogate,R,gpt_6_sol vs et,8,-0.0015798144464668094,5,0.5234375
surrogate,R,gpt_6_sol vs qwen_thinking,8,-0.00046457866948293664,3,0.8671875
surrogate,R,gpt_6_sol_tools vs plugin,8,-3.5576740599051892e-06,7,0.015625
surrogate,R,gpt_6_sol_tools vs et,8,-0.0015846066214668126,5,0.5234375
surrogate,R,gpt_6_sol_tools vs qwen_thinking,8,-0.00046937084448294016,5,0.6171875
surrogate,R,deepseek_flash vs gpt_6_sol,8,-1.2547039468742877e-06,4,0.796875
surrogate,R,gpt_6_sol_tools vs gpt_6_sol,8,-4.792175000003479e-06,7,0.03125
surrogate,S,deepseek_flash vs plugin,8,-0.17725913531196258,7,0.015625
surrogate,S,deepseek_flash vs design,8,0.015102307431467728,2,0.0625
surrogate,S,deepseek_flash vs et,8,0.021609876458888257,2,0.3203125
surrogate,S,deepseek_flash vs qwen_thinking,8,-0.08532407118997881,7,0.015625
surrogate,S,gpt_6_sol vs plugin,8,-0.19780519883986666,8,0.0078125
surrogate,S,gpt_6_sol vs design,8,-0.0054437560964363555,6,0.6328125
surrogate,S,gpt_6_sol vs et,8,0.0010638129309841742,3,0.890625
surrogate,S,gpt_6_sol vs qwen_thinking,8,-0.10587013471788288,8,0.0078125
surrogate,S,gpt_6_sol_tools vs plugin,8,-0.19991827972888182,8,0.0078125
surrogate,S,gpt_6_sol_tools vs design,8,-0.00755683698545153,3,0.8046875
surrogate,S,gpt_6_sol_tools vs et,8,-0.0010492679580309996,3,0.8984375
surrogate,S,gpt_6_sol_tools vs qwen_thinking,8,-0.10798321560689807,8,0.0078125
surrogate,S,deepseek_flash vs gpt_6_sol,8,0.020546063527904085,2,0.03125
surrogate,S,gpt_6_sol_tools vs gpt_6_sol,8,-0.002113080889015175,3,0.5
surrogate,H,deepseek_flash vs plugin,8,0.020817150648935228,3,0.421875
surrogate,H,deepseek_flash vs mle,8,0.06473406724891938,2,0.0390625
surrogate,H,deepseek_flash vs et,8,0.07283909931059204,2,0.0390625
surrogate,H,deepseek_flash vs qwen_thinking,8,-0.02672512463454463,6,0.34375
surrogate,H,gpt_6_sol vs plugin,8,-0.0341786958981101,4,0.2734375
surrogate,H,gpt_6_sol vs mle,8,0.009738220701874047,3,0.4609375
surrogate,H,gpt_6_sol vs et,8,0.017843252763546716,4,0.5078125
surrogate,H,gpt_6_sol vs qwen_thinking,8,-0.08172097118158997,7,0.03125
surrogate,H,gpt_6_sol_tools vs plugin,8,-0.041863344875452,6,0.1953125
surrogate,H,gpt_6_sol_tools vs mle,8,0.0020535717245321458,4,0.8828125
surrogate,H,gpt_6_sol_tools vs et,8,0.010158603786204812,4,0.703125
surrogate,H,gpt_6_sol_tools vs qwen_thinking,8,-0.08940562015893186,7,0.0234375
surrogate,H,deepseek_flash vs gpt_6_sol,8,0.05499584654704533,2,0.03125
surrogate,H,gpt_6_sol_tools vs gpt_6_sol,8,-0.007684648977341901,5,0.4375
surrogate,B,deepseek_flash vs plugin,8,-0.06497280666594717,7,0.0234375
surrogate,B,deepseek_flash vs mle,8,0.11435514668530673,2,0.03125
surrogate,B,deepseek_flash vs et,8,0.12240922357645193,1,0.0234375
surrogate,B,deepseek_flash vs qwen_thinking,8,-0.07982700073207248,7,0.015625
surrogate,B,gpt_6_sol vs plugin,8,-0.17329456587684916,8,0.0078125
surrogate,B,gpt_6_sol vs mle,8,0.006033387474404753,4,0.8046875
surrogate,B,gpt_6_sol vs et,8,0.014087464365549933,4,0.6953125
surrogate,B,gpt_6_sol vs qwen_thinking,8,-0.18814875994297448,8,0.0078125
surrogate,B,gpt_6_sol_tools vs plugin,8,-0.17220505671075725,8,0.0078125
surrogate,B,gpt_6_sol_tools vs mle,8,0.007122896640496661,4,0.875
surrogate,B,gpt_6_sol_tools vs et,8,0.015176973531641842,4,0.7265625
surrogate,B,gpt_6_sol_tools vs qwen_thinking,8,-0.18705925077688257,8,0.0078125
surrogate,B,deepseek_flash vs gpt_6_sol,8,0.10832175921090201,0,0.0078125
surrogate,B,gpt_6_sol_tools vs gpt_6_sol,8,0.0010895091660919082,3,0.984375
synthetic,R,deepseek_flash vs plugin,8,5.243128797793872e-08,2,0.5
synthetic,R,deepseek_flash vs et,8,0.0008789330826457172,4,0.25
synthetic,R,deepseek_flash vs qwen_thinking,8,8.047598588050938e-06,5,0.9921875
synthetic,R,gpt_6_sol vs plugin,8,-7.122532551646042e-07,4,0.859375
synthetic,R,gpt_6_sol vs et,8,0.0008781683981025747,4,0.2578125
synthetic,R,gpt_6_sol vs qwen_thinking,8,7.282914044908395e-06,4,0.9296875
synthetic,R,gpt_6_sol_tools vs plugin,8,1.8947425781694251e-06,2,0.25
synthetic,R,gpt_6_sol_tools vs et,8,0.0008807753939359087,4,0.25
