source,stratum,arm,method,answers,valid,MAE_2,ProfileMAE,signed_rho_2
ad_memory_r1,synthetic,B,deepseek_flash,3,3,0.3882501120717259,0.3690028338136407,-0.12358299711815568
ad_memory_r1,synthetic,B,gpt_6_sol,9,9,0.169661223182837,0.2231917227025296,0.07876144732628881
ad_memory_r1,synthetic,B,gpt_6_sol_tools,9,9,0.11981670402390865,0.15372507738285834,0.04639478065962214
ad_memory_r1,synthetic,H,deepseek_flash,3,3,0.12591700288184438,0.08868631123919309,0.12591700288184438
ad_memory_r1,synthetic,H,gpt_6_sol,9,9,0.05469463123065426,0.04971117515209733,0.04742811399295547
ad_memory_r1,synthetic,H,gpt_6_sol_tools,9,9,0.047950261500693765,0.046266437186466,0.04787255843739993
ad_memory_r1,synthetic,R,deepseek_flash,3,3,0.008096378149916891,0.017536590166702778,-0.0022440172543283232
ad_memory_r1,synthetic,R,gpt_6_sol,9,9,0.008082110150496325,0.017531278418187645,-0.0022485526737111693
ad_memory_r1,synthetic,R,gpt_6_sol_tools,9,9,0.008090776817162982,0.01753477841818764,-0.0022447748959334188
ad_memory_r1,synthetic,S,deepseek_flash,3,3,0.040060112071725884,0.021006647374319568,0.012769002881844349
ad_memory_r1,synthetic,S,gpt_6_sol,9,9,0.048950112071725886,0.034632431422777235,0.033917002881844356
ad_memory_r1,synthetic,S,gpt_6_sol_tools,9,9,0.04921677873839256,0.03471854253388835,0.03418366954851103
ad_memory_r2,synthetic,B,deepseek_flash,3,3,0.3545852071005917,0.30028334976988824,-0.11731104536489156
ad_memory_r2,synthetic,B,gpt_6_sol,9,9,0.19038395792241947,0.17194800569800567,-0.015211045364891571
ad_memory_r2,synthetic,B,gpt_6_sol_tools,9,9,0.16305062458908612,0.16875575279421434,0.04301117685733064
ad_memory_r2,synthetic,H,deepseek_flash,3,3,0.08752228796844175,0.07003234714003943,0.08752228796844175
ad_memory_r2,synthetic,H,gpt_6_sol,9,9,0.04981854043392501,0.041870479947403005,0.024788954635108402
ad_memory_r2,synthetic,H,gpt_6_sol_tools,9,9,0.04721854043392501,0.03737243041858425,0.025611176857330623
ad_memory_r2,synthetic,R,deepseek_flash,3,3,0.03333361946291572,0.028553228686207414,-0.001999568898095938
ad_memory_r2,synthetic,R,gpt_6_sol,9,9,0.03332212623274162,0.028549923076923087,-0.002018378698224879
ad_memory_r2,synthetic,R,gpt_6_sol_tools,9,9,0.0333401262327416,0.028552673076923083,-0.0020063786982248916
ad_memory_r2,synthetic,S,deepseek_flash,3,3,0.04704775313392499,0.03933713357301116,0.04410883400177509
ad_memory_r2,synthetic,S,gpt_6_sol,9,9,0.05331117685733064,0.040069455402147694,0.05331117685733064
ad_memory_r2,synthetic,S,gpt_6_sol_tools,9,9,0.049722287968441754,0.040683990795529236,0.049722287968441754
ad_memoryless_r1,synthetic,B,deepseek_flash,3,3,0.008595312697621099,0.0025723967226226963,-0.008595312697621099
ad_memoryless_r1,synthetic,B,gpt_6_sol,9,9,0.01195698183095443,0.003227564649870677,-0.01195698183095443
ad_memoryless_r1,synthetic,B,gpt_6_sol_tools,9,9,0.010890315164287765,0.0030085314587338075,-0.010890315164287765
ad_memoryless_r1,synthetic,H,deepseek_flash,3,3,0.01415410505476259,0.0038498982119080697,-0.0087276484976211
ad_memoryless_r1,synthetic,H,gpt_6_sol,9,9,0.010636911794446043,0.002857630023017318,-0.008501426275398877
ad_memoryless_r1,synthetic,H,gpt_6_sol_tools,9,9,0.008741286202382093,0.0023716041828048665,-0.005936981830954434
ad_memoryless_r1,synthetic,R,deepseek_flash,3,3,0.01473055098809592,0.0042099111003959504,0.0025358696357122338
ad_memoryless_r1,synthetic,R,gpt_6_sol,9,9,0.014730105054762589,0.004209902800395951,0.0025363515023789016
ad_memoryless_r1,synthetic,R,gpt_6_sol_tools,9,9,0.01473099394365148,0.0042101805781737285,0.002535462613490012
ad_memoryless_r1,synthetic,S,deepseek_flash,3,3,0.004299598497621099,0.0012781210043666376,-0.004299598497621099
ad_memoryless_r1,synthetic,S,gpt_6_sol,9,9,0.0044458707198433214,0.0012803135387595658,-0.0044458707198433214
ad_memoryless_r1,synthetic,S,gpt_6_sol_tools,9,9,0.004625870719843321,0.0013226724276484544,-0.004625870719843321
ad_memoryless_r2,synthetic,B,deepseek_flash,3,3,0.03518519126122504,0.00987829010018764,0.026938240450341776
ad_memoryless_r2,synthetic,B,gpt_6_sol,9,9,0.021459857927891707,0.00612669284054863,0.01704624045034178
ad_memoryless_r2,synthetic,B,gpt_6_sol_tools,9,9,0.028293191261225037,0.007597248114640574,0.023212907117008446
ad_memoryless_r2,synthetic,H,deepseek_flash,3,3,0.016577426216324888,0.005559497743539739,-0.016577426216324888
ad_memoryless_r2,synthetic,H,gpt_6_sol,9,9,0.011829030960997182,0.003955041585209757,-0.004909315105213779
ad_memoryless_r2,synthetic,H,gpt_6_sol_tools,9,9,0.015329030960997185,0.004602858657775991,-0.004742648438547109
ad_memoryless_r2,synthetic,R,deepseek_flash,3,3,0.021893523875394557,0.0070963186775356915,-0.010727204048869251
ad_memoryless_r2,synthetic,R,gpt_6_sol,9,9,0.02189609762766385,0.007097030036188177,-0.010729715105213776
ad_memoryless_r2,synthetic,R,gpt_6_sol_tools,9,9,0.021895509149886073,0.0070968829167437335,-0.010729126627436001
ad_memoryless_r2,synthetic,S,deepseek_flash,3,3,0.0006978112612250389,0.0005499972166934734,4.8193783675112845e-05
ad_memoryless_r2,synthetic,S,gpt_6_sol,9,9,0.000854018228119556,0.0005796618750837693,0.000854018228119556
ad_memoryless_r2,synthetic,S,gpt_6_sol_tools,9,9,0.001359668498413975,0.0006928916164053077,0.0009106848947862223
copenhagen_bluetooth,real,B,deepseek_flash,3,3,0.351707644913869,0.22411415608365817,0.351707644913869
copenhagen_bluetooth,real,B,gpt_6_sol,9,9,0.17504128421140872,0.1666515256297414,0.13418542269164677
copenhagen_bluetooth,real,B,gpt_6_sol_tools,9,9,0.1921358816379563,0.14914862316107128,0.136407644913869
copenhagen_bluetooth,real,H,deepseek_flash,3,3,0.14954097824720233,0.06337251666037974,0.14954097824720233
copenhagen_bluetooth,real,H,gpt_6_sol,9,9,0.0341689090070833,0.017739692918116157,0.029074311580535663
copenhagen_bluetooth,real,H,gpt_6_sol_tools,9,9,0.04862986713609122,0.020925601100912312,0.04862986713609122
copenhagen_bluetooth,real,R,deepseek_flash,3,3,0.012104835806488098,0.007234544622469501,-0.006587294752797661
copenhagen_bluetooth,real,R,gpt_6_sol,9,9,0.012102562806488101,0.007776514344691722,-0.006585466197242108
copenhagen_bluetooth,real,R,gpt_6_sol_tools,9,9,0.012103007250932545,0.007232819900247279,-0.006586799530575443
copenhagen_bluetooth,real,S,deepseek_flash,3,3,0.013762399419464352,0.0067484981684794,-0.013762399419464352
copenhagen_bluetooth,real,S,gpt_6_sol,9,9,0.014041243975019898,0.006590577140701621,-0.014041243975019898
copenhagen_bluetooth,real,S,gpt_6_sol_tools,9,9,0.013759021752797676,0.0067566882518127315,-0.013759021752797676
copenhagen_bluetooth__pwt,surrogate,B,deepseek_flash,3,3,0.2826767083783897,0.27411180504212246,-0.22205119180183577
copenhagen_bluetooth__pwt,surrogate,B,gpt_6_sol,9,9,0.15974609162161033,0.18158721376978637,0.06546049708705312
