group,arm,method,sources,sources_with_valid,planned_answers,completed_answers,valid_answers,validity_of_completed,MAE_2,ProfileMAE,signed_rho_2,draw_clustered_MCSE_2,skill_vs_plugin
real,R,plugin,8,8,24,24,24,1.0,0.020885430841228105,0.012999595904839855,-0.004384554853122316,0.004934806034283738,0.0
real,R,median,8,8,24,24,24,1.0,0.2396987696760392,0.11015221734076833,0.058989581639939184,4.9065389333867974e-18,-10.476841033265677
real,R,mle,8,8,24,24,24,1.0,0.023429537865710455,0.013931049236294367,0.007445585458432653,0.006318214975550785,-0.12181252298900391
real,R,et,8,8,24,24,24,1.0,0.02266724031459482,0.014060118089072813,-0.0036162683274276516,0.0047271037631749675,-0.08531351289384959
real,R,qwen_thinking,8,8,72,72,72,1.0,0.020995116828222166,0.013134153591894902,-0.00448295048477616,0.004858406751387513,-0.0052517943167127434
real,R,qwen_nonthinking,8,8,72,72,72,1.0,0.42501195887164833,0.3426873178914231,0.4247600422783772,0.011272377002651482,-19.3496859654276
real,R,deepseek_flash,8,8,24,24,24,1.0,0.02088541925489047,0.012999597906258929,-0.004384537178638168,0.0049348083394941305,5.547569367214678e-07
real,R,gpt_6_sol,8,8,72,72,72,1.0,0.020883547398402147,0.013061142210363797,-0.004386415499400593,0.004934456857899779,9.017974492719905e-05
real,R,gpt_6_sol_tools,8,8,72,72,72,1.0,0.02179838497895771,0.013228599552030464,-0.0034719145855117007,0.0051172892841078055,-0.043712487650837684
real,S,plugin,8,8,24,24,24,1.0,0.2816368933531184,0.21101959583506846,0.2816368933531184,0.004030929351707793,0.0
real,S,median,8,8,24,24,24,1.0,0.2396987696760392,0.11015221734076834,0.05898958163993918,4.9065389333867974e-18,0.1489084870159283
real,S,design,8,8,24,24,24,1.0,0.0425615581673566,0.01825586566749026,0.019030467434807435,0.009895852646041514,0.84887790210783
real,S,mle,8,8,24,24,24,1.0,0.03588835514108587,0.020410733467564984,0.028334524660438513,0.0073357188633770614,0.8725722517607493
real,S,et,8,8,24,24,24,1.0,0.04208952006048046,0.01917711645757489,0.02390867897322207,0.007536090773147334,0.8505539542090166
real,S,qwen_thinking,8,8,72,72,72,1.0,0.1512779477297817,0.11694869283203102,0.13107237528829718,0.017150941760451684,0.46286175106999106
real,S,qwen_nonthinking,8,8,72,72,72,1.0,0.5562527367228216,0.472037805697972,0.5562527367228216,0.020328204612748705,-0.9750705601818572
real,S,deepseek_flash,8,8,24,24,24,1.0,0.042622231931475574,0.023463781966815103,0.012853109590877194,0.010679531193470234,0.8486624695222884
real,S,gpt_6_sol,8,8,72,72,72,1.0,0.04546069110524725,0.019807076621634542,0.021831417278377195,0.009913890220319181,0.8385840343429427
real,S,gpt_6_sol_tools,8,8,72,72,72,1.0,0.04279023027615436,0.018366085041422765,0.019387383389488297,0.009874925868276005,0.8480659626418203
real,H,plugin,8,8,24,24,24,1.0,0.06660501268737784,0.05727753505680255,-0.061940567756183645,0.0021929850189156557,0.0
real,H,median,8,8,24,24,24,1.0,0.23969876967603918,0.11015221734076835,0.05898958163993918,4.9065389333867974e-18,-2.59880975927603
real,H,mle,8,8,24,24,24,1.0,0.0516486502207365,0.028909157465077343,0.051112570951107314,0.0047392878699051635,0.2245531058877147
real,H,et,8,8,24,24,24,1.0,0.027618964119097558,0.023938019870949102,0.009664353030372008,0.002350185668663117,0.5853320492748504
real,H,qwen_thinking,8,8,72,72,72,1.0,0.14903753482442428,0.08329509753380576,0.043083633754154735,0.016789543840186955,-1.237632406497057
real,H,qwen_nonthinking,8,8,72,72,72,1.0,0.21508099110958673,0.1275582751331642,0.08786523672282162,0.020719348208540406,-2.229201263260869
real,H,deepseek_flash,8,8,24,24,24,1.0,0.0962851134035847,0.04471250530162063,0.06160357768963273,0.0176728580402006,-0.44561361853522263
real,H,gpt_6_sol,8,8,72,72,72,1.0,0.04213034484414743,0.02290462689023826,0.032815931167266076,0.005944139941139223,0.36745984807639775
real,H,gpt_6_sol_tools,8,8,72,72,72,1.0,0.055308554389559075,0.02896557189560718,0.042175339500599415,0.006479128301918928,0.1696037256360966
real,B,plugin,8,8,24,24,24,1.0,0.1525193936090973,0.07860722476889923,-0.1525193936090973,0.0025863949181692616,0.0
real,B,median,8,8,24,24,24,1.0,0.2396987696760392,0.11015221734076834,0.05898958163993918,4.9065389333867974e-18,-0.5715953493126262
real,B,mle,8,8,24,24,24,1.0,0.05507571665630762,0.03473682505691163,-0.026627906406179548,0.00476807987405602,0.6388936819571611
real,B,et,8,8,24,24,24,1.0,0.05493902057483664,0.032216862590329645,0.004493189929770925,0.004512246252450823,0.639789935726838
real,B,qwen_thinking,8,8,72,72,72,1.0,0.20615708113260733,0.11860355036775184,0.010934101900410415,0.02238273199969429,-0.3516778178451314
