JobID|State|ExitCode|Elapsed|Start|End
7066389|COMPLETED|0:0|00:03:43|2026-09-20T12:43:02|2026-09-20T12:46:45
7066389.batch|COMPLETED|0:0|00:03:43|2026-09-20T12:43:02|2026-09-20T12:46:45
7066389.extern|COMPLETED|0:0|00:03:43|2026-09-20T12:43:02|2026-09-20T12:46:45
7066386_0|COMPLETED|0:0|00:09:20|2026-09-20T11:25:48|2026-09-20T11:35:08
7066386_0.batch|COMPLETED|0:0|00:09:20|2026-09-20T11:25:48|2026-09-20T11:35:08
7066386_0.extern|COMPLETED|0:0|00:09:20|2026-09-20T11:25:48|2026-09-20T11:35:08
7066386_0.0|COMPLETED|0:0|00:08:56|2026-09-20T11:26:12|2026-09-20T11:35:08
7066386_1|COMPLETED|0:0|00:09:20|2026-09-20T11:25:48|2026-09-20T11:35:08
7066386_1.batch|COMPLETED|0:0|00:09:20|2026-09-20T11:25:48|2026-09-20T11:35:08
7066386_1.extern|COMPLETED|0:0|00:09:20|2026-09-20T11:25:48|2026-09-20T11:35:08
7066386_1.0|COMPLETED|0:0|00:08:56|2026-09-20T11:26:12|2026-09-20T11:35:08
7066386_2|COMPLETED|0:0|00:03:31|2026-09-20T11:35:32|2026-09-20T11:39:03
7066386_2.batch|COMPLETED|0:0|00:03:31|2026-09-20T11:35:32|2026-09-20T11:39:03
7066386_2.extern|COMPLETED|0:0|00:03:31|2026-09-20T11:35:32|2026-09-20T11:39:03
7066386_2.0|COMPLETED|0:0|00:03:07|2026-09-20T11:35:56|2026-09-20T11:39:03
7066386_3|COMPLETED|0:0|01:00:26|2026-09-20T11:35:32|2026-09-20T12:35:58
7066386_3.batch|COMPLETED|0:0|01:00:26|2026-09-20T11:35:32|2026-09-20T12:35:58
7066386_3.extern|COMPLETED|0:0|01:00:26|2026-09-20T11:35:32|2026-09-20T12:35:58
7066386_3.0|COMPLETED|0:0|01:00:02|2026-09-20T11:35:56|2026-09-20T12:35:58
7066386_4|COMPLETED|0:0|00:58:59|2026-09-20T11:39:24|2026-09-20T12:38:23
7066386_4.batch|COMPLETED|0:0|00:58:59|2026-09-20T11:39:24|2026-09-20T12:38:23
7066386_4.extern|COMPLETED|0:0|00:58:59|2026-09-20T11:39:24|2026-09-20T12:38:23
7066386_4.0|COMPLETED|0:0|00:58:37|2026-09-20T11:39:46|2026-09-20T12:38:23
