budget,graph_id,arm,evidence_block,fit_status,fallback_used,objective
0.025,ad_memory_r1,B,ad_memory,weakly_identified,False,30.74655147203537
0.025,ad_memory_r1,B,ad_memory,boundary_homogeneous,False,33.926596365054785
0.025,ad_memory_r1,B,ad_memory,boundary_other,False,35.75865456387247
0.025,ad_memory_r1,H,ad_memory,flatness_unavailable,False,87.42224697555866
0.025,ad_memory_r1,H,ad_memory,flatness_unavailable,False,63.99565710208791
0.025,ad_memory_r1,H,ad_memory,flatness_unavailable,False,86.73929395895652
0.025,ad_memory_r1,R,ad_memory,flatness_unavailable,False,90.50315863610436
0.025,ad_memory_r1,R,ad_memory,flatness_unavailable,False,81.62626380854027
0.025,ad_memory_r1,R,ad_memory,flatness_unavailable,False,87.74604613604555
0.025,ad_memory_r1,S1,ad_memory,flatness_unavailable,False,81.5400514700694
0.025,ad_memory_r1,S1,ad_memory,flatness_unavailable,False,82.5096482975694
0.025,ad_memory_r1,S1,ad_memory,flatness_unavailable,False,84.40845098188547
0.025,ad_memory_r2,B,ad_memory,boundary_other,False,22.11697196157904
0.025,ad_memory_r2,B,ad_memory,weakly_identified,False,39.64637456270265
0.025,ad_memory_r2,B,ad_memory,weakly_identified,False,23.168817009544565
0.025,ad_memory_r2,H,ad_memory,flatness_unavailable,False,72.46294084129882
0.025,ad_memory_r2,H,ad_memory,flatness_unavailable,False,99.2165127447876
0.025,ad_memory_r2,H,ad_memory,flatness_unavailable,False,80.94430658036057
0.025,ad_memory_r2,R,ad_memory,flatness_unavailable,False,76.6671809606766
0.025,ad_memory_r2,R,ad_memory,flatness_unavailable,False,78.66490020172071
0.025,ad_memory_r2,R,ad_memory,flatness_unavailable,False,85.08418379918447
0.025,ad_memory_r2,S1,ad_memory,flatness_unavailable,False,73.40971126391398
0.025,ad_memory_r2,S1,ad_memory,flatness_unavailable,False,79.03139168140677
0.025,ad_memory_r2,S1,ad_memory,flatness_unavailable,False,77.57808012024142
0.025,ad_memoryless_r1,B,ad_memoryless,boundary_homogeneous,False,0.0001009641308022369
0.025,ad_memoryless_r1,B,ad_memoryless,boundary_other,False,9.960962244062414e-05
0.025,ad_memoryless_r1,B,ad_memoryless,boundary_other,False,0.0001036423197248369
0.025,ad_memoryless_r1,H,ad_memoryless,flatness_unavailable,False,11.547005859349447
0.025,ad_memoryless_r1,H,ad_memoryless,flatness_unavailable,False,27.92970399067985
0.025,ad_memoryless_r1,H,ad_memoryless,flatness_unavailable,False,21.04128816939654
0.025,ad_memoryless_r1,R,ad_memoryless,boundary_homogeneous,False,49.27198702061293
0.025,ad_memoryless_r1,R,ad_memoryless,flatness_unavailable,False,73.54992798357283
0.025,ad_memoryless_r1,R,ad_memoryless,boundary_other,False,50.80928163944964
0.025,ad_memoryless_r1,S1,ad_memoryless,flatness_unavailable,False,70.85379254758656
0.025,ad_memoryless_r1,S1,ad_memoryless,boundary_other,False,89.0279285097359
0.025,ad_memoryless_r1,S1,ad_memoryless,boundary_homogeneous,False,75.46230862085417
0.025,ad_memoryless_r2,B,ad_memoryless,boundary_homogeneous,False,0.00010091934988463826
0.025,ad_memoryless_r2,B,ad_memoryless,boundary_homogeneous,False,9.692613819855545e-05
0.025,ad_memoryless_r2,B,ad_memoryless,boundary_homogeneous,False,9.365896500085134e-05
0.025,ad_memoryless_r2,H,ad_memoryless,flatness_unavailable,False,24.103096216990597
0.025,ad_memoryless_r2,H,ad_memoryless,boundary_homogeneous,False,32.07978029672287
0.025,ad_memoryless_r2,H,ad_memoryless,boundary_homogeneous,False,80.89824532218142
0.025,ad_memoryless_r2,R,ad_memoryless,boundary_other,False,134.2692388526003
0.025,ad_memoryless_r2,R,ad_memoryless,boundary_homogeneous,False,35.17581448035737
0.025,ad_memoryless_r2,R,ad_memoryless,boundary_homogeneous,False,27.611030131061156
0.025,ad_memoryless_r2,S1,ad_memoryless,boundary_other,False,104.97464770174531
0.025,ad_memoryless_r2,S1,ad_memoryless,boundary_other,False,119.71412451811145
0.025,ad_memoryless_r2,S1,ad_memoryless,boundary_other,False,102.10993887893426
0.025,copenhagen_bluetooth,B,real,boundary_other,True,nan
0.025,copenhagen_bluetooth,B,real,boundary_other,True,nan
0.025,copenhagen_bluetooth,B,real,boundary_other,False,2400.912096112884
0.025,copenhagen_bluetooth,H,real,boundary_other,False,2239.9472767824673
0.025,copenhagen_bluetooth,H,real,boundary_other,False,1810.1355975923357
0.025,copenhagen_bluetooth,H,real,flatness_unavailable,False,2055.605122490406
0.025,copenhagen_bluetooth,R,real,boundary_other,False,2207.221145204577
0.025,copenhagen_bluetooth,R,real,boundary_other,False,2413.4707042162845
0.025,copenhagen_bluetooth,R,real,boundary_other,False,2915.620345175951
0.025,copenhagen_bluetooth,S1,real,flatness_unavailable,False,2413.42450590796
0.025,copenhagen_bluetooth,S1,real,flatness_unavailable,False,2439.637654018075
0.025,copenhagen_bluetooth,S1,real,flatness_unavailable,False,2477.6037282188468
0.025,copenhagen_bluetooth__pwt,B,surrogate,boundary_other,False,5136.317138476435
0.025,copenhagen_bluetooth__pwt,B,surrogate,boundary_other,False,5224.891461769013
0.025,copenhagen_bluetooth__pwt,B,surrogate,boundary_other,False,5045.112428673028
