stratum,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,R,plugin,8,24,0.020885430841228105,0.00888307901103767,0.012999595904839855,-0.004384554853122316,,,,,
real,R,shared_mle,8,24,0.023429496698868648,0.009920118017528094,0.013931038447911447,0.0074456195221299344,1,0.041666666666666664,,,
real,R,extratrees,8,24,0.030282264018821684,0.008924477934820168,0.019179169102198912,0.007876570005218079,,,0.9166666666666666,,
real,R,qwen_thinking,8,72,0.015185324386758629,0.002994947422459271,0.01156563570823244,-0.01156944320711664,,,,72,1.0
real,R,qwen_nonthinking,8,72,0.4442456533160927,0.049169805977462226,0.3251173918723414,0.4439902367228217,,,,72,1.0
real,S1,plugin,8,24,0.060717355683300965,0.018582336764234594,0.028596028076869423,0.05368536039287154,,,,,
real,S1,shared_mle,8,24,0.06707079748640332,0.019245949765469318,0.029463516777277245,0.06003999288816883,0,0.0,,,
real,S1,extratrees,8,24,0.07089799073144357,0.03293239190346294,0.038319429998548156,0.06358428788642805,,,1.0,,
real,S1,qwen_thinking,8,72,0.05951549536068127,0.024897680684431756,0.029640920855807794,0.056232678666803114,,,,72,1.0
real,S1,qwen_nonthinking,8,72,0.46129482003168976,0.04216136820010255,0.35457280128833213,0.461209681167266,,,,72,1.0
real,H,plugin,8,24,0.06660501268737784,0.016809484507913842,0.05727753505680255,-0.061940567756183645,,,,,
real,H,shared_mle,8,24,0.07495717554517753,0.024228332344971553,0.037837406913245775,0.07442110242220296,5,0.20833333333333334,,,
real,H,extratrees,8,24,0.04105505843947925,0.009220368124677608,0.030835062929045667,0.018829897513337027,,,1.0,,
real,H,qwen_thinking,8,72,0.16456675284990552,0.01844696172758388,0.09360770959148698,0.06938959944993255,,,,72,1.0
real,H,qwen_nonthinking,8,72,0.2416531121153421,0.02450540146760364,0.1441727453517306,0.09346245894504385,,,,72,1.0
real,B,plugin,8,24,0.1525193936090973,0.03578877655618219,0.07860722476889923,-0.1525193936090973,,,,,
real,B,shared_mle,8,24,0.057957232100677214,0.017342288185998908,0.03535031470064474,-0.023746367079386328,4,0.16666666666666666,,,
real,B,extratrees,8,24,0.05536584152694711,0.008914507038199576,0.041130348547729484,0.01924869212531088,,,1.0,,
real,B,qwen_thinking,8,72,0.19346760999744445,0.032922184503676,0.10285983897266054,-0.0378137299644624,,,,72,1.0
real,B,qwen_nonthinking,8,72,0.4933866569064842,0.06137933261155739,0.43047943708263814,0.43664718116726603,,,,72,1.0
surrogate,R,plugin,8,24,0.013507820089404191,0.0034454580798731677,0.016289641534703754,0.0029132417242424703,,,,,
surrogate,R,shared_mle,8,24,0.03372815995302711,0.007769159228623094,0.02904011289518795,0.028569357194625163,0,0.0,,,
surrogate,R,extratrees,8,24,0.026726735211505925,0.006956984772148525,0.03161677384803122,-0.019204514240930667,,,0.8333333333333334,,
surrogate,R,qwen_thinking,8,72,0.015743596578694473,0.004458506778707416,0.012908582003229101,-0.002013394763908286,,,,72,1.0
surrogate,R,qwen_nonthinking,8,72,0.2904608484887463,0.049059180826080406,0.253764046909659,0.27105623165925097,,,,72,1.0
surrogate,S1,plugin,8,24,0.07439900653859916,0.04026600325752983,0.06396458729951654,0.07439134751742603,,,,,
