stratum,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2
real,R,mechanism_aware_reference,8,24,0.020885430841228105,0.00888307901103767,0.012999595904839855,-0.004384554853122316
real,S1,mechanism_aware_reference,8,24,0.060717355683300965,0.018582336764234594,0.028596028076869423,0.05368536039287154
real,H,mechanism_aware_reference,8,24,0.1343473287262946,0.030079610879236742,0.05569842924190095,0.1343039234095747
real,B,mechanism_aware_reference,8,24,0.06617876228286457,0.02405367529339794,0.045175933758626524,0.043238451342922105
surrogate,R,mechanism_aware_reference,8,24,0.013507820089404191,0.0034454580798731677,0.016289641534703754,0.0029132417242424703
surrogate,S1,mechanism_aware_reference,8,24,0.07439900653859916,0.04026600325752983,0.06396458729951654,0.07439134751742603
surrogate,H,mechanism_aware_reference,8,24,0.12569334113791558,0.0362852909995259,0.10511747944497983,0.12059195298777249
surrogate,B,mechanism_aware_reference,8,24,0.12114466495465209,0.0455026357919512,0.12934739281051935,0.12040299502337037
synthetic,R,mechanism_aware_reference,8,24,0.023485619512021903,0.0041865568490185925,0.016790690974994436,-0.003212663088382209
synthetic,S1,mechanism_aware_reference,8,24,0.03319398812321607,0.007787569977264644,0.02242811326708021,0.02439603305840782
synthetic,H,mechanism_aware_reference,8,24,0.0971536098048973,0.028877835628831148,0.07681859461942558,0.08485062585405537
synthetic,B,mechanism_aware_reference,8,24,0.11972275864536625,0.024436543288865003,0.09820206642142265,0.0905991138240782
