arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
R,plugin,8,24,0.013507820089404191,0.0034454580798731677,0.016289641534703754,0.0029132417242424703,,,,,
R,shared_mle,8,24,0.03372815995302711,0.007769159228623094,0.02904011289518795,0.028569357194625163,0,0.0,,,
R,extratrees,8,24,0.026726735211505925,0.006956984772148525,0.03161677384803122,-0.019204514240930667,,,0.8333333333333334,,
R,qwen_thinking,8,72,0.015743596578694473,0.004458506778707416,0.012908582003229101,-0.002013394763908286,,,,72,1.0
R,qwen_nonthinking,8,72,0.2904608484887463,0.049059180826080406,0.253764046909659,0.27105623165925097,,,,72,1.0
S1,plugin,8,24,0.07439900653859916,0.04026600325752983,0.06396458729951654,0.07439134751742603,,,,,
S1,shared_mle,8,24,0.1060484439871288,0.04393696514427505,0.08230899938293165,0.1060484439871288,2,0.08333333333333333,,,
S1,extratrees,8,24,0.04597432635260689,0.028431095677428728,0.04270650760034772,0.03303258093771733,,,1.0,,
S1,qwen_thinking,8,72,0.05779835322589868,0.02207150032222948,0.046199681191602934,0.04866488463089247,,,,72,1.0
S1,qwen_nonthinking,8,72,0.292068608486834,0.03516120504585277,0.25970597911003646,0.2474631761036954,,,,72,1.0
H,plugin,8,24,0.10117006756013969,0.03180970274495716,0.17362677808289068,-0.09959854779398937,,,,,
H,shared_mle,8,24,0.06606234630286698,0.016567179021991115,0.060785290757313495,0.030981485145375708,1,0.041666666666666664,,,
H,extratrees,8,24,0.06980110614433338,0.0203632595584655,0.07858499604501565,-0.06432070191609765,,,1.0,,
H,qwen_thinking,8,72,0.15543136608777325,0.02503120495473346,0.16912033994345443,0.024841109531091254,,,,72,1.0
H,qwen_nonthinking,8,72,0.322889755745157,0.08017234796093237,0.25063344503137464,-0.2608430276004713,,,,72,1.0
B,plugin,8,24,0.30584365983024664,0.0503277189450788,0.2404339996467894,-0.30584365983024664,,,,,
B,shared_mle,8,24,0.15936150331627744,0.04416658415558806,0.14736800843061992,-0.0549708002779012,6,0.25,,,
B,extratrees,8,24,0.10671385067312655,0.023341979311929023,0.11531923899887953,-0.04001669162137234,,,1.0,,
B,qwen_thinking,8,72,0.3061923330298828,0.026121093471318815,0.2577064235409433,-0.1680426748439183,,,,72,1.0
B,qwen_nonthinking,8,72,0.3032003333396961,0.054557209036094456,0.3120933358598742,0.26015900943702874,,,,72,1.0
