budget,graph_id,evidence_block,arm,T,active_dyad_windows,expected_cells,expected_coverage,matched,reasons,h_saturated,draws
0.025,sp_hospital,real,R,47.525000000000006,1901,45.21297297297297,0.023783783783783784,True,,,3
0.025,sp_hospital,real,S,47.525000000000006,1901,46.876953125,0.02465910211730668,True,,,3
0.025,sp_hospital,real,H,47.525000000000006,1901,45.8972972972973,0.024143765016989636,True,,False,3
0.025,sp_hospital,real,B,47.525000000000006,1901,47.5250000000601,0.025000000000031615,True,,,3
0.025,sp_highschool2013,real,R,281.1,11244,279.7235323915124,0.02487758203410818,True,,,3
0.025,sp_highschool2013,real,S,281.1,11244,279.6298828125,0.02486925318503202,True,,,3
0.025,sp_highschool2013,real,H,281.1,11244,281.60274666516574,0.02504471243909336,True,,False,3
0.025,sp_highschool2013,real,B,281.1,11244,281.09999999935013,0.024999999999942204,True,,,3
0.025,copenhagen_bluetooth,real,R,3611.9,144476,3622.6864810151997,0.025074659327605966,True,,,3
0.025,copenhagen_bluetooth,real,S,3611.9,144476,3614.0751953125,0.025015055755367673,True,,,3
0.025,copenhagen_bluetooth,real,H,3611.9,144476,3614.697472875869,0.025019362889863155,True,,False,3
0.025,copenhagen_bluetooth,real,B,3611.9,144476,3611.9000000077613,0.02500000000005372,True,,,3
0.025,sp_workplace,real,R,155.5,6220,157.9151732377539,0.025388291517323778,True,,,3
0.025,sp_workplace,real,S,155.5,6220,153.931640625,0.02474785219051447,True,,,3
0.025,sp_workplace,real,H,155.5,6220,157.29134664618536,0.025287997853084464,True,,False,3
0.025,sp_workplace,real,B,155.5,6220,155.5000000000373,0.025000000000005997,True,,,3
0.025,snap_email_eu,real,R,803.4250000000001,32137,800.1077624818525,0.024896778245693515,True,,,3
0.025,snap_email_eu,real,S,803.4250000000001,32137,800.4423828125,0.024907190553334162,True,,,3
0.025,snap_email_eu,real,H,803.4250000000001,32137,801.4926658498163,0.024939871980888578,True,,False,3
0.025,snap_email_eu,real,B,803.4250000000001,32137,803.4249999988562,0.02499999999996441,True,,,3
0.025,snap_collegemsg,real,R,387.35,15494,388.1772947993814,0.025053394526873718,True,,,3
0.025,snap_collegemsg,real,S,387.35,15494,389.7255859375,0.025153322959694076,True,,,3
0.025,snap_collegemsg,real,H,387.35,15494,387.6252927751337,0.02501776770202231,True,,False,3
0.025,snap_collegemsg,real,B,387.35,15494,387.34999999975383,0.02499999999998411,True,,,3
0.025,snap_mathoverflow,real,R,5216.925,208677,5216.4916174831915,0.024997923189825383,True,,,3
0.025,snap_mathoverflow,real,S,5216.925,208677,5238.3955078125,0.02510288871228022,True,,,3
0.025,snap_mathoverflow,real,H,5216.925,208677,5217.8467003218075,0.025004416875466905,True,,False,3
0.025,snap_mathoverflow,real,B,5216.925,208677,5216.924999983221,0.024999999999919593,True,,,3
0.025,nr_digg_reply,real,R,2135.7000000000003,85428,2135.9149372847482,0.025002516005112472,True,,,3
0.025,nr_digg_reply,real,S,2135.7000000000003,85428,2129.369140625,0.024925892454757223,True,,,3
0.025,nr_digg_reply,real,H,2135.7000000000003,85428,2135.6751443562002,0.024999709045701646,True,,False,3
0.025,nr_digg_reply,real,B,2135.7000000000003,85428,2135.7000000010544,0.025000000000012342,True,,,3
0.025,sp_hospital__pwt,surrogate,R,99.60000000000001,3984,94.7545945945946,0.023783783783783784,True,,,3
0.025,sp_hospital__pwt,surrogate,S,99.60000000000001,3984,100.1494140625,0.02513790513616968,True,,,3
0.025,sp_hospital__pwt,surrogate,H,99.60000000000001,3984,94.97297297297297,0.023838597633778356,True,,False,3
0.025,sp_hospital__pwt,surrogate,B,99.60000000000001,3984,99.59999999992567,0.024999999999981343,True,,,3
0.025,sp_highschool2013__pwt,surrogate,R,419.25,16770,417.19705071199417,0.02487758203410818,True,,,3
0.025,sp_highschool2013__pwt,surrogate,S,419.25,16770,418.396484375,0.02494910461389386,True,,,3
0.025,sp_highschool2013__pwt,surrogate,H,419.25,16770,416.26582990938255,0.0248220530655565,True,,False,3
0.025,sp_highschool2013__pwt,surrogate,B,419.25,16770,419.2500000005549,0.02500000000003309,True,,,3
0.025,copenhagen_bluetooth__pwt,surrogate,R,6189.8,247592,6208.285052240616,0.025074659327605966,True,,,3
0.025,copenhagen_bluetooth__pwt,surrogate,S,6189.8,247592,6193.015625,0.025012987596529774,True,,,3
0.025,copenhagen_bluetooth__pwt,surrogate,H,6189.8,247592,6215.822047296789,0.025105100517370468,True,,False,3
0.025,copenhagen_bluetooth__pwt,surrogate,B,6189.8,247592,6189.800000005312,0.025000000000021453,True,,,3
0.025,sp_workplace__pwt,surrogate,R,256.625,10265,260.61081242532856,0.025388291517323774,True,,,3
0.025,sp_workplace__pwt,surrogate,S,256.625,10265,258.1669921875,0.025150218430345834,True,,,3
0.025,sp_workplace__pwt,surrogate,H,256.625,10265,254.9731182795699,0.024839076305851915,True,,False,3
0.025,sp_workplace__pwt,surrogate,B,256.625,10265,256.62500000026125,0.02500000000002545,True,,,3
0.025,snap_email_eu__pwt,surrogate,R,1034.575,41383,1030.3033741415347,0.024896778245693515,True,,,3
0.025,snap_email_eu__pwt,surrogate,S,1034.575,41383,1032.3505859375,0.02494624811969891,True,,,3
0.025,snap_email_eu__pwt,surrogate,H,1034.575,41383,1031.9981054560806,0.0249377306008767,True,,False,3
0.025,snap_email_eu__pwt,surrogate,B,1034.575,41383,1034.574999999741,0.024999999999993743,True,,,3
0.025,snap_collegemsg__pwt,surrogate,R,631.6500000000001,25266,632.9990661159914,0.025053394526873718,True,,,3
0.025,snap_collegemsg__pwt,surrogate,S,631.6500000000001,25266,636.416015625,0.025188633563880312,True,,,3
0.025,snap_collegemsg__pwt,surrogate,H,631.6500000000001,25266,632.0182936945905,0.02501457665220417,True,,False,3
0.025,snap_collegemsg__pwt,surrogate,B,631.6500000000001,25266,631.6499999979268,0.024999999999917945,True,,,3
0.025,snap_mathoverflow__pwt,surrogate,R,7370.5,294820,7369.887714824319,0.024997923189825383,True,,,3
0.025,snap_mathoverflow__pwt,surrogate,S,7370.5,294820,7399.3935546875,0.025098004052260703,True,,,3
0.025,snap_mathoverflow__pwt,surrogate,H,7370.5,294820,7371.139802560566,0.02500217014639633,True,,False,3
0.025,snap_mathoverflow__pwt,surrogate,B,7370.5,294820,7370.4999999969305,0.02499999999998959,True,,,3
