budget,graph_id,arm,stratum,source_family,fold,AE2,ProfileAE,signed_rho2,prediction,in_unit_interval,monotone
0.025,ad_memory_r1,B,synthetic,ad_memory_r1,synthetic,0.068421591443526,0.04083334674351856,-0.068421591443526,"[0.7279280723412963, 0.4826996325885613, 0.27982611789140416, 0.13073245475210832]",True,True
0.025,ad_memory_r1,B,synthetic,ad_memory_r1,synthetic,0.04708688581417986,0.039750115544809436,-0.04708688581417986,"[0.7492627779706424, 0.5299517050998741, 0.3391717075752643, 0.18117580251598844]",True,True
0.025,ad_memory_r1,B,synthetic,ad_memory_r1,synthetic,0.03787019926757973,0.04256050837333859,-0.03787019926757973,"[0.7584794645172426, 0.5362370891755753, 0.3455004319581355, 0.20159072006953527]",True,True
0.025,ad_memory_r2,B,synthetic,ad_memory_r2,synthetic,0.0927124721708582,0.06612579411457213,-0.0927124721708582,"[0.6898319065273667, 0.4330580924650024, 0.2398123962897083, 0.1129057689790246]",True,True
0.025,ad_memory_r2,B,synthetic,ad_memory_r2,synthetic,0.0215938792555761,0.05115667863945583,-0.0215938792555761,"[0.7609504994426488, 0.5475130111127741, 0.36920618920276405, 0.21799016358631468]",True,True
0.025,ad_memory_r2,B,synthetic,ad_memory_r2,synthetic,0.06220935135961203,0.042605580934503506,-0.06220935135961203,"[0.7203350273386129, 0.4855954279788001, 0.2976422511128355, 0.1551405082187256]",True,True
0.025,ad_memoryless_r1,B,synthetic,ad_memoryless_r1,synthetic,0.007588858424306288,0.0025951719627610947,0.007588858424306288,"[0.062479173588594054, 0.0044604307832364215, 0.0003962536384242695, 4.262656461375376e-05]",True,True
0.025,ad_memoryless_r1,B,synthetic,ad_memoryless_r1,synthetic,0.006444524813225702,0.002800616247039767,0.006444524813225702,"[0.06133483997751347, 0.0057967319615601755, 0.0009430600074825027, 0.00012562976542703955]",True,True
0.025,ad_memoryless_r1,B,synthetic,ad_memoryless_r1,synthetic,0.0037683072317604704,0.0012777487423993917,0.0037683072317604704,"[0.058658622396048236, 0.003223004943434212, 0.00021115918948742224, 1.6005164451816646e-05]",True,True
0.025,ad_memoryless_r2,B,synthetic,ad_memoryless_r2,synthetic,0.0010867194151041107,0.0006708489680016037,-0.0010867194151041107,"[0.06053370680122078, 0.004338661781767231, 0.0005283130734241427, 7.932110412758037e-05]",True,True
0.025,ad_memoryless_r2,B,synthetic,ad_memoryless_r2,synthetic,0.0008576955294145594,0.000636675225868503,0.0008576955294145594,"[0.06247812174573945, 0.00411332402358821, 0.00042836507366922827, 4.62602628606225e-05]",True,True
0.025,ad_memoryless_r2,B,synthetic,ad_memoryless_r2,synthetic,0.003945514960918349,0.0012802017539403838,0.003945514960918349,"[0.06556594117724324, 0.004934213792487829, 0.0006943819471962279, 8.741983901697455e-05]",True,True
