h,budget,graphs,target_unreachable,outside_tolerance,saturated_panel,unreachable_graphs
0.4,0.025,24,0,0,0,
0.4,0.05,24,0,0,0,
0.4,0.1,24,1,1,1,snap_collegemsg
0.4,0.2,24,2,2,2,snap_collegemsg;snap_collegemsg__pwt
0.4,0.3,24,4,4,4,snap_collegemsg;snap_email_eu;snap_email_eu__pwt;snap_collegemsg__pwt
0.4,0.4,24,12,7,14,sp_highschool2013;snap_collegemsg;snap_email_eu;snap_mathoverflow;dar_a08_r1;ad_memoryless_r1;ad_memoryless_r2;sp_highschool2013__pwt;copenhagen_bluetooth__pwt;snap_email_eu__pwt;snap_collegemsg__pwt;snap_mathoverflow__pwt
0.4,0.5,24,24,23,24,sp_hospital;sp_highschool2013;sp_workplace;snap_collegemsg;snap_email_eu;snap_mathoverflow;nr_digg_reply;copenhagen_bluetooth;dar_a0_r1;dar_a08_r1;dar_a0_r2;dar_a08_r2;ad_memoryless_r1;ad_memory_r1;ad_memoryless_r2;ad_memory_r2;sp_hospital__pwt;sp_highschool2013__pwt;copenhagen_bluetooth__pwt;sp_workplace__pwt;snap_email_eu__pwt;snap_collegemsg__pwt;snap_mathoverflow__pwt;nr_digg_reply__pwt
0.6,0.025,24,0,0,0,
0.6,0.05,24,0,0,0,
0.6,0.1,24,0,0,0,
0.6,0.2,24,1,1,1,snap_collegemsg
0.6,0.3,24,2,2,2,snap_collegemsg;snap_collegemsg__pwt
0.6,0.4,24,2,2,2,snap_collegemsg;snap_collegemsg__pwt
0.6,0.5,24,6,3,6,sp_workplace;snap_collegemsg;snap_email_eu;sp_workplace__pwt;snap_email_eu__pwt;snap_collegemsg__pwt
