budget,h,method,n_evaluable,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
0.025,0.4,shared_mle,72,0,0.0,,,
0.025,0.4,extratrees,72,,,1.0,,
0.025,0.6,shared_mle,72,1,0.013888888888888888,,,
0.025,0.6,extratrees,72,,,1.0,,
0.025,0.6,qwen_thinking,215,,,,216,0.9953703703703703
0.025,0.6,qwen_nonthinking,216,,,,216,1.0
0.05,0.4,shared_mle,72,0,0.0,,,
0.05,0.4,extratrees,72,,,1.0,,
0.05,0.6,shared_mle,72,5,0.06944444444444445,,,
0.05,0.6,extratrees,72,,,1.0,,
0.05,0.6,qwen_thinking,216,,,,216,1.0
0.05,0.6,qwen_nonthinking,216,,,,216,1.0
0.1,0.4,shared_mle,70,0,0.0,,,
0.1,0.4,extratrees,70,,,1.0,,
0.1,0.6,shared_mle,72,6,0.08333333333333333,,,
0.1,0.6,extratrees,72,,,1.0,,
0.1,0.6,qwen_thinking,216,,,,216,1.0
0.1,0.6,qwen_nonthinking,216,,,,216,1.0
0.2,0.4,shared_mle,68,0,0.0,,,
0.2,0.4,extratrees,68,,,1.0,,
0.2,0.6,shared_mle,70,10,0.14285714285714285,,,
0.2,0.6,extratrees,70,,,1.0,,
0.2,0.6,qwen_thinking,210,,,,210,1.0
0.2,0.6,qwen_nonthinking,210,,,,210,1.0
0.3,0.4,shared_mle,64,0,0.0,,,
0.3,0.4,extratrees,64,,,1.0,,
0.3,0.6,shared_mle,68,15,0.22058823529411764,,,
0.3,0.6,extratrees,68,,,1.0,,
0.3,0.6,qwen_thinking,204,,,,204,1.0
0.3,0.6,qwen_nonthinking,204,,,,204,1.0
0.4,0.4,shared_mle,44,0,0.0,,,
0.4,0.4,extratrees,44,,,1.0,,
0.4,0.6,shared_mle,68,11,0.16176470588235295,,,
0.4,0.6,extratrees,68,,,1.0,,
0.4,0.6,qwen_thinking,204,,,,204,1.0
0.4,0.6,qwen_nonthinking,204,,,,204,1.0
0.5,0.4,shared_mle,24,0,0.0,,,
0.5,0.4,extratrees,24,,,1.0,,
0.5,0.6,shared_mle,60,11,0.18333333333333332,,,
0.5,0.6,extratrees,60,,,1.0,,
0.5,0.6,qwen_thinking,180,,,,180,1.0
0.5,0.6,qwen_nonthinking,180,,,,180,1.0
