evidence_block,arm,dyad_coverage_median,window_coverage_median,event_coverage_median,D_obs_median,M_obs_median,D_obs_min
real,R,0.09672035374888611,0.0946767275651334,0.09495738894370534,1431.5,13108.5,102
real,S1,0.09532880673959512,0.10032396376927152,0.10603972543307433,1400.0,13277.5,96
real,S2,0.09532880673959512,0.10032396376927152,0.10603972543307433,1400.0,13277.5,96
real,H,0.10877438462838557,0.09876231512056993,0.09893835845068935,1724.5,12808.5,114
real,B,0.12783627148288895,0.09963268528477484,0.012540728203872151,1910.5,3222.5,161
surrogate,R,0.09672035374888611,0.09581449745201356,0.09495738894370534,1431.5,13108.5,102
surrogate,S1,0.09652762989587532,0.09959616614367503,0.10697037010082863,1376.0,13333.0,102
surrogate,S2,0.09652762989587532,0.09959616614367503,0.10697037010082863,1376.0,13333.0,102
surrogate,H,0.1398900532016824,0.09887892052934145,0.09517479045392571,2175.5,12684.5,133
surrogate,B,0.16354417325541423,0.09993324664519929,0.01763864642896871,2462.0,4415.0,256
dar_a0,R,0.0968405968007025,0.09413549039433772,0.09305897417311197,322.5,929.0,304
dar_a0,S1,0.09953745150701283,0.10111223458038424,0.10236141685011006,331.5,1023.0,326
dar_a0,S2,0.09953745150701283,0.10111223458038424,0.10236141685011006,331.5,1023.0,326
dar_a0,H,0.11981498060280513,0.10082923033888591,0.099779382270357,401.5,995.0,383
dar_a0,B,0.14699990353242617,0.10395930899780723,0.053290548336221946,489.5,532.0,446
dar_a08,R,0.09786956920658856,0.09625331271279475,0.09614405987857452,157.0,955.0,148
dar_a08,S1,0.09789071195203389,0.09747133721373781,0.09740360646329099,154.5,967.5,147
dar_a08,S2,0.09789071195203389,0.09747133721373781,0.09740360646329099,154.5,967.5,147
dar_a08,H,0.1440993788819876,0.10515753562111177,0.10475998792392069,229.5,1041.0,200
dar_a08,B,0.27007064868336544,0.09881584320130665,0.05099171309616178,424.5,506.5,418
ad_memoryless,R,0.0985282776886789,0.09786827568829465,0.09770026497696195,988.0,1061.0,951
ad_memoryless,S1,0.09477460782465988,0.10026360384108454,0.10201208658852007,966.5,1118.5,909
ad_memoryless,S2,0.09477460782465988,0.10026360384108454,0.10201208658852007,966.5,1118.5,909
ad_memoryless,H,0.10351484102041797,0.10106214894500956,0.10158550688814333,1055.0,1118.0,1016
ad_memoryless,B,0.10673043653032746,0.10111762527061133,0.09962826443374448,1080.0,1089.5,1017
ad_memory,R,0.10293428030625992,0.09925508596882379,0.09573010056743886,211.5,1051.5,198
ad_memory,S1,0.09442019223664092,0.10069625761531767,0.10871900456539253,194.0,1214.5,188
ad_memory,S2,0.09442019223664092,0.10069625761531767,0.10871900456539253,194.0,1214.5,188
ad_memory,H,0.14162389372985695,0.09756780703179382,0.08768179529000725,291.0,954.5,274
ad_memory,B,0.24986713390060764,0.10505657877905357,0.05680270318821597,513.5,624.0,466
