observation,graph_id,status,status_widened,nll,nll_widened,nll_improvement,max_profile_shift,kappa,kappa_widened
ad_memory_r1__B-p888-20260921__s1,ad_memory_r1,boundary_other,converged,300.5135951302665,300.51360080948496,-5.679218475052039e-06,2.5398039055213317e-06,0.7149915586562957,0.7150108276974051
ad_memory_r1__B-p888-20260921__s2,ad_memory_r1,weakly_identified,weakly_identified,321.6559015440874,321.6559030606451,-1.5165576883191534e-06,3.767991450853714e-05,0.6582676211811745,0.6581785056917181
ad_memory_r1__B-p888-20260921__s3,ad_memory_r1,weakly_identified,weakly_identified,309.87930551372824,309.8793055149122,-1.1839347280329093e-09,3.209878195553628e-05,3.22113891777248,3.2200123576578172
ad_memory_r2__B-p888-20260921__s1,ad_memory_r2,converged,converged,364.63639234965706,364.63637952206074,1.2827596322040336e-05,1.5454389578006822e-05,0.5966865258901203,0.5966190681652945
ad_memory_r2__B-p888-20260921__s2,ad_memory_r2,weakly_identified,weakly_identified,354.79971772752776,354.79973321915907,-1.5491631302211317e-05,3.0198348005106013e-05,0.5017404483143143,0.5018245929807599
ad_memory_r2__B-p888-20260921__s3,ad_memory_r2,weakly_identified,weakly_identified,272.1299124212582,272.1299177729877,-5.3517294986704655e-06,1.3599380765061397e-05,0.6197089247852378,0.6197924810270686
ad_memoryless_r1__B-p888-20260921__s1,ad_memoryless_r1,weakly_identified,weakly_identified,50.08014358496401,50.0801429852966,5.996674161679039e-07,8.163776909486664e-07,975741.0881069067,98196395.07592538
ad_memoryless_r1__B-p888-20260921__s2,ad_memoryless_r1,boundary_other,weakly_identified,26.805175175364447,26.805120264464335,5.4910900111337924e-05,1.0158842489164932e-05,999998.5038782948,86053242.06352532
ad_memoryless_r1__B-p888-20260921__s3,ad_memoryless_r1,weakly_identified,weakly_identified,50.73232524178933,50.732324742985014,4.988043187381663e-07,8.12413771117404e-07,988060.6249836426,99704647.12744755
ad_memoryless_r2__B-p888-20260921__s1,ad_memoryless_r2,boundary_other,starts_disagree,70.23549581128879,70.23550847851229,-1.2667223501239278e-05,2.2005889899007203e-05,25.005379460843358,24.997435347929382
ad_memoryless_r2__B-p888-20260921__s2,ad_memoryless_r2,weakly_identified,weakly_identified,55.646907094390585,55.64690639607696,6.983136273674972e-07,1.1348082934459214e-07,968909.1041999063,97076963.40815529
ad_memoryless_r2__B-p888-20260921__s3,ad_memoryless_r2,weakly_identified,weakly_identified,59.20066079672901,59.20065712258309,3.6741459226163897e-06,9.289800879525023e-07,234490.07144000236,96375848.44919956
copenhagen_bluetooth__B-p888-20260921__s1,copenhagen_bluetooth,boundary_other,boundary_other,15944.64128312702,15944.638724893452,0.002558233569288859,1.3847406289957398e-06,1.819463478527525,1.8194375195651507
copenhagen_bluetooth__B-p888-20260921__s2,copenhagen_bluetooth,boundary_other,boundary_other,16132.982620278588,16132.979969008069,0.002651270518981619,1.3469606146010449e-06,1.773338183080176,1.7733130964519581
copenhagen_bluetooth__B-p888-20260921__s3,copenhagen_bluetooth,boundary_other,boundary_other,15893.23587015954,15893.233215493146,0.0026546663939370774,1.5413840941391754e-06,1.8178204723927254,1.8177959905901666
copenhagen_bluetooth__pwt__B-p888-20260921__s1,copenhagen_bluetooth__pwt,boundary_other,boundary_other,29631.11157725824,29631.108448575756,0.003128682485112222,1.1246976606704706e-06,1.0356034857930487,1.0355934490806957
copenhagen_bluetooth__pwt__B-p888-20260921__s2,copenhagen_bluetooth__pwt,boundary_other,starts_disagree,29955.558042945097,29955.554785747052,0.003257198044593679,7.0155365755053545e-06,1.0252006314979347,1.025156891514101
copenhagen_bluetooth__pwt__B-p888-20260921__s3,copenhagen_bluetooth__pwt,boundary_other,boundary_other,29752.902888764518,29752.899543174302,0.0033455902157584205,1.1130241748258385e-06,1.0225099499788717,1.0225000943779061
dar_a08_r1__B-p888-20260921__s1,dar_a08_r1,weakly_identified,weakly_identified,238.62052278172916,238.6205227819804,-2.512479113647714e-10,2.757924295659908e-05,4.767132081100408,4.765234675060108
dar_a08_r1__B-p888-20260921__s2,dar_a08_r1,weakly_identified,weakly_identified,255.13199572027722,255.13199743239016,-1.7121129474162444e-06,0.00012023075093425817,0.01774723187446946,0.018387100091891935
dar_a08_r1__B-p888-20260921__s3,dar_a08_r1,weakly_identified,weakly_identified,260.46568127363275,260.46569186558986,-1.0591957106953487e-05,0.00027804413258242233,0.20132935270162297,0.20154994816300648
dar_a08_r2__B-p888-20260921__s1,dar_a08_r2,boundary_homogeneous,weakly_identified,260.1886577644866,260.1886620884002,-4.3239135720796185e-06,8.719907574006314e-06,999999.9999999995,71694.57506394514
dar_a08_r2__B-p888-20260921__s2,dar_a08_r2,boundary_homogeneous,weakly_identified,283.1563124971816,283.15631332414205,-8.269604450106272e-07,2.8265007527561448e-06,999999.9999999995,316759.4132329254
dar_a08_r2__B-p888-20260921__s3,dar_a08_r2,weakly_identified,weakly_identified,252.2840757730468,252.28407776786415,-1.99481735307927e-06,4.0410902831578e-05,282318.9520570278,85823.12897473035
dar_a0_r1__B-p888-20260921__s1,dar_a0_r1,weakly_identified,weakly_identified,189.67732643883753,189.67730311579305,2.3323044473499976e-05,5.716962645306578e-06,2.497854467435871,2.497356883083965
dar_a0_r1__B-p888-20260921__s2,dar_a0_r1,weakly_identified,weakly_identified,174.8073025101087,174.8072992387939,3.271314824360161e-06,4.375159913877491e-05,475849.7686184623,1096034.0855780053
dar_a0_r1__B-p888-20260921__s3,dar_a0_r1,weakly_identified,weakly_identified,166.50673154376744,166.50672984193665,1.7018307971738977e-06,3.808167674396179e-07,356163.549633664,540320.3557325725
dar_a0_r2__B-p888-20260921__s1,dar_a0_r2,converged,converged,137.3175186231249,137.31751467700246,3.946122433262644e-06,4.199044877806202e-06,2.4289087882668654,2.428808961733863
dar_a0_r2__B-p888-20260921__s2,dar_a0_r2,weakly_identified,weakly_identified,164.85779362045537,164.857797490062,-3.869606644002488e-06,2.77124203370005e-05,842438.3762028264,316464.2275031511
dar_a0_r2__B-p888-20260921__s3,dar_a0_r2,weakly_identified,weakly_identified,153.83670168358424,153.83672028502787,-1.860144362808569e-05,4.656471050891453e-05,2.222849789498574,2.2257793396706624
nr_digg_reply__B-p888-20260921__s1,nr_digg_reply,starts_disagree,starts_disagree,194.53404592909675,194.53404522359625,7.055004971334711e-07,1.8324226147212186e-07,997894.8027514461,99979308.30030137
nr_digg_reply__B-p888-20260921__s2,nr_digg_reply,weakly_identified,weakly_identified,112.86808020912002,112.86807971627545,4.928445775931323e-07,5.903887910670147e-08,999987.8969445599,99954649.9892338
nr_digg_reply__B-p888-20260921__s3,nr_digg_reply,starts_disagree,boundary_homogeneous,85.08069951570047,85.08069921928907,2.964114003134455e-07,4.193558951655352e-08,999416.2641147783,99999999.99999948
nr_digg_reply__pwt__B-p888-20260921__s1,nr_digg_reply__pwt,boundary_other,boundary_other,203.11877473096177,203.1178548236756,0.0009199072861747482,1.0598205853369624e-06,67.5790079966761,67.55632680548075
