arm,method,parents,planned_pairs,valid_pairs,AE_Delta_2,AE_Delta_2_MCSE,Delta_ProfileAE,Delta_ProfileAE_MCSE,signed_delta_error_2,signed_delta_error_2_MCSE,sign_agreement_2,sign_agreement_2_MCSE,descriptive_parent_delta_correlation
R,plugin,8,24,24,0.011542096670707163,0.0021657304014384903,0.011122894191803831,0.0011105644197039468,0.005252452291784856,0.003285695137788776,1.0,0.0,0.9990846010916552
R,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
R,extratrees_pooled,8,24,24,0.054186164891226594,0.002982502348355855,0.039675358582531066,0.0013842495464877066,-0.018027153712720536,0.002982502348355855,1.0,0.0,0.8586840757003862
R,extratrees_real_only,8,24,24,0.11230115116054112,0.005104216226173315,0.1087024070789683,0.0031390577737945703,-0.11093532213998389,0.005104216226173315,1.0,0.0,0.8724402520860557
R,primary_corrector,8,24,24,0.011542096670707163,0.0021657304014384903,0.011122894191803831,0.0011105644197039468,0.005252452291784856,0.003285695137788776,1.0,0.0,0.9990846010916552
S1,plugin,8,24,24,0.02149267770962738,0.002465919098713803,0.025265710781748142,0.001443678616990554,-0.007156099191879364,0.0034685969916557263,1.0,0.0,0.9838070638661816
S1,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
S1,extratrees_pooled,8,24,24,0.05086412636014215,0.003534481127343282,0.04519739605865149,0.002152986458886198,-0.02252390738936171,0.004063739663550767,0.875,0.0,0.8973815359370616
S1,extratrees_real_only,8,24,24,0.14784575574407754,0.0016540399731707282,0.12981661204409098,0.001664339948758154,-0.14662145151480177,0.0016540399731707282,1.0,0.0,0.7574585750085702
S1,primary_corrector,8,24,24,0.02149267770962738,0.002465919098713803,0.025265710781748142,0.001443678616990554,-0.007156099191879364,0.0034685969916557263,1.0,0.0,0.9838070638661816
S2,plugin,8,24,24,0.02149267770962738,0.002465919098713803,0.025265710781748142,0.001443678616990554,-0.007156099191879364,0.0034685969916557263,1.0,0.0,0.9838070638661816
S2,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
S2,extratrees_pooled,8,24,24,0.04866794555817926,0.005234409887110045,0.03837200315997827,0.002939010699170291,-0.023004694048700067,0.005668024281660519,0.875,0.0,0.8924707809639804
S2,extratrees_real_only,8,24,24,0.1280682472454784,0.005052882031894239,0.11811408036382143,0.0027535222242869306,-0.1280682472454784,0.005052882031894239,1.0,0.0,0.8650949064394808
S2,primary_corrector,8,24,24,0.025809635494887108,0.005633173525331466,0.017876126810039784,0.0026516872057465216,0.00482996447392188,0.007779028761266538,1.0,0.0,0.9855451806957384
H,plugin,8,24,24,0.08494828353539921,0.0025724186496065963,0.13365725276935064,0.0009766029418295408,-0.041079439839821166,0.00439508501109867,1.0,0.0,0.6169758865386287
H,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
H,extratrees_pooled,8,24,24,0.11157262797291737,0.007039043688921024,0.08437764020028417,0.0038569038677476065,-0.11157262797291737,0.007039043688921024,1.0,0.0,0.7583684418340363
H,extratrees_real_only,8,24,24,0.17532583966920923,0.003976225351203976,0.13041340412344957,0.002386463067265151,-0.17532583966920923,0.003976225351203976,0.875,0.0,0.6445160816656119
H,primary_corrector,8,24,24,0.0701446147273807,0.0035368243110020544,0.07877792172543878,0.0022263308603281628,-0.00502539115919581,0.00769721573049006,1.0,0.0,0.7754782135514651
B,plugin,8,24,24,0.14821785373328822,0.002683452904239158,0.16021534143819144,0.001190477010877523,-0.14821785373328822,0.002683452904239158,1.0,0.0,0.7309503001152817
B,median,8,24,24,0.25464650506357067,0.0,0.21148107163151694,1.635512977795599e-18,-0.25464650506357067,0.0,0.0,0.0,
B,extratrees_pooled,8,24,24,0.06489750436997943,0.00408439544934486,0.08498296465732935,0.0013056134484891737,-0.05681732005776158,0.006004155030877053,0.875,0.0,0.843264571716878
B,extratrees_real_only,8,24,24,0.11325672409032016,0.0033377741892717475,0.11641679533615916,0.0013374039761815996,-0.11325672409032016,0.0033377741892717475,0.9583333333333333,0.041666666666666664,0.7639991020341208
B,primary_corrector,8,24,24,0.10579568890126892,0.006271564070015631,0.11166738510496677,0.002753381124300993,-0.02231959012970505,0.006271564070015631,1.0,0.0,0.5894747677909663
