graph_id,stratum,components,largest_node_share,largest_edge_share,largest_cell_share,node_vs_edge_component_total_variation,expected_ceiling_cells,target_cells,unreachable,L,validated_coverage,validation_mcse_relative_to_target,budget_matched,stationary_component_mixture_profile,stationary_mixture_signed_rho2,stationary_mixture_ProfileAE
sp_hospital,real,1,1.0,1.0,1.0,0.0,1901.0,190.10000000000002,False,124,0.10045545518805891,0.0019422133477231293,True,"[0.44512730465320455, 0.16417910447761194, 0.0456540825285338, 0.014047410008779631]",0.0,0.0
sp_highschool2013,real,1,1.0,1.0,1.0,0.0,11244.0,1124.4,False,632,0.10013265755625222,0.0008572506163700433,True,"[0.4855620488140254, 0.2671020969405294, 0.12822275696115504, 0.05173599174974218]",0.0,0.0
copenhagen_bluetooth,real,1,1.0,1.0,1.0,0.0,144476.0,14447.6,False,8419,0.10008221115661078,0.0002259747984386212,True,"[0.44692568841946434, 0.22074688796680497, 0.1074311580535647, 0.041518923676600025]",0.0,0.0
sp_workplace,real,1,1.0,1.0,1.0,0.0,6220.0,622.0,False,462,0.10010001130426045,0.0009590970023302009,True,"[0.2901263453439401, 0.11909218530650445, 0.04609265325222274, 0.0]",0.0,0.0
snap_email_eu,real,1,1.0,1.0,1.0,0.0,32137.0,3213.7000000000003,False,1745,0.10005838042987833,0.0005321602953279204,True,"[0.5057270916334662, 0.2975597609561753, 0.1593625498007968, 0.03791085657370518]",0.0,0.0
snap_collegemsg,real,4,0.9968404423380727,0.9997832056655586,0.9998063766619336,0.002942763327485912,15442.058451816747,1549.4,False,1574,0.10008290759729573,0.0017449985885996098,True,"[0.10274625737434707, 0.012969373301109727, 0.0032423433252774317, 0.0003602603694752702]",-0.00030331626346186136,8.805956035989562e-05
snap_mathoverflow,real,45,0.9963245688436528,0.9997499813815922,0.9997747715368728,0.0034254125379394045,207863.19883678656,20867.7,False,21213,0.10009328299537083,0.0017000247486421392,True,"[0.08409482138122935, 0.01916426774841733, 0.005285414922592553, 0.0011450848779137328]",-0.000289122103923789,9.427954126406033e-05
nr_digg_reply,real,335,0.9766798418972332,0.9956080089249016,0.9956220442946107,0.01892816702766843,83070.55559947311,8542.800000000001,False,11485,0.09989882973454253,0.004944427619497592,True,"[0.0030067283794149384, 0.00011520032105038077, 2.3040064210076153e-05, 0.0]",-5.827073983818813e-05,1.5237463578376787e-05
sp_hospital__pwt,surrogate,1,1.0,1.0,1.0,0.0,3984.0,398.40000000000003,False,124,0.10045308185868473,0.001527960800831145,True,"[0.8349429323968394, 0.704126426690079, 0.5636523266022827, 0.39508340649692714]",0.0,0.0
sp_highschool2013__pwt,surrogate,1,1.0,1.0,1.0,0.0,16770.0,1677.0,False,632,0.10008688319916517,0.0008062553602922593,True,"[0.6632863526985219, 0.512547267102097, 0.40477827432107255, 0.301821931935373]",0.0,0.0
copenhagen_bluetooth__pwt,surrogate,1,1.0,1.0,1.0,0.0,247592.0,24759.2,False,8420,0.10008112593626814,0.00021294237263019044,True,"[0.7147617251351691, 0.572073431409531, 0.467534263799824, 0.3588205708537659]",0.0,0.0
sp_workplace__pwt,surrogate,1,1.0,1.0,1.0,0.0,10265.0,1026.5,False,461,0.09997307674744277,0.0008970717149971231,True,"[0.6321946654188114, 0.4473561066916238, 0.3221806270472625, 0.0]",0.0,0.0
snap_email_eu__pwt,surrogate,1,1.0,1.0,1.0,0.0,41383.0,4138.3,False,1742,0.09988195730281758,0.0004695858538442449,True,"[0.6871887450199203, 0.4856200199203187, 0.3252614541832669, 0.07806274900398406]",0.0,0.0
snap_collegemsg__pwt,surrogate,4,0.9968404423380727,0.9997832056655586,0.9998812633578722,0.002942763327485912,25183.18325434439,2526.6000000000004,False,1561,0.09970955904179529,0.0024644129801767657,True,"[0.5083273813296062, 0.2163723779068473, 0.07731187528939298, 0.02139946594683105]",-0.0015006284984036,0.0006076960481841342
