graph_id,stratum,length,L,paths,traversal_rho2,traversal_rho2_MCSE,traversal_AE2,traversal_AE2_MCSE,traversal_ProfileAE,traversal_ProfileAE_MCSE,finite_vs_local_stationary_rho2,finite_vs_local_stationary_rho2_MCSE,finite_vs_local_stationary_ProfileAE,finite_vs_local_stationary_ProfileAE_MCSE,plugin_AE2,plugin_AE2_MCSE,edge_traversal_hhi,edge_traversal_hhi_MCSE,max_edge_traversal_share,max_edge_traversal_share_MCSE,node_traversal_hhi,node_traversal_hhi_MCSE,top_degree_one_percent_node_traversal_share,top_degree_one_percent_node_traversal_share_MCSE,repeated_step_fraction,repeated_step_fraction_MCSE,distinct_dyad_coverage,distinct_dyad_coverage_MCSE,cell_coverage,cell_coverage_MCSE,traversal_mean_bias_rho2
sp_hospital,real,primary,124,32,0.4465725806451613,0.007755780603846341,0.03427419354838709,0.004724966616456912,0.024220763473901834,0.0018881261460272738,0.00144527599195674,0.007755780603846341,0.024220763473901834,0.0018881261460272738,0.033911884075668905,0.004722624472268335,0.009401827523413111,7.182424095604885e-05,0.021421370967741934,0.0008576196317560138,0.02462238228407908,0.0002969501902144857,0.02860383064516129,0.0025176195233719647,0.07661290322580647,0.003797815119837784,0.10052677787532924,0.00041345836247575466,0.10047343503419254,0.0012647098219122448,0.0014452759919567626
sp_hospital,real,longer,496,32,0.45255796370967744,0.004175030332173726,0.019046190861395106,0.0027404646073986394,0.011582135242608115,0.0009458839504540513,0.007430659056472869,0.004175030332173726,0.011582135242608115,0.0009458839504540513,0.018946875195432682,0.0027544920240883644,0.0030053939581165447,1.862513299286267e-05,0.008253528225806451,0.00022828885132906908,0.018613245683207595,0.00012206992022546851,0.027879284274193547,0.0012116822121058916,0.20841733870967744,0.002713919346545613,0.3447102721685689,0.0011818296715422503,0.34759665965281433,0.0019278387297229267,0.007430659056472888
sp_highschool2013,real,primary,632,32,0.4864517405063291,0.0035551164073231744,0.015019305266066452,0.0023211263491497466,0.011941041191185362,0.0013213834485934167,0.0008896916923036898,0.0035551164073231735,0.011941041191185362,0.0013213834485934167,0.015226326067346078,0.00207150364035531,0.001859396280644127,5.82657546526307e-06,0.004994066455696203,0.00010318557312701527,0.005353646751321904,3.317862538050886e-05,0.02895075158227848,0.0012929953988410146,0.08153678797468353,0.0015204334449802287,0.099771184255758,0.00016516224428111154,0.09981990394877269,0.0004978703074752772,0.0008896916923036846
sp_highschool2013,real,longer,2528,32,0.4836456685126582,0.0018705089766258864,0.00813396405769306,0.0012177989259898683,0.006057019579404378,0.0006537603890062084,-0.0019163803013672008,0.0018705089766258864,0.006057019579404378,0.0006537603890062084,0.006407641154423473,0.0011304087628992692,0.0005920146104139964,1.7893003274140881e-06,0.0018665941455696202,4.4348460963936147e-05,0.003945755129574086,1.4017497289372526e-05,0.028400662579113924,0.0006177015862960738,0.20891020569620256,0.0015579414325634729,0.3437392574767962,0.0006769467070334238,0.34326918801138384,0.0009504129534460976,-0.0019163803013672043
copenhagen_bluetooth,real,primary,8419,32,0.44746258463000355,0.0009873932539252361,0.004134992279368095,0.0006577921273096369,0.00308157905311295,0.0003047975785036163,0.0005368962105392269,0.0009873932539252361,0.00308157905311295,0.0003047975785036163,0.0043252968061750635,0.0007004772469439984,0.00013261404087985115,9.911146374744006e-08,0.0004194381755552916,1.064581109280239e-05,0.001892887446777499,2.618587710492458e-06,0.019906610048699373,0.00026166555948310796,0.05589663261670033,0.0003988198564308972,0.09994223877781969,4.221884032807389e-05,0.1000477587973089,0.00014193597863473295,0.0005368962105392061
copenhagen_bluetooth,real,longer,33676,32,0.4475191902244922,0.0005259177039751776,0.0024043301430513517,0.00031855081773031496,0.0017130099880844683,0.0001325452076246534,0.0005935018050278844,0.0005259177039751776,0.0017130099880844683,0.0001325452076246534,0.0022696428724810515,0.0003202307113263743,4.250823229209957e-05,2.0063638659736516e-08,0.00015960921724670387,2.9059321225012354e-06,0.0018067437950307,1.0080618531892493e-06,0.02027593835372372,0.00014408906769369586,0.1875092796056539,0.00021750883802295845,0.34403919904438574,9.210144133359888e-05,0.3442630609928292,0.000217091641892227,0.000593501805027874
sp_workplace,real,primary,462,32,0.28727002164502163,0.0044455177926293445,0.020640793167992513,0.00250649301493376,0.010198124241613947,0.0008688434719089457,-0.002856323698918464,0.0044455177926293445,0.010198124241613947,0.0008688434719089457,0.019127380172216803,0.0025129024937090667,0.0025100260489870885,1.2464952428004502e-05,0.006696428571428572,0.00020292207792207794,0.007500064419707276,4.58696950044478e-05,0.027766504329004328,0.0014122615634632814,0.07339015151515152,0.0024010986082554295,0.10016231867103415,0.0002595478607894265,0.09934184083601286,0.0005083206787417293,-0.0028563236989184726
sp_workplace,real,longer,1848,32,0.29164975649350644,0.0021979930944307146,0.009814428693479347,0.001341209779956151,0.004842438175710579,0.00044234316940202674,0.0015234111495663893,0.002197993094430715,0.004842438175710579,0.00044234316940202674,0.00917817247705088,0.0011487940951515727,0.00080229987139484,2.003569693940364e-06,0.002553436147186147,5.558909598428705e-05,0.0058563736272746,1.5220484954451445e-05,0.02811316287878788,0.000547950132805988,0.20400432900432902,0.0011522638118491378,0.3441740758072064,0.0004982179514031836,0.3439007234726688,0.0008898236510124176,0.0015234111495663338
snap_email_eu,real,primary,1745,32,0.5048889684813753,0.0023067301006372996,0.010619181583123105,0.0013061461336448974,0.00862092070917619,0.0007891278665812715,-0.0008381231520908309,0.0023067301006372996,0.00862092070917619,0.0007891278665812715,0.009311904503094996,0.0014975761862381905,0.0006726340506235572,1.4353834511225962e-06,0.00205945558739255,5.0550123399421475e-05,0.0029505710133742734,1.9860384455870883e-05,0.06714720630372494,0.0009898747799992336,0.08089183381088824,0.0012011665929548443,0.09984087089143426,0.00013048031030292602,0.09998988704608394,0.000325851965528134,-0.0008381231520908639
snap_email_eu,real,longer,6980,32,0.505511282234957,0.0010959285854553805,0.00510789934816608,0.0006007731938109098,0.003687969067497919,0.00035733587774670916,-0.00021580939850915533,0.0010959285854553805,0.003687969067497919,0.00035733587774670916,0.0049859246952459035,0.0006961340251641971,0.00021562322969433692,3.2888394690714945e-07,0.0007790114613180515,1.6943582327459176e-05,0.0024874333954565233,8.945539554504236e-06,0.06759491404011461,0.0005346699761341457,0.21096436246418337,0.0008440038765078507,0.3428454152141434,0.0003667297720383965,0.34373346920994496,0.0003927181252752573,-0.00021580939850918135
