family,outer_replicate,arm,method,mode_a,mode_b,MAE2_a,MAE2_b,paired_MAE2_b_minus_a
dar,1,R,plugin,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,R,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,R,extratrees_pooled,a0,a08,0.04460240466966849,0.0030496527669559015,-0.04155275190271259
dar,1,R,extratrees_real_only,a0,a08,0.015061554155044565,0.23733557636650734,0.22227402221146278
dar,1,R,primary_corrector,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,S1,plugin,a0,a08,0.010452271033302282,0.018235834285786085,0.007783563252483803
dar,1,S1,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,S1,extratrees_pooled,a0,a08,0.018931910431175997,0.008149457945113422,-0.010782452486062575
dar,1,S1,extratrees_real_only,a0,a08,0.01752658506526637,0.23769582406106762,0.22016923899580126
dar,1,S1,primary_corrector,a0,a08,0.010452271033302282,0.018235834285786085,0.007783563252483803
dar,1,S2,plugin,a0,a08,0.010452271033302282,0.018235834285786085,0.007783563252483803
dar,1,S2,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,S2,extratrees_pooled,a0,a08,0.02154945747714232,0.005901809640660523,-0.015647647836481798
dar,1,S2,extratrees_real_only,a0,a08,0.01533174524379057,0.23769582406106762,0.22236407881727704
dar,1,S2,primary_corrector,a0,a08,0.020722262199704983,0.028304562745295248,0.007582300545590264
dar,1,H,plugin,a0,a08,0.16345124561431132,0.06187324163140795,-0.10157800398290337
dar,1,H,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,H,extratrees_pooled,a0,a08,0.03143666452635711,0.009191137958274457,-0.022245526568082652
dar,1,H,extratrees_real_only,a0,a08,0.08325119213822385,0.2364839279609673,0.15323273582274344
dar,1,H,primary_corrector,a0,a08,0.025846959250148332,0.19801769661922275,0.17217073736907443
dar,1,B,plugin,a0,a08,0.34052999671354733,0.644329620355923,0.30379962364237567
dar,1,B,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,B,extratrees_pooled,a0,a08,0.06745613978750187,0.020281796221679766,-0.047174343565822105
dar,1,B,extratrees_real_only,a0,a08,0.06344990315664234,0.28135865384726044,0.2179087506906181
dar,1,B,primary_corrector,a0,a08,0.027093104556684993,0.11721445556818773,0.09012135101150273
dar,2,R,plugin,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,R,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,R,extratrees_pooled,a0,a08,0.03178747954199862,0.007657636370861402,-0.024129843171137217
dar,2,R,extratrees_real_only,a0,a08,0.01794995985498817,0.23145391584216132,0.21350395598717314
dar,2,R,primary_corrector,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,S1,plugin,a0,a08,0.009039966884757722,0.024388511394874596,0.015348544510116875
dar,2,S1,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,S1,extratrees_pooled,a0,a08,0.013243133258622641,0.012192651979997674,-0.0010504812786249675
dar,2,S1,extratrees_real_only,a0,a08,0.006071110428795175,0.23146374166754194,0.22539263123874675
dar,2,S1,primary_corrector,a0,a08,0.009039966884757722,0.024388511394874596,0.015348544510116875
dar,2,S2,plugin,a0,a08,0.009039966884757722,0.024388511394874596,0.015348544510116875
dar,2,S2,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,S2,extratrees_pooled,a0,a08,0.009334552407381643,0.016196271101355648,0.006861718693974004
dar,2,S2,extratrees_real_only,a0,a08,0.007128012880408911,0.23146374166754194,0.22433572878713304
dar,2,S2,primary_corrector,a0,a08,0.006812052013282073,0.02138765213354669,0.014575600120264619
dar,2,H,plugin,a0,a08,0.17515338335218159,0.034895183842155474,-0.1402581995100261
dar,2,H,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,H,extratrees_pooled,a0,a08,0.058871937110066275,0.02249843586672647,-0.03637350124333981
dar,2,H,extratrees_real_only,a0,a08,0.09809196174586188,0.23075157225610018,0.1326596105102383
dar,2,H,primary_corrector,a0,a08,0.009037919090005972,0.20942090454087117,0.2003829854508652
dar,2,B,plugin,a0,a08,0.3553071399179289,0.6308811351571131,0.2755739952391842
dar,2,B,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,B,extratrees_pooled,a0,a08,0.11310246934044992,0.009912670875105131,-0.10318979846534479
dar,2,B,extratrees_real_only,a0,a08,0.05667534540517871,0.2737265769953109,0.21705123159013218
dar,2,B,primary_corrector,a0,a08,0.05252823843926052,0.20138560035610162,0.1488573619168411
ad,1,R,plugin,memoryless,memory,0.00202612617928997,0.02305792201226679,0.02103179583297682
ad,1,R,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,R,extratrees_pooled,memoryless,memory,0.0034436456467068083,0.02536261745552289,0.021918971808816082
ad,1,R,extratrees_real_only,memoryless,memory,0.011773694018727422,0.2573592358479659,0.24558554182923847
ad,1,R,primary_corrector,memoryless,memory,0.00202612617928997,0.02305792201226679,0.02103179583297682
ad,1,S1,plugin,memoryless,memory,0.02351245884934854,0.026849404383129254,0.003336945533780715
ad,1,S1,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,S1,extratrees_pooled,memoryless,memory,0.0030580979207147085,0.01952064453742952,0.016462546616714813
ad,1,S1,extratrees_real_only,memoryless,memory,0.03599441163263281,0.2539075266453086,0.21791311501267577
ad,1,S1,primary_corrector,memoryless,memory,0.02351245884934854,0.026849404383129254,0.003336945533780715
ad,1,S2,plugin,memoryless,memory,0.02351245884934854,0.026849404383129254,0.003336945533780715
ad,1,S2,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,S2,extratrees_pooled,memoryless,memory,0.0009434377630755155,0.020607718256896185,0.01966428049382067
ad,1,S2,extratrees_real_only,memoryless,memory,0.01498423892104292,0.25468445318340227,0.23970021426235935
ad,1,S2,primary_corrector,memoryless,memory,0.0023714131706682093,0.034719880961869766,0.032348467791201554
ad,1,H,plugin,memoryless,memory,0.026206795398407107,0.15626101307542517,0.13005421767701805
ad,1,H,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
ad,1,H,extratrees_pooled,memoryless,memory,0.0029702163929890327,0.013849255047077605,0.010879038654088572
ad,1,H,extratrees_real_only,memoryless,memory,0.0030567895803705497,0.2596360606124897,0.2565792710321192
ad,1,H,primary_corrector,memoryless,memory,0.006172683496065999,0.1138928302522576,0.1077201467561916
ad,1,B,plugin,memoryless,memory,0.05036360460422095,0.6767163183845026,0.6263527137802817
ad,1,B,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
