length,evidence_block,sources,plugin_rho2_bias,plugin_rho2_rmse,plugin_rho2_sd,plugin_rho2_abs_bias,design_rho2_bias,design_rho2_rmse,design_rho2_sd,design_rho2_abs_bias,selection_effect_rho2
L,real,8,0.06404352371150993,0.06928855151182316,0.017974391026891523,0.06404352371150993,-0.0002925405375284885,0.02481658633179927,0.024797693745275212,0.001018061330861919,0.07607359897692517
L,surrogate,8,0.05272958772717944,0.059566072798490154,0.02092239731954445,0.05272958772717944,-0.001071870956191047,0.03224825380925117,0.03222508198126764,0.0012540900540209136,0.062144946625708616
L,dar_a0,2,-0.0008836987336128532,0.02521834750939194,0.025203274300710097,0.0008836987336128532,0.0005175015947885553,0.02913089219088809,0.029131598942702903,0.0007373190982667699,-0.001567921453921095
L,dar_a08,2,-0.004755363764713805,0.031379488827609395,0.031022175798307253,0.004755363764713805,-2.8548463444300065e-05,0.039885525875534636,0.039905221732318,0.00014157245028828536,-0.004474924870642716
L,ad_memoryless,2,0.051618569743491105,0.05254675790484288,0.008982841765187589,0.051618569743491105,6.148552754409523e-05,0.007513023835208882,0.007516208177362728,6.867981780546775e-05,0.06437136431536161
L,ad_memory,2,0.004777439569840836,0.027410803265122796,0.026829794158934724,0.004777439569840836,-0.0002939877395117807,0.03365182444632879,0.03366736904467245,0.0002939877395117807,0.0071509750370199465
4L,real,8,0.04861528208479983,0.05037889438558891,0.009418762763460127,0.04861528208479983,-0.0004668786193956648,0.012945236762986766,0.012934702767684901,0.0005694740998361686,0.07607359897692517
4L,surrogate,8,0.04147772046710155,0.044826967399718434,0.014413340469803845,0.04147772046710155,-0.0003381904763441982,0.01839159152070987,0.01838640388544195,0.0006510939177546652,0.062144946625708616
4L,dar_a0,2,-0.0013458033098243116,0.011697308282670429,0.01162497428048008,0.0013458033098243116,-6.435527727546853e-05,0.014495336589313311,0.01450142434233298,0.00017224152302650064,-0.001567921453921095
4L,dar_a08,2,-0.0027765411570266907,0.014089294024266522,0.01381708162931246,0.0027765411570266907,9.528196428226776e-05,0.020087886891925436,0.02009765944406699,9.528196428226776e-05,-0.004474924870642716
4L,ad_memoryless,2,0.03417598950406884,0.03437137894687333,0.0034341326350441313,0.03417598950406884,-8.394380851150379e-05,0.0037089425751349794,0.003708888061943677,8.394380851150379e-05,0.06437136431536161
4L,ad_memory,2,0.0029141024134767823,0.01314062541270772,0.012709982627417158,0.0029141024134767823,-0.0003621391304449717,0.016851142147664387,0.016855624302782916,0.0003621391304449717,0.0071509750370199465
