family,outer_replicate,arm,method,mode_a,mode_b,MAE2_a,MAE2_b,paired_MAE2_b_minus_a
dar,1,R,plugin,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,R,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,R,extratrees_pooled,a0,a08,0.04460240466966849,0.0030496527669559015,-0.04155275190271259
dar,1,R,extratrees_real_only,a0,a08,0.015061554155044565,0.23733557636650734,0.22227402221146278
dar,1,R,primary_corrector,a0,a08,0.02254211343807379,0.015676501687679718,-0.006865611750394074
dar,1,R,qwen_nonthinking,a0,a08,0.4069926390132299,0.08173153899240855,-0.32526110002082137
dar,1,R,qwen_thinking,a0,a08,0.02254248797565899,0.015671505866114592,-0.006870982109544399
dar,1,S1,plugin,a0,a08,0.010452271033302282,0.018235834285786085,0.007783563252483803
dar,1,S1,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,S1,extratrees_pooled,a0,a08,0.018931910431175997,0.008149457945113422,-0.010782452486062575
dar,1,S1,extratrees_real_only,a0,a08,0.01752658506526637,0.23769582406106762,0.22016923899580126
dar,1,S1,primary_corrector,a0,a08,0.010452271033302282,0.018235834285786085,0.007783563252483803
dar,1,S1,qwen_nonthinking,a0,a08,0.2514259723465633,0.06806846100759142,-0.18335751133897185
dar,1,S1,qwen_thinking,a0,a08,0.009165931522928487,0.018238427881297443,0.009072496358368955
dar,1,S2,plugin,a0,a08,0.010452271033302282,0.018235834285786085,0.007783563252483803
dar,1,S2,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,S2,extratrees_pooled,a0,a08,0.02154945747714232,0.005901809640660523,-0.015647647836481798
dar,1,S2,extratrees_real_only,a0,a08,0.01533174524379057,0.23769582406106762,0.22236407881727704
dar,1,S2,primary_corrector,a0,a08,0.020722262199704983,0.028304562745295248,0.007582300545590264
dar,1,S2,qwen_nonthinking,a0,a08,0.42899263901322987,0.1192648723257419,-0.30972776668748797
dar,1,S2,qwen_thinking,a0,a08,0.01664246962337361,0.022113808778617263,0.005471339155243653
dar,1,H,plugin,a0,a08,0.16345124561431132,0.06187324163140795,-0.10157800398290337
dar,1,H,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,H,extratrees_pooled,a0,a08,0.03143666452635711,0.009191137958274457,-0.022245526568082652
dar,1,H,extratrees_real_only,a0,a08,0.08325119213822385,0.2364839279609673,0.15323273582274344
dar,1,H,primary_corrector,a0,a08,0.025846959250148332,0.19801769661922275,0.17217073736907443
dar,1,H,qwen_nonthinking,a0,a08,0.26156010809376967,0.15371290545203584,-0.10784720264173384
dar,1,H,qwen_thinking,a0,a08,0.2470990346226727,0.13684755003450658,-0.11025148458816611
dar,1,B,plugin,a0,a08,0.34052999671354733,0.644329620355923,0.30379962364237567
dar,1,B,median,a0,a08,0.03196634940298587,0.42998659366121234,0.39802024425822646
dar,1,B,extratrees_pooled,a0,a08,0.06745613978750187,0.020281796221679766,-0.047174343565822105
dar,1,B,extratrees_real_only,a0,a08,0.06344990315664234,0.28135865384726044,0.2179087506906181
dar,1,B,primary_corrector,a0,a08,0.027093104556684993,0.11721445556818773,0.09012135101150273
dar,1,B,qwen_nonthinking,a0,a08,0.5066593056798965,0.14163906142167015,-0.3650202442582263
dar,1,B,qwen_thinking,a0,a08,0.3165497993965317,0.41863022774327124,0.10208042834673953
dar,2,R,plugin,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,R,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,R,extratrees_pooled,a0,a08,0.03178747954199862,0.007657636370861402,-0.024129843171137217
dar,2,R,extratrees_real_only,a0,a08,0.01794995985498817,0.23145391584216132,0.21350395598717314
dar,2,R,primary_corrector,a0,a08,0.031167021276098012,0.04209136254545365,0.010924341269355636
dar,2,R,qwen_nonthinking,a0,a08,0.49937193689157433,0.06598886748019696,-0.4333830694113774
dar,2,R,qwen_thinking,a0,a08,0.031167164149043303,0.04210094251342324,0.010933778364379934
dar,2,S1,plugin,a0,a08,0.009039966884757722,0.024388511394874596,0.015348544510116875
dar,2,S1,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,S1,extratrees_pooled,a0,a08,0.013243133258622641,0.012192651979997674,-0.0010504812786249675
dar,2,S1,extratrees_real_only,a0,a08,0.006071110428795175,0.23146374166754194,0.22539263123874675
dar,2,S1,primary_corrector,a0,a08,0.009039966884757722,0.024388511394874596,0.015348544510116875
dar,2,S1,qwen_nonthinking,a0,a08,0.2717052702249077,0.04646668807535856,-0.22523858214954914
dar,2,S1,qwen_thinking,a0,a08,0.010731608593487743,0.024387730846756567,0.013656122253268824
dar,2,S2,plugin,a0,a08,0.009039966884757722,0.024388511394874596,0.015348544510116875
dar,2,S2,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,S2,extratrees_pooled,a0,a08,0.009334552407381643,0.016196271101355648,0.006861718693974004
dar,2,S2,extratrees_real_only,a0,a08,0.007128012880408911,0.23146374166754194,0.22433572878713304
dar,2,S2,primary_corrector,a0,a08,0.006812052013282073,0.02138765213354669,0.014575600120264619
dar,2,S2,qwen_nonthinking,a0,a08,0.4224830480026854,0.11620756550236318,-0.3062754825003222
dar,2,S2,qwen_thinking,a0,a08,0.00857549412554548,0.024555821355388634,0.015980327229843154
dar,2,H,plugin,a0,a08,0.17515338335218159,0.034895183842155474,-0.1402581995100261
dar,2,H,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,H,extratrees_pooled,a0,a08,0.058871937110066275,0.02249843586672647,-0.03637350124333981
dar,2,H,extratrees_real_only,a0,a08,0.09809196174586188,0.23075157225610018,0.1326596105102383
dar,2,H,primary_corrector,a0,a08,0.009037919090005972,0.20942090454087117,0.2003829854508652
dar,2,H,qwen_nonthinking,a0,a08,0.18488083249412554,0.32219781631342326,0.13731698381929772
dar,2,H,qwen_thinking,a0,a08,0.22468783417254112,0.07480598715478486,-0.14988184701775625
dar,2,B,plugin,a0,a08,0.3553071399179289,0.6308811351571131,0.2755739952391842
dar,2,B,median,a0,a08,0.04158705152464143,0.4239345825074168,0.38234753098277535
dar,2,B,extratrees_pooled,a0,a08,0.11310246934044992,0.009912670875105131,-0.10318979846534479
dar,2,B,extratrees_real_only,a0,a08,0.05667534540517871,0.2737265769953109,0.21705123159013218
dar,2,B,primary_corrector,a0,a08,0.05252823843926052,0.20138560035610162,0.1488573619168411
dar,2,B,qwen_nonthinking,a0,a08,0.4094830480026854,0.1866377649325626,-0.22284528307012283
dar,2,B,qwen_thinking,a0,a08,0.22555360859348778,0.3869622350674374,0.1614086264739496
ad,1,R,plugin,memoryless,memory,0.00202612617928997,0.02305792201226679,0.02103179583297682
ad,1,R,median,memoryless,memory,0.2995951408639409,0.4418642077565937,0.14226906689265278
