stratum,arm,method,hidden_MAE_2,released_MAE_2,delta_MAE_2,hidden_ProfileMAE,released_ProfileMAE,delta_ProfileMAE,hidden_validity,released_validity
real,R,plugin,0.020885430841228105,0.020885430841228105,0.0,0.012999595904839855,0.012999595904839855,0.0,1.0,1.0
real,R,median,0.2396987696760392,0.2396987696760392,0.0,0.11015221734076834,0.11015221734076834,0.0,1.0,1.0
real,R,mle,0.023429537865710455,0.023429537865710455,0.0,0.013931049236294365,0.013931049236294365,0.0,1.0,1.0
real,R,et,0.02292095285510631,0.02266724031459482,-0.0002537125405114902,0.014047141707453635,0.014060118089072813,1.2976381619178579e-05,1.0,1.0
real,R,qwen_thinking,0.021289773724403684,0.020995116828222166,-0.0002946568961815202,0.013290459707031264,0.013134153591894902,-0.000156306115136363,1.0,1.0
real,R,qwen_nonthinking,0.4382150977605372,0.4250119588716483,-0.013203138888888896,0.34031022306938424,0.34268731789142315,0.0023770948220389193,1.0,1.0
real,H,plugin,0.06660501268737784,0.06660501268737784,0.0,0.05727753505680255,0.05727753505680255,0.0,1.0,1.0
real,H,median,0.2396987696760392,0.2396987696760392,0.0,0.11015221734076834,0.11015221734076834,0.0,1.0,1.0
real,H,mle,0.0516486502207365,0.0516486502207365,0.0,0.028909157465077343,0.028909157465077343,0.0,1.0,1.0
real,H,et,0.030371314393660084,0.027618964119097558,-0.002752350274562526,0.025307756676266224,0.023938019870949106,-0.0013697368053171195,1.0,1.0
real,H,qwen_thinking,0.14343736982122995,0.14903753482442428,0.005600165003194337,0.08054143644654331,0.08329509753380576,0.0027536610872624556,0.9861111111111112,1.0
real,H,qwen_nonthinking,0.2605603799340696,0.2150809911095867,-0.045479388824482894,0.15678225847468297,0.12755827513316417,-0.029223983341518787,1.0,1.0
surrogate,R,plugin,0.013507820089404191,0.013507820089404191,0.0,0.016289641534703754,0.016289641534703754,0.0,1.0,1.0
surrogate,R,median,0.31534505550048775,0.31534505550048775,0.0,0.2477381004240897,0.2477381004240897,0.0,1.0,1.0
surrogate,R,mle,0.03372815962917478,0.03372815962917478,0.0,0.029040111518023354,0.029040111518023354,0.0,1.0,1.0
surrogate,R,et,0.015549667657621273,0.015088869036811099,-0.00046079862081017383,0.01741974385560012,0.017080802738550702,-0.0003389411170494171,1.0,1.0
surrogate,R,qwen_thinking,0.015276633258022705,0.013973633259827227,-0.0013029999981954794,0.018805797853981215,0.018394855307852988,-0.0004109425461282269,1.0,1.0
surrogate,R,qwen_nonthinking,0.2966697235813361,0.24798480562316497,-0.048684917958171106,0.27591721020895055,0.22113523662295226,-0.05478197358599832,1.0,1.0
surrogate,H,plugin,0.10117006756013969,0.10117006756013969,0.0,0.1736267780828907,0.1736267780828907,0.0,1.0,1.0
surrogate,H,median,0.31534505550048775,0.31534505550048775,0.0,0.2477381004240897,0.2477381004240897,0.0,1.0,1.0
surrogate,H,mle,0.05725315096015555,0.05725315096015555,0.0,0.054072476485868895,0.054072476485868895,0.0,1.0,1.0
surrogate,H,et,0.047921761951550554,0.049148118898482876,0.0012263569469323254,0.06046634680607412,0.06034887327085047,-0.00011747353522364675,1.0,1.0
surrogate,H,qwen_thinking,0.1636947890012222,0.14871234284361956,-0.01498244615760264,0.16060130697083858,0.16809525001984235,0.007493943049003768,1.0,1.0
surrogate,H,qwen_nonthinking,0.3129676252122727,0.28079723702256976,-0.032170388189702956,0.24714410645683713,0.23939189939091116,-0.007752207065925972,1.0,1.0
synthetic,R,plugin,0.023485619512021903,0.023485619512021903,0.0,0.016790690974994436,0.016790690974994436,0.0,1.0,1.0
synthetic,R,median,0.29873223477483635,0.29873223477483635,0.0,0.21192999081079672,0.21192999081079672,0.0,1.0,1.0
synthetic,R,mle,0.021926090629127502,0.021926090629127502,0.0,0.015194080362953553,0.015194080362953553,0.0,1.0,1.0
synthetic,R,et,0.022540000808417848,0.022606738860664166,6.673805224631816e-05,0.01675786597800326,0.016717373671433777,-4.0492306569482736e-05,1.0,1.0
synthetic,R,qwen_thinking,0.02415731695091735,0.02347762434472183,-0.0006796926061955188,0.017105462327254493,0.017345093808630106,0.00023963148137561496,1.0,1.0
synthetic,R,qwen_nonthinking,0.16936230273359207,0.21936482124024875,0.0500025185066567,0.13527295947598209,0.17341793917245363,0.038144979696471536,1.0,1.0
synthetic,H,plugin,0.09476001628557325,0.09476001628557325,0.0,0.12143025378551378,0.12143025378551378,0.0,1.0,1.0
synthetic,H,median,0.29873223477483635,0.29873223477483635,0.0,0.21192999081079672,0.21192999081079672,0.0,1.0,1.0
synthetic,H,mle,0.037488315038612705,0.037488315038612705,0.0,0.044175865843575926,0.044175865843575926,0.0,1.0,1.0
synthetic,H,et,0.029147146983427658,0.029274926738680797,0.00012777975525314058,0.01910188787007438,0.0190666388031277,-3.5249066946679104e-05,1.0,1.0
synthetic,H,qwen_thinking,0.16796835362291995,0.16305284128218406,-0.0049155123407358964,0.13171056704159945,0.1348149344821762,0.00310436744057676,1.0,1.0
synthetic,H,qwen_nonthinking,0.2287659919102798,0.24352464930347278,0.014758657393192987,0.17045073281631434,0.1821875859097162,0.011736853093401878,1.0,1.0
