arm,outer_fold,anchor,min_samples_leaf,max_features,inner_MAE_2
H,copenhagen_bluetooth,plugin,20,0.5,0.04145811424529166
H,nr_digg_reply,plugin,20,0.5,0.04146904228207858
H,snap_collegemsg,reference,20,1.0,0.03993496033988268
H,snap_email_eu,plugin,20,0.5,0.03657837018911498
H,snap_mathoverflow,plugin,20,0.5,0.041846093203395406
H,sp_highschool2013,plugin,20,0.5,0.04018122098844835
H,sp_hospital,plugin,20,0.5,0.037645043348405266
H,sp_workplace,plugin,20,0.5,0.04072980330468034
H,synthetic,plugin,20,0.5,0.03933477640805535
R,copenhagen_bluetooth,reference,20,0.5,0.017274393691485763
R,nr_digg_reply,reference,20,0.5,0.017576467731202174
R,snap_collegemsg,reference,20,0.5,0.017983514229918545
R,snap_email_eu,reference,20,0.5,0.017722227275574213
R,snap_mathoverflow,reference,20,0.5,0.01803614018644595
R,sp_highschool2013,plugin,20,0.5,0.016735479486684333
R,sp_hospital,reference,20,0.5,0.016531908725821096
R,sp_workplace,reference,20,0.5,0.01611135408295287
R,synthetic,reference,20,0.5,0.01704479854186616
