arm,source,n_panel,rho_2,median_prediction,n_panel_prediction,median_AE2,n_panel_AE2
R,sp_hospital,24,0.44512730465320455,0.2901263453439401,0.49034543091303984,0.15500095930926444,0.04521812625983529
R,sp_highschool2013,104,0.4855620488140254,0.2901263453439401,0.38207332081999557,0.19543570347008532,0.10348872799402986
R,copenhagen_bluetooth,219,0.44692568841946434,0.2901263453439401,0.3387599924402615,0.15679934307552423,0.10816569597920284
R,sp_workplace,69,0.2901263453439401,0.4188445667125172,0.434877288243908,0.12871822136857708,0.14475094289996787
R,snap_email_eu,312,0.5057270916334662,0.2901263453439401,0.31209629301937464,0.21560074628952608,0.19363079861409155
R,snap_collegemsg,601,0.10304957363780894,0.4188445667125172,0.29650438812907115,0.31579499307470826,0.19345481449126223
R,snap_mathoverflow,7830,0.08438394348515314,0.4188445667125172,0.1356822662736641,0.33446062322736403,0.051298322788510944
R,nr_digg_reply,9601,0.0030649991192531266,0.4188445667125172,0.1442573755116251,0.41577956759326407,0.14119237639237198
H,sp_hospital,30,0.44512730465320455,0.2901263453439401,0.5051878353526992,0.15500095930926444,0.06006053069949463
H,sp_highschool2013,137,0.4855620488140254,0.2901263453439401,0.38722241721171635,0.19543570347008532,0.09833963160230907
H,copenhagen_bluetooth,271,0.44692568841946434,0.2901263453439401,0.34637568885857883,0.15679934307552423,0.1005499995608855
H,sp_workplace,103,0.2901263453439401,0.4188445667125172,0.4314586456575308,0.12871822136857708,0.14133230031359068
H,snap_email_eu,444,0.5057270916334662,0.2901263453439401,0.3097915971690374,0.21560074628952608,0.19593549446442876
H,snap_collegemsg,1525,0.10304957363780894,0.4188445667125172,0.2554993375455242,0.31579499307470826,0.15244976390771525
H,snap_mathoverflow,10699,0.08438394348515314,0.4188445667125172,0.12847255774329913,0.33446062322736403,0.04408861425814599
H,nr_digg_reply,11520,0.0030649991192531266,0.4188445667125172,0.14473735369473595,0.41577956759326407,0.14167235457548283
