stratum,arm,method,observations_separated,valid_answers,validity,near_plugin,near_reference,near_both,neither
real,R,qwen_thinking,0,0,,,,,
real,R,qwen_nonthinking,0,0,,,,,
real,S,qwen_thinking,21,63,1.0,0.3492063492063492,0.07936507936507936,0.0,0.5714285714285714
real,S,qwen_nonthinking,21,63,1.0,0.0,0.0,0.0,1.0
real,S_obs,qwen_thinking,21,63,1.0,0.2857142857142857,0.6190476190476191,0.0,0.09523809523809523
real,S_obs,qwen_nonthinking,21,63,1.0,0.031746031746031744,0.0,0.0,0.9682539682539683
real,H,qwen_thinking,21,62,0.9841269841269841,0.6290322580645161,0.016129032258064516,0.0,0.3548387096774194
real,H,qwen_nonthinking,21,63,1.0,0.0,0.0,0.0,1.0
real,B,qwen_thinking,21,63,1.0,0.3492063492063492,0.0,0.0,0.6507936507936508
real,B,qwen_nonthinking,21,63,1.0,0.0,0.0,0.0,1.0
surrogate,R,qwen_thinking,0,0,,,,,
surrogate,R,qwen_nonthinking,0,0,,,,,
surrogate,S,qwen_thinking,19,56,0.9824561403508771,0.48214285714285715,0.07142857142857142,0.0,0.4464285714285714
surrogate,S,qwen_nonthinking,19,57,1.0,0.03508771929824561,0.0,0.0,0.9649122807017544
surrogate,S_obs,qwen_thinking,20,60,1.0,0.36666666666666664,0.5333333333333333,0.0,0.09999999999999998
surrogate,S_obs,qwen_nonthinking,20,60,1.0,0.05,0.0,0.0,0.95
surrogate,H,qwen_thinking,21,63,1.0,0.6031746031746031,0.031746031746031744,0.0,0.3650793650793651
surrogate,H,qwen_nonthinking,21,63,1.0,0.06349206349206349,0.0,0.0,0.9365079365079365
surrogate,B,qwen_thinking,24,72,1.0,0.4027777777777778,0.041666666666666664,0.0,0.5555555555555556
surrogate,B,qwen_nonthinking,24,72,1.0,0.041666666666666664,0.0,0.0,0.9583333333333334
synthetic,R,qwen_thinking,0,0,,,,,
synthetic,R,qwen_nonthinking,0,0,,,,,
synthetic,S,qwen_thinking,24,72,1.0,0.4305555555555556,0.18055555555555555,0.0,0.38888888888888884
synthetic,S,qwen_nonthinking,24,72,1.0,0.0,0.0,0.0,1.0
synthetic,S_obs,qwen_thinking,24,72,1.0,0.2916666666666667,0.6527777777777778,0.0,0.05555555555555558
synthetic,S_obs,qwen_nonthinking,24,72,1.0,0.027777777777777776,0.013888888888888888,0.0,0.9583333333333334
synthetic,H,qwen_thinking,24,72,1.0,0.6111111111111112,0.0,0.0,0.38888888888888884
synthetic,H,qwen_nonthinking,24,72,1.0,0.013888888888888888,0.013888888888888888,0.0,0.9722222222222222
synthetic,B,qwen_thinking,24,72,1.0,0.1527777777777778,0.1527777777777778,0.0,0.6944444444444444
synthetic,B,qwen_nonthinking,24,72,1.0,0.09722222222222222,0.013888888888888888,0.0,0.8888888888888888
