source,stratum,arm,method,MAE_2,ProfileMAE,signed_rho_2,validity,not_correctable_at_this_budget
copenhagen_bluetooth,real,B,et,0.02114767985453488,0.045029937562287126,0.02114767985453488,1.0,False
copenhagen_bluetooth,real,B,median,0.15679934307552423,0.0900406131195264,-0.15679934307552423,1.0,False
copenhagen_bluetooth,real,B,mle,0.00486489317057424,0.006799374686967179,0.00486489317057424,1.0,False
copenhagen_bluetooth,real,B,plugin,0.19245867004608197,0.10577477058247801,-0.19245867004608197,1.0,False
copenhagen_bluetooth,real,B,qwen_nonthinking,0.5160743115805357,0.6574693354708915,0.5160743115805357,1.0,False
copenhagen_bluetooth,real,B,qwen_thinking,0.2362942021040278,0.17705218352263996,-0.11338879953057544,1.0,False
copenhagen_bluetooth,real,H,et,0.005727514683396458,0.010073076181943847,0.005431035075470418,1.0,False
copenhagen_bluetooth,real,H,median,0.15679934307552423,0.0900406131195264,-0.15679934307552423,1.0,False
copenhagen_bluetooth,real,H,mle,0.15548544131709752,0.0644339468102052,0.15548544131709752,1.0,False
copenhagen_bluetooth,real,H,plugin,0.09548319060365208,0.08779058011962311,-0.09548319060365208,1.0,False
copenhagen_bluetooth,real,H,qwen_nonthinking,0.3449136594157341,0.25258040292272654,0.046963200469424544,1.0,False
copenhagen_bluetooth,real,H,qwen_thinking,0.2814469927490675,0.13687608638249715,0.2147743115805357,1.0,False
copenhagen_bluetooth,real,R,et,0.013641801879249016,0.011116621026976302,-0.007546967476559659,1.0,False
copenhagen_bluetooth,real,R,median,0.15679934307552423,0.0900406131195264,-0.15679934307552423,1.0,False
copenhagen_bluetooth,real,R,mle,0.009611168750892962,0.008305369463413871,0.009611168750892962,1.0,False
copenhagen_bluetooth,real,R,plugin,0.012104810860067983,0.007234481232050542,-0.006587319373998109,1.0,False
copenhagen_bluetooth,real,R,qwen_nonthinking,0.47977431158053563,0.5021026688042247,0.47977431158053563,1.0,False
copenhagen_bluetooth,real,R,qwen_thinking,0.012106604946929075,0.007676398081498725,-0.006584175004349744,1.0,False
copenhagen_bluetooth,real,S,design,0.013762458013341472,0.006748504795529857,-0.013762458013341472,1.0,False
copenhagen_bluetooth,real,S,et,0.03234198815354461,0.026207171918255417,0.03234198815354461,1.0,False
copenhagen_bluetooth,real,S,median,0.15679934307552423,0.0900406131195264,-0.15679934307552423,1.0,False
copenhagen_bluetooth,real,S,mle,0.01024189737931841,0.007650150296630652,0.01024189737931841,1.0,False
copenhagen_bluetooth,real,S,plugin,0.423040229745264,0.4029988106326612,0.423040229745264,1.0,False
copenhagen_bluetooth,real,S,qwen_nonthinking,0.505607644913869,0.6031304465820025,0.505607644913869,1.0,False
copenhagen_bluetooth,real,S,qwen_thinking,0.20530233144228174,0.18948524160492128,0.1755261172916468,1.0,False
copenhagen_bluetooth,real,S_obs,design,0.028575668368354717,0.017712912620864964,-0.028575668368354717,1.0,False
copenhagen_bluetooth,real,S_obs,et,0.034412750973797014,0.026438956909727047,0.034412750973797014,1.0,False
copenhagen_bluetooth,real,S_obs,median,0.15679934307552423,0.0900406131195264,-0.15679934307552423,1.0,False
copenhagen_bluetooth,real,S_obs,mle,0.010334686374323665,0.015055612112973543,-0.010334686374323665,1.0,False
copenhagen_bluetooth,real,S_obs,plugin,0.423040229745264,0.4029988106326612,0.423040229745264,1.0,False
copenhagen_bluetooth,real,S_obs,qwen_nonthinking,0.48965208935831345,0.5182193354708915,0.48965208935831345,1.0,False
copenhagen_bluetooth,real,S_obs,qwen_thinking,0.16173567280648812,0.146456280858027,0.11950863713609122,1.0,False
nr_digg_reply,real,B,et,0.0626673927272677,0.02120061330859349,0.0626673927272677,1.0,False
nr_digg_reply,real,B,median,0.41577956759326407,0.1622271565826036,0.41577956759326407,1.0,False
nr_digg_reply,real,B,mle,0.005875204895891776,0.0014937600766243547,0.005875204895891776,1.0,False
nr_digg_reply,real,B,plugin,0.0022048611658394162,0.0005767676221674209,-0.0022048611658394162,1.0,False
nr_digg_reply,real,B,qwen_nonthinking,0.7352050006850253,0.5378544047129744,0.7345238897696357,1.0,False
nr_digg_reply,real,B,qwen_thinking,0.047325824460248966,0.014738444189097168,0.04550195449185798,1.0,False
nr_digg_reply,real,H,et,0.013000300189044273,0.0036005412380436287,0.013000300189044273,1.0,False
nr_digg_reply,real,H,median,0.41577956759326407,0.1622271565826036,0.41577956759326407,1.0,False
nr_digg_reply,real,H,mle,0.0003126196733593412,0.00011173875840417436,-3.462286039984085e-05,1.0,False
nr_digg_reply,real,H,plugin,0.001587338475676097,0.0004226277501769981,-0.001587338475676097,1.0,False
nr_digg_reply,real,H,qwen_nonthinking,0.2966672225158045,0.1369050623373065,0.2946238897696357,1.0,False
nr_digg_reply,real,H,qwen_thinking,0.0015847602303642376,0.0004220144464505901,-0.0015847602303642376,1.0,False
nr_digg_reply,real,R,et,0.010538165054188512,0.0034058050797723775,0.010538165054188512,1.0,False
nr_digg_reply,real,R,median,0.41577956759326407,0.1622271565826036,0.41577956759326407,1.0,False
nr_digg_reply,real,R,mle,0.0008147766543376947,0.00023658394681856047,0.00020886920370510282,1.0,False
nr_digg_reply,real,R,plugin,0.0007060875411398871,0.0002164373653452159,0.0001053614721384354,1.0,False
nr_digg_reply,real,R,qwen_nonthinking,0.35147833362691566,0.25174395122619536,0.34954611199185803,1.0,False
nr_digg_reply,real,R,qwen_thinking,0.0007060731327191075,0.00021278792341785494,0.00010529856555658604,1.0,False
nr_digg_reply,real,S,design,0.0005185267219156182,0.0001370492095421426,0.0003142636360982355,1.0,False
nr_digg_reply,real,S,et,0.00625597806548332,0.002245391716731609,-0.00625597806548332,1.0,False
nr_digg_reply,real,S,median,0.41577956759326407,0.1622271565826036,0.41577956759326407,1.0,False
nr_digg_reply,real,S,mle,0.0005571208465766686,0.00017133764576824934,0.0004683528658227701,1.0,False
nr_digg_reply,real,S,plugin,0.00488803650288911,0.001371015965431992,0.00488803650288911,1.0,False
nr_digg_reply,real,S,qwen_nonthinking,0.6697016675474134,0.4195318536785861,0.6697016675474134,1.0,False
nr_digg_reply,real,S,qwen_thinking,0.0019107329422308422,0.0005290309667427945,0.0019107329422308422,1.0,False
nr_digg_reply,real,S_obs,design,0.00046245709526998363,0.00011924039402814437,0.00046245709526998363,1.0,False
nr_digg_reply,real,S_obs,et,0.007898854293874748,0.0029182213389511193,-0.007898854293874748,1.0,False
nr_digg_reply,real,S_obs,median,0.41577956759326407,0.1622271565826036,0.41577956759326407,1.0,False
nr_digg_reply,real,S_obs,mle,0.0005967470114937364,0.00018101906706403467,0.0005967470114937364,1.0,False
nr_digg_reply,real,S_obs,plugin,0.00488803650288911,0.001371015965431992,0.00488803650288911,1.0,False
nr_digg_reply,real,S_obs,qwen_nonthinking,0.3200383340183587,0.1925544047129744,0.3193572231029691,1.0,False
nr_digg_reply,real,S_obs,qwen_thinking,0.001924777958524651,0.0005346990405668746,0.001924777958524651,1.0,False
snap_collegemsg,real,B,et,0.1457293828505322,0.0526421025463961,0.1457293828505322,1.0,False
snap_collegemsg,real,B,median,0.31579499307470826,0.13311101808443854,0.31579499307470826,1.0,False
snap_collegemsg,real,B,mle,0.008105930718905382,0.003851471767787114,0.0036060020105126065,1.0,False
snap_collegemsg,real,B,plugin,0.07182096020281759,0.021890328642972707,-0.07182096020281759,1.0,False
