source,stratum,arm,method,MAE_2,ProfileMAE,signed_rho_2,validity,not_correctable_at_this_budget
ad_memory_r1,synthetic,B,et,0.029901045780531137,0.06293382387366205,-0.029901045780531137,1.0,False
ad_memory_r1,synthetic,B,median,0.4418642077565937,0.30126965473561135,-0.4418642077565937,1.0,False
ad_memory_r1,synthetic,B,mle,0.08288922922806496,0.10993290885864708,-0.08288922922806496,1.0,False
ad_memory_r1,synthetic,B,plugin,0.6516594507450566,0.3989785171427361,-0.6516594507450566,1.0,False
ad_memory_r1,synthetic,B,qwen_nonthinking,0.31681662930942467,0.259251520973423,-0.17912744156260008,1.0,False
ad_memory_r1,synthetic,B,qwen_thinking,0.46484566570605185,0.35358995060838944,-0.3387143304514889,1.0,False
ad_memory_r1,synthetic,H,et,0.019694467414751005,0.019799937456005032,-0.016686038495863142,1.0,False
ad_memory_r1,synthetic,H,median,0.4418642077565937,0.30126965473561135,-0.4418642077565937,1.0,False
ad_memory_r1,synthetic,H,mle,0.0474764146763369,0.04656021335684215,0.0474764146763369,1.0,False
ad_memory_r1,synthetic,H,plugin,0.13379859121415658,0.20694509533779604,-0.13379859121415658,1.0,False
ad_memory_r1,synthetic,H,qwen_nonthinking,0.263016330451489,0.19095260967018893,-0.263016330451489,1.0,False
ad_memory_r1,synthetic,H,qwen_thinking,0.13909274042053582,0.1573332764169068,-0.014052441562600092,1.0,False
ad_memory_r1,synthetic,R,et,0.007648213453885444,0.017320486876276225,-0.007648213453885444,1.0,False
ad_memory_r1,synthetic,R,median,0.4418642077565937,0.30126965473561135,-0.4418642077565937,1.0,False
ad_memory_r1,synthetic,R,mle,0.007737185305437137,0.012189302274444189,-6.943703914027062e-05,1.0,False
ad_memory_r1,synthetic,R,plugin,0.008096320620306038,0.01753650302626285,-0.0022439597247174703,1.0,False
ad_memory_r1,synthetic,R,qwen_nonthinking,0.05540574234176537,0.07706067082933075,0.04058366954851102,1.0,False
ad_memory_r1,synthetic,R,qwen_thinking,0.007526554594940782,0.018530787303874488,-0.00281388600704455,1.0,False
ad_memory_r1,synthetic,S,design,0.05698683425188752,0.03830298627130728,0.02969602237367282,1.0,False
ad_memory_r1,synthetic,S,et,0.0349906929111912,0.0270678876728353,0.007618561630782339,1.0,False
ad_memory_r1,synthetic,S,median,0.4418642077565937,0.30126965473561135,-0.4418642077565937,1.0,False
ad_memory_r1,synthetic,S,mle,0.044512406648825276,0.0390310821598192,0.02172430478074335,1.0,False
ad_memory_r1,synthetic,S,plugin,0.14479406084506552,0.18061458953164086,0.14479406084506552,1.0,False
ad_memory_r1,synthetic,S,qwen_nonthinking,0.09298366954851102,0.1588807236631444,0.09298366954851102,1.0,False
ad_memory_r1,synthetic,S,qwen_thinking,0.04715570402390864,0.03942483197246238,0.02135578065962212,1.0,False
ad_memory_r1,synthetic,S_obs,design,0.03879287298381362,0.026097343029623063,0.014016339402825132,1.0,False
ad_memory_r1,synthetic,S_obs,et,0.026734621951921184,0.018043327217117322,0.0112089954874209,1.0,False
ad_memory_r1,synthetic,S_obs,median,0.4418642077565937,0.30126965473561135,-0.4418642077565937,1.0,False
ad_memory_r1,synthetic,S_obs,mle,0.031642181917388955,0.027876036322914338,0.0022038978844522252,1.0,False
ad_memory_r1,synthetic,S_obs,plugin,0.14479406084506552,0.18061458953164086,0.14479406084506552,1.0,False
ad_memory_r1,synthetic,S_obs,qwen_nonthinking,0.11128366954851103,0.2151307236631444,0.11128366954851103,1.0,False
ad_memory_r1,synthetic,S_obs,qwen_thinking,0.05658478540505924,0.053846561439588,0.028392027326288823,1.0,False
ad_memory_r2,synthetic,B,et,0.015675373112785773,0.03671532335312403,-0.015122086241327234,1.0,False
ad_memory_r2,synthetic,B,median,0.42805892266999623,0.29498338300099114,-0.42805892266999623,1.0,False
ad_memory_r2,synthetic,B,mle,0.07402963496822623,0.0849227613487931,-0.07402963496822623,1.0,False
ad_memory_r2,synthetic,B,plugin,0.6426355564634265,0.39466834529750816,-0.6426355564634265,1.0,False
ad_memory_r2,synthetic,B,qwen_nonthinking,0.18305062458908608,0.18101194389655928,-0.07032215647600268,1.0,False
ad_memory_r2,synthetic,B,qwen_thinking,0.5343520723208416,0.35312117932281395,-0.4933397120315583,1.0,False
ad_memory_r2,synthetic,H,et,0.014856043075954414,0.016162250899255225,-0.014856043075954414,1.0,False
ad_memory_r2,synthetic,H,median,0.42805892266999623,0.29498338300099114,-0.42805892266999623,1.0,False
