arm,comparison,mean_difference,wins_out_of_8,exact_signflip_p,LOSO_min,LOSO_max,sources_with_pairs
R,qwen_thinking vs plugin,,,,,,0
R,qwen_thinking vs plugin,,,,,,0
R,plugin vs plugin,0.0,0,1.0,0.0,0.0,8
R,et vs plugin,0.004191179848187052,1,0.1953125,0.002288691996481028,0.006390864449387968,8
S,qwen_thinking vs plugin,,,,,,0
S,qwen_thinking vs design,,,,,,0
S,design vs plugin,-0.2390753351857618,8,0.0078125,-0.2726047388150173,-0.21476070139345313,8
S,et vs design,-0.012646215103055114,2,0.7890625,-0.020582762840770062,0.010850189317038614,8
S_obs,qwen_thinking vs plugin,,,,,,0
S_obs,qwen_thinking vs design,,,,,,0
S_obs,design vs plugin,-0.2369447854609374,8,0.0078125,-0.2701618148971257,-0.21444196033008425,8
S_obs,et vs design,-0.009837617387231016,2,0.6640625,-0.017665327065526277,0.007416849938227827,8
H,qwen_thinking vs plugin,,,,,,0
H,qwen_thinking vs mle,,,,,,0
H,mle vs plugin,0.0007507918874597227,4,0.9765625,-0.012158234477727233,0.01632202704602249,8
H,et vs mle,-0.03014709526935718,6,0.09375,-0.03626634895293463,-0.013059833645879492,8
B,qwen_thinking vs plugin,,,,,,0
B,qwen_thinking vs mle,,,,,,0
B,mle vs plugin,-0.09743933094098964,6,0.03125,-0.11757002744615505,-0.08456012437891561,8
B,et vs mle,0.049865448386302996,2,0.09375,0.037328590708399605,0.0648844917074706,8
