stratum,arm,method,sources,sources_with_valid,MAE_2,ProfileMAE,signed_rho_2,validity,fallback_rate,ET_profile_validity,draw_clustered_MCSE_2,skill_vs_plugin,not_correctable_at_this_budget_sources
surrogate,R,plugin,8,8,0.013507820089404191,0.016289641534703754,0.0029132417242424703,1.0,,,0.0024637901316609647,0.0,
surrogate,R,median,8,8,0.3153450555004878,0.24773810042408972,-0.1956569234236315,1.0,,,5.485677294651096e-18,-22.34536982379939,
surrogate,R,mle,8,8,0.0356838690347796,0.030258742931633997,0.03156737543624359,1.0,0.041666666666666664,,0.0031797614179238415,-1.6417193002719035,
surrogate,R,et,8,8,0.017743885817278825,0.022242417076497198,-0.01197820366516444,1.0,,0.7916666666666666,0.002939570070625856,-0.3136009881562971,
surrogate,R,qwen_thinking,8,8,0.015276633258022705,0.018805797853981218,0.002844056028781232,1.0,,,0.003150516889581637,-0.1309473443465543,
surrogate,R,qwen_nonthinking,8,8,0.2966697235813361,0.27591721020895055,0.2940381761036954,1.0,,,0.026073734665703896,-20.96281277199197,
surrogate,S,plugin,8,8,0.2463176902075914,0.30064053200484653,0.2463176902075914,1.0,,,0.0020805420073161415,0.0,sp_hospital__pwt
surrogate,S,median,8,8,0.3153450555004878,0.24773810042408972,-0.1956569234236315,1.0,,,5.485677294651096e-18,-0.28023714104627073,sp_hospital__pwt
surrogate,S,design,8,8,0.053956247464161056,0.03808872472662854,0.014073148032710009,1.0,,,0.004815791630443678,0.7809485489300916,sp_hospital__pwt
surrogate,S,mle,8,8,0.043774674027442874,0.04989495912513742,0.035371257013821406,1.0,0.0,,0.006933454541563617,0.8222836776743461,sp_hospital__pwt
surrogate,S,et,8,8,0.07680212135545372,0.07094774736521788,-0.02668807761807941,1.0,,0.5,0.001576283180528254,0.6881989219258815,sp_hospital__pwt
surrogate,S,qwen_thinking,8,8,0.1543826260856076,0.17338717374461776,0.13346497263275045,0.9861111111111112,,,0.00913909061893423,0.37323776479270676,sp_hospital__pwt
surrogate,S,qwen_nonthinking,8,8,0.4109630153726944,0.4330803781671442,0.2698859213023065,1.0,,,0.03277359323090781,-0.6684267176520833,sp_hospital__pwt
surrogate,S_obs,plugin,8,8,0.2463176902075914,0.30064053200484653,0.2463176902075914,1.0,,,0.0020805420073161415,0.0,sp_hospital__pwt
surrogate,S_obs,median,8,8,0.3153450555004878,0.24773810042408972,-0.1956569234236315,1.0,,,5.485677294651096e-18,-0.28023714104627073,sp_hospital__pwt
surrogate,S_obs,design,8,8,0.06307181516246987,0.04341217082205646,0.002231202857598309,1.0,,,0.003660183133623901,0.743941187864687,sp_hospital__pwt
surrogate,S_obs,mle,8,8,0.04154071904688515,0.04920818796978067,0.0213178793619707,1.0,0.0,,0.006106455640538019,0.8313530830372942,sp_hospital__pwt
surrogate,S_obs,et,8,8,0.08381549382040977,0.07410124673929314,-0.03302317227375779,1.0,,0.5,0.0015317501867181788,0.6597260483005836,sp_hospital__pwt
surrogate,S_obs,qwen_thinking,8,8,0.13285354193968651,0.14641738006298324,0.09170516822141564,1.0,,,0.010771111201619608,0.4606414917754371,sp_hospital__pwt
surrogate,S_obs,qwen_nonthinking,8,8,0.39406897810673513,0.4292879217454879,0.22280861128887597,1.0,,,0.031119345375238867,-0.599840343479277,sp_hospital__pwt
surrogate,H,plugin,8,8,0.10117006756013969,0.17362677808289068,-0.09959854779398937,1.0,,,0.0014641970914974845,0.0,
surrogate,H,median,8,8,0.3153450555004878,0.24773810042408972,-0.1956569234236315,1.0,,,5.485677294651096e-18,-2.116979785676565,
surrogate,H,mle,8,8,0.0699336355746478,0.0667143767268906,0.044800953184813586,1.0,0.16666666666666666,,0.010404142185706998,0.308751716182493,
surrogate,H,et,8,8,0.051098592661825884,0.06353566966908351,-0.04570050231510776,1.0,,1.0,0.0017548289932337762,0.49492380608077824,
surrogate,H,qwen_thinking,8,8,0.16369478900122222,0.16060130697083858,0.031939050257116366,1.0,,,0.012710574339929687,-0.6180160095664189,
surrogate,H,qwen_nonthinking,8,8,0.3129676252122727,0.24714410645683715,-0.2417604350074157,1.0,,,0.015439641346078838,-2.093480441003282,
surrogate,B,plugin,8,8,0.30584365983024664,0.2404339996467894,-0.30584365983024664,1.0,,,0.0022308282991370535,0.0,
surrogate,B,median,8,8,0.3153450555004878,0.24773810042408972,-0.1956569234236315,1.0,,,5.485677294651096e-18,-0.031066184845926603,
surrogate,B,mle,8,8,0.15791327826613033,0.14770013031784573,-0.04057470205650724,1.0,0.3333333333333333,,0.002978003124123816,0.48367973900855943,
surrogate,B,et,8,8,0.12506999906336863,0.12467796433733597,0.035116111538537616,1.0,,1.0,0.0034655093656883107,0.5910655818963629,
surrogate,B,qwen_thinking,8,8,0.32069785389637195,0.2706038375822023,-0.13428830448133738,1.0,,,0.02194796875161731,-0.04856793197665077,
surrogate,B,qwen_nonthinking,8,8,0.30817186631990506,0.30917598729037277,0.27589234277036206,1.0,,,0.013966568193138976,-0.007612407237575836,
