stratum,arm,method,sources,sources_with_valid,MAE_2,ProfileMAE,signed_rho_2,validity,fallback_rate,ET_profile_validity,draw_clustered_MCSE_2,skill_vs_plugin,not_correctable_at_this_budget_sources,ET_in_distribution
synthetic,R,plugin,8,8,0.023485619512021903,0.016790690974994436,-0.003212663088382209,1.0,,,0.002643200243238539,0.0,,False
synthetic,R,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,6.938893903907228e-18,-11.71979368574545,,False
synthetic,R,mle,8,8,0.02679166441357458,0.019806200865301028,-0.0007550516835418384,1.0,0.08333333333333333,,0.0058409041712468935,-0.1407689032797439,,False
synthetic,R,et,8,8,0.020973425297993557,0.01592682799577516,-0.0029758098999325047,1.0,,0.9583333333333334,0.002575108915529753,0.10696733857679996,,True
synthetic,S,plugin,8,8,0.12709606217280484,0.10829960612555295,0.12709606217280484,1.0,,,0.003983412238144417,0.0,,False
synthetic,S,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,6.938893903907228e-18,-1.3504444564825948,,False
synthetic,S,design,8,8,0.028373860860955558,0.020691261344427135,0.007557787050424437,1.0,,,0.004457391661712916,0.7767526359520303,,False
synthetic,S,mle,8,8,0.025019354778804202,0.020075948253454295,0.008535851964083541,1.0,0.041666666666666664,,0.004430487338250274,0.8031461057795253,,False
synthetic,S,et,8,8,0.014497200886514502,0.015749579198973594,0.004740556384853949,1.0,,0.5416666666666666,0.002781666398395199,0.8859350900517788,,True
synthetic,S_obs,plugin,8,8,0.12709606217280484,0.10829960612555295,0.12709606217280484,1.0,,,0.003983412238144417,0.0,,False
synthetic,S_obs,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,6.938893903907228e-18,-1.3504444564825948,,False
synthetic,S_obs,design,8,8,0.03580721708438349,0.024280509191725197,-0.013302093107248664,1.0,,,0.0050400420590218315,0.7182665106044074,,False
synthetic,S_obs,mle,8,8,0.029089498025260174,0.02248149182481975,-0.01135690799147977,1.0,0.0,,0.005035888428910123,0.7711219566684219,,False
synthetic,S_obs,et,8,8,0.01402160971663496,0.014852699177126442,0.004104009263408067,1.0,,0.5416666666666666,0.0028212346569273486,0.8896770719963721,,True
synthetic,H,plugin,8,8,0.09476001628557323,0.12143025378551377,-0.09018390838576593,1.0,,,0.005104996047515969,0.0,,False
synthetic,H,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,6.938893903907228e-18,-2.1525135440517746,,False
synthetic,H,mle,8,8,0.03743699917768232,0.04416893235202968,0.021777167368269214,1.0,0.041666666666666664,,0.006140024711786996,0.6049283163390304,,False
synthetic,H,et,8,8,0.027841278225589725,0.019226668852141734,-0.006853160738677813,1.0,,1.0,0.0031748040325092026,0.7061917112626286,,True
synthetic,B,plugin,8,8,0.4254548529788339,0.2543272105582569,-0.4254548529788339,1.0,,,0.002824613942411471,0.0,,False
synthetic,B,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,6.938893903907228e-18,0.29785209245292577,,False
synthetic,B,mle,8,8,0.07539139125174263,0.0629796773697444,-0.020634874196259517,1.0,0.0,,0.013358138249143154,0.8227981400990312,,False
synthetic,B,et,8,8,0.030215240568839823,0.03875330435639961,-0.006335976642572485,1.0,,1.0,0.00476206319532237,0.9289813235005149,,True
